Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 286 | GridSize: 29
Generation 2 | Revalues: 476 | GridSize: 23
Generation 3 | Revalues: 662 | GridSize: 27
Generation 4 | Revalues: 850 | GridSize: 28
Generation 5 | Revalues: 1020 | GridSize: 21
Generation 6 | Revalues: 1218 | GridSize: 28
Generation 7 | Revalues: 1420 | GridSize: 29
Generation 8 | Revalues: 1596 | GridSize: 27
Generation 9 | Revalues: 1810 | GridSize: 25
Generation 10 | Revalues: 2022 | GridSize: 29
Generation 11 | Revalues: 2194 | GridSize: 31
Generation 12 | Revalues: 2408 | GridSize: 33
Generation 13 | Revalues: 2602 | GridSize: 38
Generation 14 | Revalues: 2792 | GridSize: 38
Generation 15 | Revalues: 2986 | GridSize: 40
Generation 16 | Revalues: 3200 | GridSize: 47
Generation 17 | Revalues: 3386 | GridSize: 40
Generation 18 | Revalues: 3600 | GridSize: 49
Generation 19 | Revalues: 3782 | GridSize: 35
Generation 20 | Revalues: 3984 | GridSize: 31
Generation 21 | Revalues: 4192 | GridSize: 41
Generation 22 | Revalues: 4384 | GridSize: 51
Generation 23 | Revalues: 4588 | GridSize: 61
Generation 24 | Revalues: 4778 | GridSize: 49
Generation 25 | Revalues: 4986 | GridSize: 49
Generation 26 | Revalues: 5190 | GridSize: 60
Generation 27 | Revalues: 5406 | GridSize: 56
Generation 28 | Revalues: 5598 | GridSize: 69
Generation 29 | Revalues: 5814 | GridSize: 71
Generation 30 | Revalues: 6024 | GridSize: 62
Generation 31 | Revalues: 6240 | GridSize: 68
Generation 32 | Revalues: 6428 | GridSize: 76
Generation 33 | Revalues: 6634 | GridSize: 82
Generation 34 | Revalues: 6834 | GridSize: 77
Generation 35 | Revalues: 7050 | GridSize: 72
Generation 36 | Revalues: 7244 | GridSize: 80
Generation 37 | Revalues: 7436 | GridSize: 83
Generation 38 | Revalues: 7644 | GridSize: 85
Generation 39 | Revalues: 7814 | GridSize: 96
Generation 40 | Revalues: 8018 | GridSize: 108
Generation 41 | Revalues: 8208 | GridSize: 120
Generation 42 | Revalues: 8398 | GridSize: 102
Generation 43 | Revalues: 8598 | GridSize: 96
Generation 44 | Revalues: 8838 | GridSize: 89
Generation 45 | Revalues: 9042 | GridSize: 86
Generation 46 | Revalues: 9224 | GridSize: 102
Generation 47 | Revalues: 9412 | GridSize: 101
Generation 48 | Revalues: 9606 | GridSize: 97
Generation 49 | Revalues: 9806 | GridSize: 91
Generation 50 | Revalues: 9996 | GridSize: 97
Generation 51 | Revalues: 10216 | GridSize: 87
Generation 52 | Revalues: 10430 | GridSize: 92
Generation 53 | Revalues: 10642 | GridSize: 99
Generation 54 | Revalues: 10848 | GridSize: 94
Generation 55 | Revalues: 11056 | GridSize: 89
Generation 56 | Revalues: 11256 | GridSize: 95
Generation 57 | Revalues: 11448 | GridSize: 97
Generation 58 | Revalues: 11620 | GridSize: 82
Generation 59 | Revalues: 11806 | GridSize: 80
Generation 60 | Revalues: 12008 | GridSize: 75
Generation 61 | Revalues: 12208 | GridSize: 61
Generation 62 | Revalues: 12394 | GridSize: 70
Generation 63 | Revalues: 12610 | GridSize: 71
Generation 64 | Revalues: 12816 | GridSize: 69
Generation 65 | Revalues: 13018 | GridSize: 72
Generation 66 | Revalues: 13220 | GridSize: 75
Generation 67 | Revalues: 13438 | GridSize: 77
Generation 68 | Revalues: 13658 | GridSize: 66
Generation 69 | Revalues: 13868 | GridSize: 73
Generation 70 | Revalues: 14056 | GridSize: 81
Generation 71 | Revalues: 14242 | GridSize: 87
Generation 72 | Revalues: 14476 | GridSize: 82
Generation 73 | Revalues: 14670 | GridSize: 70
Generation 74 | Revalues: 14888 | GridSize: 67
Generation 75 | Revalues: 15062 | GridSize: 55
Generation 76 | Revalues: 15272 | GridSize: 70
Generation 77 | Revalues: 15488 | GridSize: 57
Generation 78 | Revalues: 15678 | GridSize: 72
Generation 79 | Revalues: 15892 | GridSize: 77
Generation 80 | Revalues: 16102 | GridSize: 72
Generation 81 | Revalues: 16310 | GridSize: 86
Generation 82 | Revalues: 16510 | GridSize: 73
Generation 83 | Revalues: 16700 | GridSize: 77
Generation 84 | Revalues: 16892 | GridSize: 91
Generation 85 | Revalues: 17086 | GridSize: 68
Generation 86 | Revalues: 17278 | GridSize: 76
Generation 87 | Revalues: 17496 | GridSize: 82
Generation 88 | Revalues: 17704 | GridSize: 78
Generation 89 | Revalues: 17898 | GridSize: 77
Generation 90 | Revalues: 18128 | GridSize: 93
Generation 91 | Revalues: 18336 | GridSize: 92
Generation 92 | Revalues: 18542 | GridSize: 89
Generation 93 | Revalues: 18728 | GridSize: 85
Generation 94 | Revalues: 18938 | GridSize: 74
Generation 95 | Revalues: 19132 | GridSize: 81
Generation 96 | Revalues: 19334 | GridSize: 75
Generation 97 | Revalues: 19536 | GridSize: 60
Generation 98 | Revalues: 19742 | GridSize: 74
Generation 99 | Revalues: 19942 | GridSize: 74
Generation 100 | Revalues: 20148 | GridSize: 71
Generation 101 | Revalues: 20352 | GridSize: 71
Generation 102 | Revalues: 20560 | GridSize: 68
Generation 103 | Revalues: 20748 | GridSize: 67
Generation 104 | Revalues: 20958 | GridSize: 78
Generation 105 | Revalues: 21180 | GridSize: 96
Generation 106 | Revalues: 21388 | GridSize: 101
Generation 107 | Revalues: 21560 | GridSize: 86
Generation 108 | Revalues: 21768 | GridSize: 76
Generation 109 | Revalues: 21952 | GridSize: 72
Generation 110 | Revalues: 22164 | GridSize: 72
Generation 111 | Revalues: 22372 | GridSize: 85
Generation 112 | Revalues: 22572 | GridSize: 91
Generation 113 | Revalues: 22766 | GridSize: 92
Generation 114 | Revalues: 22950 | GridSize: 93
Generation 115 | Revalues: 23150 | GridSize: 84
Generation 116 | Revalues: 23320 | GridSize: 80
Generation 117 | Revalues: 23548 | GridSize: 82
Generation 118 | Revalues: 23754 | GridSize: 87
Generation 119 | Revalues: 23948 | GridSize: 81
Generation 120 | Revalues: 24156 | GridSize: 95
Generation 121 | Revalues: 24346 | GridSize: 98
Generation 122 | Revalues: 24564 | GridSize: 99
Generation 123 | Revalues: 24770 | GridSize: 98
Generation 124 | Revalues: 24980 | GridSize: 91
Generation 125 | Revalues: 25168 | GridSize: 98
Generation 126 | Revalues: 25368 | GridSize: 113
Generation 127 | Revalues: 25568 | GridSize: 94
Generation 128 | Revalues: 25758 | GridSize: 101
Generation 129 | Revalues: 25970 | GridSize: 105
Generation 130 | Revalues: 26164 | GridSize: 95
Generation 131 | Revalues: 26364 | GridSize: 74
Generation 132 | Revalues: 26540 | GridSize: 75
Generation 133 | Revalues: 26748 | GridSize: 74
Generation 134 | Revalues: 26956 | GridSize: 76
Generation 135 | Revalues: 27150 | GridSize: 80
Generation 136 | Revalues: 27358 | GridSize: 83
Generation 137 | Revalues: 27544 | GridSize: 77
Generation 138 | Revalues: 27740 | GridSize: 85
Generation 139 | Revalues: 27924 | GridSize: 100
Generation 140 | Revalues: 28130 | GridSize: 92
Generation 141 | Revalues: 28348 | GridSize: 95
Generation 142 | Revalues: 28548 | GridSize: 104
Generation 143 | Revalues: 28750 | GridSize: 95
Generation 144 | Revalues: 28932 | GridSize: 98
Generation 145 | Revalues: 29140 | GridSize: 101
Generation 146 | Revalues: 29360 | GridSize: 104
Generation 147 | Revalues: 29566 | GridSize: 98
Generation 148 | Revalues: 29752 | GridSize: 96
Generation 149 | Revalues: 29956 | GridSize: 106
Generation 150 | Revalues: 30174 | GridSize: 109
Generation 151 | Revalues: 30386 | GridSize: 114
Generation 152 | Revalues: 30576 | GridSize: 109
Generation 153 | Revalues: 30764 | GridSize: 109
Generation 154 | Revalues: 30954 | GridSize: 118
Generation 155 | Revalues: 31168 | GridSize: 125
Generation 156 | Revalues: 31354 | GridSize: 118
Generation 157 | Revalues: 31534 | GridSize: 110
Generation 158 | Revalues: 31734 | GridSize: 112
Generation 159 | Revalues: 31962 | GridSize: 117
Generation 160 | Revalues: 32158 | GridSize: 124
Generation 161 | Revalues: 32380 | GridSize: 126
Generation 162 | Revalues: 32584 | GridSize: 144
Generation 163 | Revalues: 32790 | GridSize: 152
Generation 164 | Revalues: 33008 | GridSize: 144
Generation 165 | Revalues: 33192 | GridSize: 133
Generation 166 | Revalues: 33398 | GridSize: 107
Generation 167 | Revalues: 33586 | GridSize: 93
Generation 168 | Revalues: 33798 | GridSize: 97
Generation 169 | Revalues: 34016 | GridSize: 95
Generation 170 | Revalues: 34200 | GridSize: 103
Generation 171 | Revalues: 34382 | GridSize: 99
Generation 172 | Revalues: 34604 | GridSize: 114
Generation 173 | Revalues: 34808 | GridSize: 125
Generation 174 | Revalues: 35020 | GridSize: 117
Generation 175 | Revalues: 35232 | GridSize: 113
Generation 176 | Revalues: 35420 | GridSize: 118
Generation 177 | Revalues: 35612 | GridSize: 120
Generation 178 | Revalues: 35822 | GridSize: 119
Generation 179 | Revalues: 36028 | GridSize: 121
Generation 180 | Revalues: 36224 | GridSize: 124
Generation 181 | Revalues: 36420 | GridSize: 129
Generation 182 | Revalues: 36640 | GridSize: 132
Generation 183 | Revalues: 36840 | GridSize: 138
Generation 184 | Revalues: 37078 | GridSize: 139
Generation 185 | Revalues: 37260 | GridSize: 143
Generation 186 | Revalues: 37422 | GridSize: 152
Generation 187 | Revalues: 37622 | GridSize: 142
Generation 188 | Revalues: 37816 | GridSize: 148
Generation 189 | Revalues: 38022 | GridSize: 131
Generation 190 | Revalues: 38212 | GridSize: 140
Generation 191 | Revalues: 38442 | GridSize: 150
Generation 192 | Revalues: 38648 | GridSize: 153
Generation 193 | Revalues: 38854 | GridSize: 156
Generation 194 | Revalues: 39044 | GridSize: 152
Generation 195 | Revalues: 39244 | GridSize: 150
Generation 196 | Revalues: 39436 | GridSize: 169
Generation 197 | Revalues: 39672 | GridSize: 164
Generation 198 | Revalues: 39856 | GridSize: 151
Generation 199 | Revalues: 40050 | GridSize: 155
Generation 200 | Revalues: 40246 | GridSize: 154
Generation 201 | Revalues: 40468 | GridSize: 146
Generation 202 | Revalues: 40670 | GridSize: 151
Generation 203 | Revalues: 40856 | GridSize: 156
Generation 204 | Revalues: 41064 | GridSize: 148
Generation 205 | Revalues: 41262 | GridSize: 139
Generation 206 | Revalues: 41478 | GridSize: 138
Generation 207 | Revalues: 41678 | GridSize: 142
Generation 208 | Revalues: 41910 | GridSize: 141
Generation 209 | Revalues: 42120 | GridSize: 152
Generation 210 | Revalues: 42308 | GridSize: 146
Generation 211 | Revalues: 42518 | GridSize: 138
Generation 212 | Revalues: 42716 | GridSize: 142
Generation 213 | Revalues: 42918 | GridSize: 148
Generation 214 | Revalues: 43134 | GridSize: 134
Generation 215 | Revalues: 43328 | GridSize: 136
Generation 216 | Revalues: 43524 | GridSize: 139
Generation 217 | Revalues: 43744 | GridSize: 145
Generation 218 | Revalues: 43954 | GridSize: 141
Generation 219 | Revalues: 44118 | GridSize: 141
Generation 220 | Revalues: 44336 | GridSize: 144
Generation 221 | Revalues: 44546 | GridSize: 150
Generation 222 | Revalues: 44754 | GridSize: 139
Generation 223 | Revalues: 44948 | GridSize: 145
Generation 224 | Revalues: 45140 | GridSize: 145
Generation 225 | Revalues: 45338 | GridSize: 138
Generation 226 | Revalues: 45534 | GridSize: 149
Generation 227 | Revalues: 45758 | GridSize: 158
Generation 228 | Revalues: 45952 | GridSize: 160
Generation 229 | Revalues: 46162 | GridSize: 149
Generation 230 | Revalues: 46384 | GridSize: 137
Generation 231 | Revalues: 46590 | GridSize: 137
Generation 232 | Revalues: 46796 | GridSize: 150
Generation 233 | Revalues: 47006 | GridSize: 146
Generation 234 | Revalues: 47208 | GridSize: 142
Generation 235 | Revalues: 47414 | GridSize: 144
Generation 236 | Revalues: 47634 | GridSize: 134
Generation 237 | Revalues: 47868 | GridSize: 138
Generation 238 | Revalues: 48074 | GridSize: 139
Generation 239 | Revalues: 48280 | GridSize: 128
Generation 240 | Revalues: 48486 | GridSize: 128
Generation 241 | Revalues: 48676 | GridSize: 136
Generation 242 | Revalues: 48862 | GridSize: 144
