algorithm,instance,run_id,vector_id,generation,iteration,f_cost,f_power,weight1,weight2,occupied
moead,ns465,0,0,0,0,193412421.923329,630895.778931,0.000000,1.000000,367 532 557 570 1027 1212 1963 2077 2133 2249 2546 2605 2653 2723 2831 3639 3689 3736 4266 4512 4854 5087 5300 5427 6027 6781 6802 6953 7003 7176 7218 7224 7242 7416 7467 7889 7900 8016 8735 8770 9197 9204 9615 9717 10118 10250 10281 10423 10715 10996 11058 11614 11734 11784 11919 11926 11970 12151 12189 12191 12308 12323 12340 12481 12572 12588 13032 13133 13174 13185 13322 13339 13519 13598 13860 14050 14622 14675 14703
moead,ns465,0,1,0,0,189164806.633504,605235.585876,0.020408,0.979592,326 625 801 1000 1120 1533 1540 1781 2037 2160 2198 2257 2532 2691 2737 3068 3202 3222 3350 3415 3534 3660 4085 4217 4246 4384 4705 5021 5029 5113 5259 5798 6075 6186 6292 6376 6587 6708 6764 6956 7100 7139 7144 7635 7662 7689 7725 8228 8259 8410 8737 9003 9211 9570 9947 9965 10502 10652 10836 11691 12255 12391 12480 12627 12934 12936 13121 13138 13161 13215 13272 13915 13985 14026 14057 14159 14302 14598 14620
moead,ns465,0,2,0,0,189164806.633504,605235.585876,0.040816,0.959184,326 625 801 1000 1120 1533 1540 1781 2037 2160 2198 2257 2532 2691 2737 3068 3202 3222 3350 3415 3534 3660 4085 4217 4246 4384 4705 5021 5029 5113 5259 5798 6075 6186 6292 6376 6587 6708 6764 6956 7100 7139 7144 7635 7662 7689 7725 8228 8259 8410 8737 9003 9211 9570 9947 9965 10502 10652 10836 11691 12255 12391 12480 12627 12934 12936 13121 13138 13161 13215 13272 13915 13985 14026 14057 14159 14302 14598 14620
moead,ns465,0,3,0,0,189164806.633504,605235.585876,0.061224,0.938776,326 625 801 1000 1120 1533 1540 1781 2037 2160 2198 2257 2532 2691 2737 3068 3202 3222 3350 3415 3534 3660 4085 4217 4246 4384 4705 5021 5029 5113 5259 5798 6075 6186 6292 6376 6587 6708 6764 6956 7100 7139 7144 7635 7662 7689 7725 8228 8259 8410 8737 9003 9211 9570 9947 9965 10502 10652 10836 11691 12255 12391 12480 12627 12934 12936 13121 13138 13161 13215 13272 13915 13985 14026 14057 14159 14302 14598 14620
moead,ns465,0,4,0,0,189164806.633504,605235.585876,0.081633,0.918367,326 625 801 1000 1120 1533 1540 1781 2037 2160 2198 2257 2532 2691 2737 3068 3202 3222 3350 3415 3534 3660 4085 4217 4246 4384 4705 5021 5029 5113 5259 5798 6075 6186 6292 6376 6587 6708 6764 6956 7100 7139 7144 7635 7662 7689 7725 8228 8259 8410 8737 9003 9211 9570 9947 9965 10502 10652 10836 11691 12255 12391 12480 12627 12934 12936 13121 13138 13161 13215 13272 13915 13985 14026 14057 14159 14302 14598 14620
moead,ns465,0,5,0,0,189164806.633504,605235.585876,0.102041,0.897959,326 625 801 1000 1120 1533 1540 1781 2037 2160 2198 2257 2532 2691 2737 3068 3202 3222 3350 3415 3534 3660 4085 4217 4246 4384 4705 5021 5029 5113 5259 5798 6075 6186 6292 6376 6587 6708 6764 6956 7100 7139 7144 7635 7662 7689 7725 8228 8259 8410 8737 9003 9211 9570 9947 9965 10502 10652 10836 11691 12255 12391 12480 12627 12934 12936 13121 13138 13161 13215 13272 13915 13985 14026 14057 14159 14302 14598 14620
moead,ns465,0,6,0,0,188718625.750611,568892.117432,0.122449,0.877551,465 562 587 803 866 875 925 1209 1230 1343 1568 1587 2009 2038 2352 3089 3116 3209 3250 3290 3361 3671 3764 4080 4112 4214 4433 4493 4538 4557 5414 5583 5952 5983 6090 6182 6293 6305 6437 6488 7240 7308 7736 7909 8003 8213 8310 8380 8495 8617 8745 8893 8952 9341 9414 9508 9823 9904 10502 10625 11379 11450 11534 11651 11680 11711 12756 12964 13010 13273 13275 13387 13412 13440 13461 13931 14151 14210 14626
moead,ns465,0,7,0,0,188718625.750611,568892.117432,0.142857,0.857143,465 562 587 803 866 875 925 1209 1230 1343 1568 1587 2009 2038 2352 3089 3116 3209 3250 3290 3361 3671 3764 4080 4112 4214 4433 4493 4538 4557 5414 5583 5952 5983 6090 6182 6293 6305 6437 6488 7240 7308 7736 7909 8003 8213 8310 8380 8495 8617 8745 8893 8952 9341 9414 9508 9823 9904 10502 10625 11379 11450 11534 11651 11680 11711 12756 12964 13010 13273 13275 13387 13412 13440 13461 13931 14151 14210 14626
moead,ns465,0,8,0,0,188718625.750611,568892.117432,0.163265,0.836735,465 562 587 803 866 875 925 1209 1230 1343 1568 1587 2009 2038 2352 3089 3116 3209 3250 3290 3361 3671 3764 4080 4112 4214 4433 4493 4538 4557 5414 5583 5952 5983 6090 6182 6293 6305 6437 6488 7240 7308 7736 7909 8003 8213 8310 8380 8495 8617 8745 8893 8952 9341 9414 9508 9823 9904 10502 10625 11379 11450 11534 11651 11680 11711 12756 12964 13010 13273 13275 13387 13412 13440 13461 13931 14151 14210 14626
moead,ns465,0,9,0,0,188718625.750611,568892.117432,0.183673,0.816327,465 562 587 803 866 875 925 1209 1230 1343 1568 1587 2009 2038 2352 3089 3116 3209 3250 3290 3361 3671 3764 4080 4112 4214 4433 4493 4538 4557 5414 5583 5952 5983 6090 6182 6293 6305 6437 6488 7240 7308 7736 7909 8003 8213 8310 8380 8495 8617 8745 8893 8952 9341 9414 9508 9823 9904 10502 10625 11379 11450 11534 11651 11680 11711 12756 12964 13010 13273 13275 13387 13412 13440 13461 13931 14151 14210 14626
