Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 328 | GridSize: 11
Generation 2 | Revalues: 534 | GridSize: 8
Generation 3 | Revalues: 752 | GridSize: 9
Generation 4 | Revalues: 948 | GridSize: 8
Generation 5 | Revalues: 1188 | GridSize: 15
Generation 6 | Revalues: 1418 | GridSize: 16
Generation 7 | Revalues: 1630 | GridSize: 11
Generation 8 | Revalues: 1856 | GridSize: 14
Generation 9 | Revalues: 2074 | GridSize: 13
Generation 10 | Revalues: 2298 | GridSize: 16
Generation 11 | Revalues: 2506 | GridSize: 8
Generation 12 | Revalues: 2722 | GridSize: 13
Generation 13 | Revalues: 2938 | GridSize: 12
Generation 14 | Revalues: 3136 | GridSize: 10
Generation 15 | Revalues: 3372 | GridSize: 17
Generation 16 | Revalues: 3608 | GridSize: 17
Generation 17 | Revalues: 3828 | GridSize: 19
Generation 18 | Revalues: 4064 | GridSize: 12
Generation 19 | Revalues: 4280 | GridSize: 18
Generation 20 | Revalues: 4498 | GridSize: 13
Generation 21 | Revalues: 4720 | GridSize: 13
Generation 22 | Revalues: 4918 | GridSize: 15
Generation 23 | Revalues: 5144 | GridSize: 18
Generation 24 | Revalues: 5332 | GridSize: 20
Generation 25 | Revalues: 5556 | GridSize: 23
Generation 26 | Revalues: 5764 | GridSize: 23
Generation 27 | Revalues: 5958 | GridSize: 19
Generation 28 | Revalues: 6166 | GridSize: 19
Generation 29 | Revalues: 6388 | GridSize: 16
Generation 30 | Revalues: 6634 | GridSize: 22
Generation 31 | Revalues: 6860 | GridSize: 21
Generation 32 | Revalues: 7080 | GridSize: 22
Generation 33 | Revalues: 7316 | GridSize: 13
Generation 34 | Revalues: 7528 | GridSize: 19
Generation 35 | Revalues: 7758 | GridSize: 19
Generation 36 | Revalues: 8008 | GridSize: 16
Generation 37 | Revalues: 8232 | GridSize: 16
Generation 38 | Revalues: 8464 | GridSize: 18
Generation 39 | Revalues: 8684 | GridSize: 18
Generation 40 | Revalues: 8914 | GridSize: 10
Generation 41 | Revalues: 9134 | GridSize: 13
Generation 42 | Revalues: 9342 | GridSize: 15
Generation 43 | Revalues: 9550 | GridSize: 15
Generation 44 | Revalues: 9754 | GridSize: 14
Generation 45 | Revalues: 9992 | GridSize: 22
Generation 46 | Revalues: 10192 | GridSize: 15
Generation 47 | Revalues: 10396 | GridSize: 21
Generation 48 | Revalues: 10610 | GridSize: 15
Generation 49 | Revalues: 10818 | GridSize: 15
Generation 50 | Revalues: 11046 | GridSize: 19
Generation 51 | Revalues: 11256 | GridSize: 22
Generation 52 | Revalues: 11460 | GridSize: 17
Generation 53 | Revalues: 11696 | GridSize: 19
Generation 54 | Revalues: 11916 | GridSize: 24
Generation 55 | Revalues: 12138 | GridSize: 15
Generation 56 | Revalues: 12362 | GridSize: 16
Generation 57 | Revalues: 12576 | GridSize: 12
Generation 58 | Revalues: 12824 | GridSize: 15
Generation 59 | Revalues: 13046 | GridSize: 17
Generation 60 | Revalues: 13262 | GridSize: 20
Generation 61 | Revalues: 13494 | GridSize: 21
Generation 62 | Revalues: 13708 | GridSize: 20
Generation 63 | Revalues: 13926 | GridSize: 22
Generation 64 | Revalues: 14158 | GridSize: 27
Generation 65 | Revalues: 14368 | GridSize: 25
Generation 66 | Revalues: 14582 | GridSize: 24
Generation 67 | Revalues: 14824 | GridSize: 19
Generation 68 | Revalues: 15070 | GridSize: 21
Generation 69 | Revalues: 15280 | GridSize: 25
Generation 70 | Revalues: 15508 | GridSize: 26
Generation 71 | Revalues: 15722 | GridSize: 27
Generation 72 | Revalues: 15948 | GridSize: 27
Generation 73 | Revalues: 16164 | GridSize: 29
Generation 74 | Revalues: 16400 | GridSize: 28
Generation 75 | Revalues: 16646 | GridSize: 28
Generation 76 | Revalues: 16872 | GridSize: 28
Generation 77 | Revalues: 17098 | GridSize: 28
Generation 78 | Revalues: 17314 | GridSize: 28
Generation 79 | Revalues: 17544 | GridSize: 31
Generation 80 | Revalues: 17768 | GridSize: 33
Generation 81 | Revalues: 17956 | GridSize: 37
Generation 82 | Revalues: 18178 | GridSize: 34
Generation 83 | Revalues: 18392 | GridSize: 35
Generation 84 | Revalues: 18626 | GridSize: 36
Generation 85 | Revalues: 18838 | GridSize: 34
Generation 86 | Revalues: 19078 | GridSize: 42
Generation 87 | Revalues: 19310 | GridSize: 47
Generation 88 | Revalues: 19520 | GridSize: 45
Generation 89 | Revalues: 19736 | GridSize: 48
Generation 90 | Revalues: 19964 | GridSize: 45
Generation 91 | Revalues: 20190 | GridSize: 41
Generation 92 | Revalues: 20412 | GridSize: 40
Generation 93 | Revalues: 20656 | GridSize: 45
Generation 94 | Revalues: 20880 | GridSize: 39
Generation 95 | Revalues: 21116 | GridSize: 38
Generation 96 | Revalues: 21346 | GridSize: 37
Generation 97 | Revalues: 21580 | GridSize: 41
Generation 98 | Revalues: 21804 | GridSize: 35
Generation 99 | Revalues: 22030 | GridSize: 37
Generation 100 | Revalues: 22244 | GridSize: 36
Generation 101 | Revalues: 22464 | GridSize: 30
Generation 102 | Revalues: 22668 | GridSize: 33
Generation 103 | Revalues: 22896 | GridSize: 30
Generation 104 | Revalues: 23100 | GridSize: 30
Generation 105 | Revalues: 23318 | GridSize: 29
Generation 106 | Revalues: 23548 | GridSize: 26
Generation 107 | Revalues: 23754 | GridSize: 25
Generation 108 | Revalues: 23988 | GridSize: 26
Generation 109 | Revalues: 24204 | GridSize: 29
Generation 110 | Revalues: 24414 | GridSize: 24
Generation 111 | Revalues: 24634 | GridSize: 28
Generation 112 | Revalues: 24854 | GridSize: 27
Generation 113 | Revalues: 25064 | GridSize: 26
Generation 114 | Revalues: 25266 | GridSize: 26
Generation 115 | Revalues: 25468 | GridSize: 26
Generation 116 | Revalues: 25692 | GridSize: 29
