algorithm,instance,run_id,vector_id,generation,iteration,f_cost,f_power,weight1,weight2,occupied
nsga2,ns203,6,0,0,0,99924111.227434,366248.606934,0.000000,1.000000,78 238 590 722 902 1027 1174 1182 1488 1683 2099 2282 2341 2373 2443 2865 3048 3086 3183 3200 3278 3636 3973 4135 4260 4270 4277 4453 4625 4640 4894 5006 5014 5235 5326 5737 5830 5968 6337 6377 6433
nsga2,ns203,6,1,0,0,98816888.702038,349491.215881,0.010101,0.989899,200 227 493 557 564 649 670 1251 1368 1626 1649 1654 1670 1904 1923 2950 2969 2980 3108 3295 3353 3738 3919 4089 4463 4693 4791 5340 5498 5630 5681 5755 5861 5893 5954 5958 6037 6049 6251 6476 6492
nsga2,ns203,6,2,0,0,97523015.305555,347873.791504,0.020202,0.979798,207 286 717 838 1103 1159 1164 1304 2168 2302 2493 2534 2676 2756 2857 2925 3188 3350 3368 3458 3512 3667 3753 3865 4161 4199 4206 4564 4615 4649 4787 4796 4908 5004 5082 5163 5595 5820 5864 6056 6621
nsga2,ns203,6,3,0,0,97523015.305555,347873.791504,0.030303,0.969697,207 286 717 838 1103 1159 1164 1304 2168 2302 2493 2534 2676 2756 2857 2925 3188 3350 3368 3458 3512 3667 3753 3865 4161 4199 4206 4564 4615 4649 4787 4796 4908 5004 5082 5163 5595 5820 5864 6056 6621
nsga2,ns203,6,4,0,0,97523015.305555,347873.791504,0.040404,0.959596,207 286 717 838 1103 1159 1164 1304 2168 2302 2493 2534 2676 2756 2857 2925 3188 3350 3368 3458 3512 3667 3753 3865 4161 4199 4206 4564 4615 4649 4787 4796 4908 5004 5082 5163 5595 5820 5864 6056 6621
nsga2,ns203,6,5,0,0,97523015.305555,347873.791504,0.050505,0.949495,207 286 717 838 1103 1159 1164 1304 2168 2302 2493 2534 2676 2756 2857 2925 3188 3350 3368 3458 3512 3667 3753 3865 4161 4199 4206 4564 4615 4649 4787 4796 4908 5004 5082 5163 5595 5820 5864 6056 6621
nsga2,ns203,6,6,0,0,97523015.305555,347873.791504,0.060606,0.939394,207 286 717 838 1103 1159 1164 1304 2168 2302 2493 2534 2676 2756 2857 2925 3188 3350 3368 3458 3512 3667 3753 3865 4161 4199 4206 4564 4615 4649 4787 4796 4908 5004 5082 5163 5595 5820 5864 6056 6621
nsga2,ns203,6,7,0,0,97523015.305555,347873.791504,0.070707,0.929293,207 286 717 838 1103 1159 1164 1304 2168 2302 2493 2534 2676 2756 2857 2925 3188 3350 3368 3458 3512 3667 3753 3865 4161 4199 4206 4564 4615 4649 4787 4796 4908 5004 5082 5163 5595 5820 5864 6056 6621
nsga2,ns203,6,8,0,0,97523015.305555,347873.791504,0.080808,0.919192,207 286 717 838 1103 1159 1164 1304 2168 2302 2493 2534 2676 2756 2857 2925 3188 3350 3368 3458 3512 3667 3753 3865 4161 4199 4206 4564 4615 4649 4787 4796 4908 5004 5082 5163 5595 5820 5864 6056 6621
nsga2,ns203,6,9,0,0,97523015.305555,347873.791504,0.090909,0.909091,207 286 717 838 1103 1159 1164 1304 2168 2302 2493 2534 2676 2756 2857 2925 3188 3350 3368 3458 3512 3667 3753 3865 4161 4199 4206 4564 4615 4649 4787 4796 4908 5004 5082 5163 5595 5820 5864 6056 6621
nsga2,ns203,6,10,0,0,97523015.305555,347873.791504,0.101010,0.898990,207 286 717 838 1103 1159 1164 1304 2168 2302 2493 2534 2676 2756 2857 2925 3188 3350 3368 3458 3512 3667 3753 3865 4161 4199 4206 4564 4615 4649 4787 4796 4908 5004 5082 5163 5595 5820 5864 6056 6621
nsga2,ns203,6,11,0,0,97523015.305555,347873.791504,0.111111,0.888889,207 286 717 838 1103 1159 1164 1304 2168 2302 2493 2534 2676 2756 2857 2925 3188 3350 3368 3458 3512 3667 3753 3865 4161 4199 4206 4564 4615 4649 4787 4796 4908 5004 5082 5163 5595 5820 5864 6056 6621
nsga2,ns203,6,12,0,0,97523015.305555,347873.791504,0.121212,0.878788,207 286 717 838 1103 1159 1164 1304 2168 2302 2493 2534 2676 2756 2857 2925 3188 3350 3368 3458 3512 3667 3753 3865 4161 4199 4206 4564 4615 4649 4787 4796 4908 5004 5082 5163 5595 5820 5864 6056 6621
nsga2,ns203,6,13,0,0,97523015.305555,347873.791504,0.131313,0.868687,207 286 717 838 1103 1159 1164 1304 2168 2302 2493 2534 2676 2756 2857 2925 3188 3350 3368 3458 3512 3667 3753 3865 4161 4199 4206 4564 4615 4649 4787 4796 4908 5004 5082 5163 5595 5820 5864 6056 6621
