algorithm,instance,run_id,vector_id,generation,iteration,f_cost,f_power,weight1,weight2,occupied
moead,101_r1e-04,19,0,0,0,155196887.550455,279051.781982,0.000000,1.000000,4658 20917 23066 33556 35038 66866 69772 77468 78213 87128 91069 109836 113829 116113 130321 139378 142043 152671 173177 223301 229174 236908 244712 250570 253380 253790 285851 290485 304039 312468 318541 337832 341357 349916 360343 362865 370460 373709 374289 374616 378949 388121 413327 428946 449975 455020 476607 478358 485952 509212 511311 522722 527215 532397 557164 558070 559498 581743 591028 598957 616651 619551 623921
moead,101_r1e-04,19,1,0,0,152500472.054610,259183.667419,0.111111,0.888889,5791 29541 31178 31581 43069 52098 70350 83026 83808 92294 104954 105060 105640 117777 119807 144253 146475 148470 153234 155354 157335 163181 168564 198546 202508 207989 223369 226586 246975 266475 280742 296929 331458 334302 334998 348480 351918 358331 365529 370432 370481 414245 415445 431390 444746 447026 451314 465315 468603 477443 478209 509902 514221 537163 554309 569181 576587 578162 590649 596432 615190 619215 624035
moead,101_r1e-04,19,2,0,0,152500472.054610,259183.667419,0.222222,0.777778,5791 29541 31178 31581 43069 52098 70350 83026 83808 92294 104954 105060 105640 117777 119807 144253 146475 148470 153234 155354 157335 163181 168564 198546 202508 207989 223369 226586 246975 266475 280742 296929 331458 334302 334998 348480 351918 358331 365529 370432 370481 414245 415445 431390 444746 447026 451314 465315 468603 477443 478209 509902 514221 537163 554309 569181 576587 578162 590649 596432 615190 619215 624035
moead,101_r1e-04,19,3,0,0,152500472.054610,259183.667419,0.333333,0.666667,5791 29541 31178 31581 43069 52098 70350 83026 83808 92294 104954 105060 105640 117777 119807 144253 146475 148470 153234 155354 157335 163181 168564 198546 202508 207989 223369 226586 246975 266475 280742 296929 331458 334302 334998 348480 351918 358331 365529 370432 370481 414245 415445 431390 444746 447026 451314 465315 468603 477443 478209 509902 514221 537163 554309 569181 576587 578162 590649 596432 615190 619215 624035
moead,101_r1e-04,19,4,0,0,152500472.054610,259183.667419,0.444444,0.555556,5791 29541 31178 31581 43069 52098 70350 83026 83808 92294 104954 105060 105640 117777 119807 144253 146475 148470 153234 155354 157335 163181 168564 198546 202508 207989 223369 226586 246975 266475 280742 296929 331458 334302 334998 348480 351918 358331 365529 370432 370481 414245 415445 431390 444746 447026 451314 465315 468603 477443 478209 509902 514221 537163 554309 569181 576587 578162 590649 596432 615190 619215 624035
moead,101_r1e-04,19,5,0,0,152500472.054610,259183.667419,0.555556,0.444444,5791 29541 31178 31581 43069 52098 70350 83026 83808 92294 104954 105060 105640 117777 119807 144253 146475 148470 153234 155354 157335 163181 168564 198546 202508 207989 223369 226586 246975 266475 280742 296929 331458 334302 334998 348480 351918 358331 365529 370432 370481 414245 415445 431390 444746 447026 451314 465315 468603 477443 478209 509902 514221 537163 554309 569181 576587 578162 590649 596432 615190 619215 624035
moead,101_r1e-04,19,6,0,0,152500472.054610,259183.667419,0.666667,0.333333,5791 29541 31178 31581 43069 52098 70350 83026 83808 92294 104954 105060 105640 117777 119807 144253 146475 148470 153234 155354 157335 163181 168564 198546 202508 207989 223369 226586 246975 266475 280742 296929 331458 334302 334998 348480 351918 358331 365529 370432 370481 414245 415445 431390 444746 447026 451314 465315 468603 477443 478209 509902 514221 537163 554309 569181 576587 578162 590649 596432 615190 619215 624035
moead,101_r1e-04,19,7,0,0,152500472.054610,259183.667419,0.777778,0.222222,5791 29541 31178 31581 43069 52098 70350 83026 83808 92294 104954 105060 105640 117777 119807 144253 146475 148470 153234 155354 157335 163181 168564 198546 202508 207989 223369 226586 246975 266475 280742 296929 331458 334302 334998 348480 351918 358331 365529 370432 370481 414245 415445 431390 444746 447026 451314 465315 468603 477443 478209 509902 514221 537163 554309 569181 576587 578162 590649 596432 615190 619215 624035
moead,101_r1e-04,19,8,0,0,152500472.054610,259183.667419,0.888889,0.111111,5791 29541 31178 31581 43069 52098 70350 83026 83808 92294 104954 105060 105640 117777 119807 144253 146475 148470 153234 155354 157335 163181 168564 198546 202508 207989 223369 226586 246975 266475 280742 296929 331458 334302 334998 348480 351918 358331 365529 370432 370481 414245 415445 431390 444746 447026 451314 465315 468603 477443 478209 509902 514221 537163 554309 569181 576587 578162 590649 596432 615190 619215 624035
moead,101_r1e-04,19,9,0,0,152500472.054610,259183.667419,1.000000,0.000000,5791 29541 31178 31581 43069 52098 70350 83026 83808 92294 104954 105060 105640 117777 119807 144253 146475 148470 153234 155354 157335 163181 168564 198546 202508 207989 223369 226586 246975 266475 280742 296929 331458 334302 334998 348480 351918 358331 365529 370432 370481 414245 415445 431390 444746 447026 451314 465315 468603 477443 478209 509902 514221 537163 554309 569181 576587 578162 590649 596432 615190 619215 624035
