Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 312 | GridSize: 12
Generation 2 | Revalues: 542 | GridSize: 21
Generation 3 | Revalues: 764 | GridSize: 27
Generation 4 | Revalues: 978 | GridSize: 29
Generation 5 | Revalues: 1190 | GridSize: 32
Generation 6 | Revalues: 1368 | GridSize: 33
Generation 7 | Revalues: 1562 | GridSize: 34
Generation 8 | Revalues: 1788 | GridSize: 36
Generation 9 | Revalues: 1980 | GridSize: 37
Generation 10 | Revalues: 2166 | GridSize: 42
Generation 11 | Revalues: 2378 | GridSize: 42
Generation 12 | Revalues: 2604 | GridSize: 46
Generation 13 | Revalues: 2812 | GridSize: 38
Generation 14 | Revalues: 2998 | GridSize: 41
Generation 15 | Revalues: 3222 | GridSize: 43
Generation 16 | Revalues: 3436 | GridSize: 50
Generation 17 | Revalues: 3640 | GridSize: 45
Generation 18 | Revalues: 3826 | GridSize: 47
Generation 19 | Revalues: 4036 | GridSize: 50
Generation 20 | Revalues: 4256 | GridSize: 55
Generation 21 | Revalues: 4474 | GridSize: 57
Generation 22 | Revalues: 4670 | GridSize: 62
Generation 23 | Revalues: 4884 | GridSize: 65
Generation 24 | Revalues: 5096 | GridSize: 67
Generation 25 | Revalues: 5308 | GridSize: 71
Generation 26 | Revalues: 5490 | GridSize: 68
Generation 27 | Revalues: 5692 | GridSize: 71
Generation 28 | Revalues: 5900 | GridSize: 69
Generation 29 | Revalues: 6084 | GridSize: 69
Generation 30 | Revalues: 6298 | GridSize: 70
Generation 31 | Revalues: 6520 | GridSize: 70
Generation 32 | Revalues: 6742 | GridSize: 70
Generation 33 | Revalues: 6940 | GridSize: 69
Generation 34 | Revalues: 7134 | GridSize: 72
Generation 35 | Revalues: 7324 | GridSize: 75
Generation 36 | Revalues: 7520 | GridSize: 73
Generation 37 | Revalues: 7722 | GridSize: 76
Generation 38 | Revalues: 7930 | GridSize: 78
Generation 39 | Revalues: 8154 | GridSize: 82
Generation 40 | Revalues: 8350 | GridSize: 83
Generation 41 | Revalues: 8546 | GridSize: 86
Generation 42 | Revalues: 8728 | GridSize: 84
Generation 43 | Revalues: 8886 | GridSize: 84
Generation 44 | Revalues: 9090 | GridSize: 84
Generation 45 | Revalues: 9314 | GridSize: 88
Generation 46 | Revalues: 9510 | GridSize: 91
Generation 47 | Revalues: 9712 | GridSize: 94
Generation 48 | Revalues: 9916 | GridSize: 93
Generation 49 | Revalues: 10132 | GridSize: 90
Generation 50 | Revalues: 10330 | GridSize: 91
Generation 51 | Revalues: 10544 | GridSize: 91
Generation 52 | Revalues: 10738 | GridSize: 90
Generation 53 | Revalues: 10920 | GridSize: 90
Generation 54 | Revalues: 11116 | GridSize: 89
Generation 55 | Revalues: 11302 | GridSize: 91
Generation 56 | Revalues: 11516 | GridSize: 91
Generation 57 | Revalues: 11702 | GridSize: 91
Generation 58 | Revalues: 11906 | GridSize: 93
Generation 59 | Revalues: 12096 | GridSize: 95
Generation 60 | Revalues: 12300 | GridSize: 96
Generation 61 | Revalues: 12502 | GridSize: 97
Generation 62 | Revalues: 12720 | GridSize: 97
Generation 63 | Revalues: 12896 | GridSize: 97
Generation 64 | Revalues: 13098 | GridSize: 95
Generation 65 | Revalues: 13310 | GridSize: 96
Generation 66 | Revalues: 13506 | GridSize: 96
Generation 67 | Revalues: 13710 | GridSize: 98
Generation 68 | Revalues: 13890 | GridSize: 98
Generation 69 | Revalues: 14124 | GridSize: 101
Generation 70 | Revalues: 14340 | GridSize: 100
Generation 71 | Revalues: 14542 | GridSize: 97
Generation 72 | Revalues: 14752 | GridSize: 96
Generation 73 | Revalues: 14970 | GridSize: 92
Generation 74 | Revalues: 15132 | GridSize: 91
Generation 75 | Revalues: 15326 | GridSize: 94
Generation 76 | Revalues: 15518 | GridSize: 94
Generation 77 | Revalues: 15708 | GridSize: 95
Generation 78 | Revalues: 15888 | GridSize: 95
Generation 79 | Revalues: 16088 | GridSize: 95
Generation 80 | Revalues: 16268 | GridSize: 96
Generation 81 | Revalues: 16468 | GridSize: 96
Generation 82 | Revalues: 16682 | GridSize: 97
Generation 83 | Revalues: 16910 | GridSize: 96
Generation 84 | Revalues: 17132 | GridSize: 97
Generation 85 | Revalues: 17328 | GridSize: 98
Generation 86 | Revalues: 17528 | GridSize: 102
Generation 87 | Revalues: 17720 | GridSize: 103
Generation 88 | Revalues: 17932 | GridSize: 104
Generation 89 | Revalues: 18108 | GridSize: 104
Generation 90 | Revalues: 18320 | GridSize: 107
Generation 91 | Revalues: 18532 | GridSize: 107
Generation 92 | Revalues: 18740 | GridSize: 107
Generation 93 | Revalues: 18938 | GridSize: 106
Generation 94 | Revalues: 19146 | GridSize: 106
Generation 95 | Revalues: 19348 | GridSize: 107
Generation 96 | Revalues: 19544 | GridSize: 107
Generation 97 | Revalues: 19746 | GridSize: 109
Generation 98 | Revalues: 19922 | GridSize: 111
Generation 99 | Revalues: 20138 | GridSize: 112
Generation 100 | Revalues: 20360 | GridSize: 112
Generation 101 | Revalues: 20564 | GridSize: 110
Generation 102 | Revalues: 20788 | GridSize: 108
Generation 103 | Revalues: 20978 | GridSize: 107
Generation 104 | Revalues: 21174 | GridSize: 104
Generation 105 | Revalues: 21354 | GridSize: 104
Generation 106 | Revalues: 21556 | GridSize: 104
Generation 107 | Revalues: 21742 | GridSize: 104
Generation 108 | Revalues: 21924 | GridSize: 104
Generation 109 | Revalues: 22102 | GridSize: 105
Generation 110 | Revalues: 22330 | GridSize: 105
Generation 111 | Revalues: 22544 | GridSize: 107
Generation 112 | Revalues: 22722 | GridSize: 107
Generation 113 | Revalues: 22922 | GridSize: 108
Generation 114 | Revalues: 23120 | GridSize: 108
Generation 115 | Revalues: 23324 | GridSize: 107
Generation 116 | Revalues: 23550 | GridSize: 107
Generation 117 | Revalues: 23748 | GridSize: 108
Generation 118 | Revalues: 23944 | GridSize: 108
Generation 119 | Revalues: 24160 | GridSize: 111
Generation 120 | Revalues: 24354 | GridSize: 111
Generation 121 | Revalues: 24560 | GridSize: 112
Generation 122 | Revalues: 24758 | GridSize: 112
Generation 123 | Revalues: 24962 | GridSize: 112
Generation 124 | Revalues: 25158 | GridSize: 113
Generation 125 | Revalues: 25352 | GridSize: 113
Generation 126 | Revalues: 25534 | GridSize: 114
Generation 127 | Revalues: 25710 | GridSize: 114
Generation 128 | Revalues: 25926 | GridSize: 114
Generation 129 | Revalues: 26110 | GridSize: 114
Generation 130 | Revalues: 26298 | GridSize: 114
Generation 131 | Revalues: 26508 | GridSize: 116
Generation 132 | Revalues: 26686 | GridSize: 116
Generation 133 | Revalues: 26896 | GridSize: 116
Generation 134 | Revalues: 27114 | GridSize: 116
Generation 135 | Revalues: 27304 | GridSize: 116
Generation 136 | Revalues: 27498 | GridSize: 116
Generation 137 | Revalues: 27724 | GridSize: 116
Generation 138 | Revalues: 27914 | GridSize: 117
Generation 139 | Revalues: 28104 | GridSize: 117
Generation 140 | Revalues: 28310 | GridSize: 117
Generation 141 | Revalues: 28502 | GridSize: 117
Generation 142 | Revalues: 28702 | GridSize: 116
Generation 143 | Revalues: 28902 | GridSize: 117
Generation 144 | Revalues: 29112 | GridSize: 117
Generation 145 | Revalues: 29306 | GridSize: 117
Generation 146 | Revalues: 29488 | GridSize: 117
Generation 147 | Revalues: 29686 | GridSize: 118
Generation 148 | Revalues: 29906 | GridSize: 115
Generation 149 | Revalues: 30116 | GridSize: 115
Generation 150 | Revalues: 30316 | GridSize: 115
Generation 151 | Revalues: 30490 | GridSize: 115
Generation 152 | Revalues: 30690 | GridSize: 115
Generation 153 | Revalues: 30872 | GridSize: 115
Generation 154 | Revalues: 31086 | GridSize: 115
Generation 155 | Revalues: 31290 | GridSize: 116
Generation 156 | Revalues: 31490 | GridSize: 116
Generation 157 | Revalues: 31678 | GridSize: 116
Generation 158 | Revalues: 31874 | GridSize: 116
Generation 159 | Revalues: 32086 | GridSize: 116
Generation 160 | Revalues: 32274 | GridSize: 116
Generation 161 | Revalues: 32486 | GridSize: 117
Generation 162 | Revalues: 32672 | GridSize: 115
Generation 163 | Revalues: 32866 | GridSize: 115
Generation 164 | Revalues: 33034 | GridSize: 115
Generation 165 | Revalues: 33226 | GridSize: 117
Generation 166 | Revalues: 33426 | GridSize: 118
Generation 167 | Revalues: 33630 | GridSize: 119
Generation 168 | Revalues: 33842 | GridSize: 119
Generation 169 | Revalues: 34048 | GridSize: 118
Generation 170 | Revalues: 34232 | GridSize: 118
Generation 171 | Revalues: 34442 | GridSize: 118
Generation 172 | Revalues: 34634 | GridSize: 118
Generation 173 | Revalues: 34848 | GridSize: 118
Generation 174 | Revalues: 35068 | GridSize: 118
Generation 175 | Revalues: 35270 | GridSize: 120
Generation 176 | Revalues: 35498 | GridSize: 120
Generation 177 | Revalues: 35696 | GridSize: 117
Generation 178 | Revalues: 35914 | GridSize: 117
Generation 179 | Revalues: 36132 | GridSize: 117
Generation 180 | Revalues: 36312 | GridSize: 117
Generation 181 | Revalues: 36516 | GridSize: 116
Generation 182 | Revalues: 36706 | GridSize: 116
Generation 183 | Revalues: 36888 | GridSize: 116
Generation 184 | Revalues: 37110 | GridSize: 116
Generation 185 | Revalues: 37312 | GridSize: 116
Generation 186 | Revalues: 37494 | GridSize: 116
Generation 187 | Revalues: 37684 | GridSize: 116
Generation 188 | Revalues: 37876 | GridSize: 116
Generation 189 | Revalues: 38114 | GridSize: 116
Generation 190 | Revalues: 38308 | GridSize: 117
Generation 191 | Revalues: 38538 | GridSize: 117
Generation 192 | Revalues: 38724 | GridSize: 117
Generation 193 | Revalues: 38924 | GridSize: 119
Generation 194 | Revalues: 39122 | GridSize: 118
Generation 195 | Revalues: 39326 | GridSize: 119
Generation 196 | Revalues: 39530 | GridSize: 119
Generation 197 | Revalues: 39746 | GridSize: 118
Generation 198 | Revalues: 39954 | GridSize: 115
Generation 199 | Revalues: 40150 | GridSize: 115
Generation 200 | Revalues: 40336 | GridSize: 116
Generation 201 | Revalues: 40522 | GridSize: 116
Generation 202 | Revalues: 40728 | GridSize: 118
Generation 203 | Revalues: 40920 | GridSize: 118
Generation 204 | Revalues: 41100 | GridSize: 118
Generation 205 | Revalues: 41302 | GridSize: 120
Generation 206 | Revalues: 41514 | GridSize: 121
Generation 207 | Revalues: 41724 | GridSize: 121
Generation 208 | Revalues: 41924 | GridSize: 122
Generation 209 | Revalues: 42122 | GridSize: 119
Generation 210 | Revalues: 42312 | GridSize: 120
Generation 211 | Revalues: 42510 | GridSize: 120
Generation 212 | Revalues: 42714 | GridSize: 120
Generation 213 | Revalues: 42918 | GridSize: 120
Generation 214 | Revalues: 43124 | GridSize: 120
Generation 215 | Revalues: 43300 | GridSize: 121
Generation 216 | Revalues: 43500 | GridSize: 121
Generation 217 | Revalues: 43698 | GridSize: 122
Generation 218 | Revalues: 43892 | GridSize: 122
Generation 219 | Revalues: 44106 | GridSize: 123
Generation 220 | Revalues: 44292 | GridSize: 123
Generation 221 | Revalues: 44504 | GridSize: 125
