Generation 0 | Revalues: 100 | GridSize: 1
Generation 1 | Revalues: 302 | GridSize: 2
Generation 2 | Revalues: 494 | GridSize: 1
Generation 3 | Revalues: 704 | GridSize: 2
Generation 4 | Revalues: 896 | GridSize: 2
Generation 5 | Revalues: 1074 | GridSize: 2
Generation 6 | Revalues: 1274 | GridSize: 2
Generation 7 | Revalues: 1440 | GridSize: 2
Generation 8 | Revalues: 1638 | GridSize: 2
Generation 9 | Revalues: 1812 | GridSize: 2
Generation 10 | Revalues: 2026 | GridSize: 2
Generation 11 | Revalues: 2232 | GridSize: 2
Generation 12 | Revalues: 2424 | GridSize: 2
Generation 13 | Revalues: 2620 | GridSize: 2
Generation 14 | Revalues: 2828 | GridSize: 2
Generation 15 | Revalues: 3034 | GridSize: 2
Generation 16 | Revalues: 3226 | GridSize: 2
Generation 17 | Revalues: 3418 | GridSize: 2
Generation 18 | Revalues: 3634 | GridSize: 2
Generation 19 | Revalues: 3850 | GridSize: 2
Generation 20 | Revalues: 4038 | GridSize: 2
Generation 21 | Revalues: 4258 | GridSize: 2
Generation 22 | Revalues: 4464 | GridSize: 2
Generation 23 | Revalues: 4642 | GridSize: 2
Generation 24 | Revalues: 4834 | GridSize: 2
Generation 25 | Revalues: 5030 | GridSize: 2
Generation 26 | Revalues: 5226 | GridSize: 2
Generation 27 | Revalues: 5430 | GridSize: 2
Generation 28 | Revalues: 5626 | GridSize: 2
Generation 29 | Revalues: 5840 | GridSize: 2
Generation 30 | Revalues: 6040 | GridSize: 2
Generation 31 | Revalues: 6242 | GridSize: 2
Generation 32 | Revalues: 6436 | GridSize: 2
Generation 33 | Revalues: 6648 | GridSize: 2
Generation 34 | Revalues: 6848 | GridSize: 2
Generation 35 | Revalues: 7026 | GridSize: 2
Generation 36 | Revalues: 7214 | GridSize: 2
Generation 37 | Revalues: 7436 | GridSize: 2
Generation 38 | Revalues: 7632 | GridSize: 2
Generation 39 | Revalues: 7832 | GridSize: 2
Generation 40 | Revalues: 8034 | GridSize: 2
Generation 41 | Revalues: 8246 | GridSize: 2
Generation 42 | Revalues: 8446 | GridSize: 2
Generation 43 | Revalues: 8650 | GridSize: 2
Generation 44 | Revalues: 8832 | GridSize: 2
Generation 45 | Revalues: 9028 | GridSize: 2
Generation 46 | Revalues: 9216 | GridSize: 2
Generation 47 | Revalues: 9418 | GridSize: 2
Generation 48 | Revalues: 9610 | GridSize: 2
Generation 49 | Revalues: 9806 | GridSize: 2
Generation 50 | Revalues: 9996 | GridSize: 2
Generation 51 | Revalues: 10212 | GridSize: 2
Generation 52 | Revalues: 10400 | GridSize: 2
Generation 53 | Revalues: 10586 | GridSize: 2
Generation 54 | Revalues: 10772 | GridSize: 2
Generation 55 | Revalues: 10954 | GridSize: 2
Generation 56 | Revalues: 11132 | GridSize: 2
Generation 57 | Revalues: 11336 | GridSize: 2
Generation 58 | Revalues: 11556 | GridSize: 2
Generation 59 | Revalues: 11776 | GridSize: 2
Generation 60 | Revalues: 11954 | GridSize: 2
Generation 61 | Revalues: 12172 | GridSize: 2
Generation 62 | Revalues: 12362 | GridSize: 2
Generation 63 | Revalues: 12556 | GridSize: 2
Generation 64 | Revalues: 12742 | GridSize: 2
Generation 65 | Revalues: 12940 | GridSize: 2
Generation 66 | Revalues: 13144 | GridSize: 2
Generation 67 | Revalues: 13344 | GridSize: 2
Generation 68 | Revalues: 13544 | GridSize: 2
Generation 69 | Revalues: 13738 | GridSize: 2
Generation 70 | Revalues: 13920 | GridSize: 2
Generation 71 | Revalues: 14118 | GridSize: 2
Generation 72 | Revalues: 14348 | GridSize: 2
Generation 73 | Revalues: 14550 | GridSize: 2
Generation 74 | Revalues: 14738 | GridSize: 2
Generation 75 | Revalues: 14956 | GridSize: 2
Generation 76 | Revalues: 15164 | GridSize: 2
Generation 77 | Revalues: 15362 | GridSize: 2
Generation 78 | Revalues: 15580 | GridSize: 2
Generation 79 | Revalues: 15784 | GridSize: 2
Generation 80 | Revalues: 16000 | GridSize: 2
Generation 81 | Revalues: 16188 | GridSize: 2
Generation 82 | Revalues: 16376 | GridSize: 2
Generation 83 | Revalues: 16586 | GridSize: 2
Generation 84 | Revalues: 16756 | GridSize: 2
Generation 85 | Revalues: 16956 | GridSize: 2
Generation 86 | Revalues: 17150 | GridSize: 2
Generation 87 | Revalues: 17384 | GridSize: 2
Generation 88 | Revalues: 17570 | GridSize: 2
Generation 89 | Revalues: 17744 | GridSize: 2
Generation 90 | Revalues: 17938 | GridSize: 2
Generation 91 | Revalues: 18140 | GridSize: 2
Generation 92 | Revalues: 18346 | GridSize: 2
Generation 93 | Revalues: 18540 | GridSize: 2
Generation 94 | Revalues: 18732 | GridSize: 2
Generation 95 | Revalues: 18954 | GridSize: 2
Generation 96 | Revalues: 19170 | GridSize: 2
Generation 97 | Revalues: 19372 | GridSize: 2
Generation 98 | Revalues: 19566 | GridSize: 2
Generation 99 | Revalues: 19770 | GridSize: 2
Generation 100 | Revalues: 19962 | GridSize: 2
Generation 101 | Revalues: 20152 | GridSize: 2
Generation 102 | Revalues: 20378 | GridSize: 2
Generation 103 | Revalues: 20560 | GridSize: 2
Generation 104 | Revalues: 20768 | GridSize: 2
Generation 105 | Revalues: 20950 | GridSize: 2
