global_index,zone,zone_index,x,y
0,0,0,127428.315509,128584.216918
1,0,1,127469.096093,128584.216918
2,0,2,127387.534924,128543.456423
3,0,3,127428.315509,128543.456423
4,0,4,127346.754340,128502.695928
5,0,5,127387.534924,128502.695928
6,0,6,127305.973756,128461.935434
7,0,7,127346.754340,128461.935434
8,0,8,127265.193172,128421.174939
9,0,9,127305.973756,128421.174939
10,0,10,127224.412587,128380.414444
11,0,11,127265.193172,128380.414444
12,0,12,127183.632003,128339.653949
13,0,13,127224.412587,128339.653949
14,0,14,127102.070834,128298.893455
15,0,15,127142.851419,128298.893455
16,0,16,127183.632003,128298.893455
17,0,17,127224.412587,128298.893455
18,0,18,127061.290250,128258.132960
19,0,19,127102.070834,128258.132960
20,0,20,127142.851419,128258.132960
21,0,21,127183.632003,128258.132960
22,0,22,127020.509666,128217.372465
23,0,23,127061.290250,128217.372465
24,0,24,127102.070834,128217.372465
25,0,25,127142.851419,128217.372465
26,0,26,126979.729082,128176.611970
27,0,27,127020.509666,128176.611970
28,0,28,127061.290250,128176.611970
29,0,29,127102.070834,128176.611970
30,0,30,126938.948497,128135.851476
31,0,31,126979.729082,128135.851476
32,0,32,127020.509666,128135.851476
33,0,33,127061.290250,128135.851476
34,0,34,126898.167913,128095.090981
35,0,35,126938.948497,128095.090981
36,0,36,126979.729082,128095.090981
37,0,37,127020.509666,128095.090981
38,0,38,126857.387329,128054.330486
39,0,39,126898.167913,128054.330486
40,0,40,126938.948497,128054.330486
41,0,41,126979.729082,128054.330486
42,0,42,126775.826160,128013.569991
43,0,43,126816.606745,128013.569991
44,0,44,126857.387329,128013.569991
45,0,45,126898.167913,128013.569991
46,0,46,126938.948497,128013.569991
47,0,47,126735.045576,127972.809497
48,0,48,126775.826160,127972.809497
49,0,49,126816.606745,127972.809497
50,0,50,126857.387329,127972.809497
51,0,51,126898.167913,127972.809497
52,0,52,126938.948497,127972.809497
53,0,53,126694.264992,127932.049002
54,0,54,126735.045576,127932.049002
55,0,55,126775.826160,127932.049002
56,0,56,126816.606745,127932.049002
57,0,57,126857.387329,127932.049002
58,0,58,126898.167913,127932.049002
59,0,59,126653.484408,127891.288507
60,0,60,126694.264992,127891.288507
61,0,61,126735.045576,127891.288507
62,0,62,126775.826160,127891.288507
63,0,63,126816.606745,127891.288507
64,0,64,126857.387329,127891.288507
65,0,65,126612.703823,127850.528013
66,0,66,126653.484408,127850.528013
67,0,67,126694.264992,127850.528013
68,0,68,126735.045576,127850.528013
69,0,69,126775.826160,127850.528013
70,0,70,126816.606745,127850.528013
71,0,71,126571.923239,127809.767518
72,0,72,126612.703823,127809.767518
73,0,73,126653.484408,127809.767518
74,0,74,126694.264992,127809.767518
75,0,75,126735.045576,127809.767518
76,0,76,126775.826160,127809.767518
77,0,77,126531.142655,127769.007023
78,0,78,126571.923239,127769.007023
79,0,79,126612.703823,127769.007023
80,0,80,126653.484408,127769.007023
81,0,81,126694.264992,127769.007023
82,0,82,126735.045576,127769.007023
83,0,83,126449.581486,127728.246528
84,0,84,126490.362071,127728.246528
85,0,85,126531.142655,127728.246528
86,0,86,126571.923239,127728.246528
87,0,87,126612.703823,127728.246528
88,0,88,126653.484408,127728.246528
89,0,89,126694.264992,127728.246528
90,0,90,126408.800902,127687.486034
91,0,91,126449.581486,127687.486034
92,0,92,126490.362071,127687.486034
93,0,93,126531.142655,127687.486034
94,0,94,126571.923239,127687.486034
95,0,95,126612.703823,127687.486034
96,0,96,126653.484408,127687.486034
97,0,97,126694.264992,127687.486034
98,0,98,126368.020318,127646.725539
99,0,99,126408.800902,127646.725539
100,0,100,126449.581486,127646.725539
101,0,101,126490.362071,127646.725539
