algorithm,instance,run_id,vector_id,generation,iteration,f_cost,f_power,weight1,weight2,occupied
moead,63t_01_r1e-04,17,0,0,0,156622611.910607,52923.348419,0.000000,1.000000,784 37652 40135 48381 69993 74598 88793 90609 101993 123509 150839 152936 158921 166954 177903 179223 179560 215809 222439 244825 246820 256615 260350 274270 286241 293348 310518 315170 316495 326834 328093 335849 339268 339288 367150 379579 386700 397811 408579 420734 423525 451207 453544 454926 458826 461587 480065 482140 492783 493318 503145 516027 520421 530652 543818 561321 561615 571063 575838 580488 612812 622096 623408
moead,63t_01_r1e-04,17,1,0,0,155229448.874425,47764.393913,0.111111,0.888889,35132 59384 62873 77132 94802 109031 109784 112255 112323 116778 117776 139073 142207 171941 173739 187646 187757 189720 195901 197158 199950 203490 218547 229736 235412 241221 254934 262907 263702 266497 268849 272232 297682 313327 341706 361555 380000 380953 395641 404875 408707 408748 446957 455325 466641 475425 491866 497076 506328 510218 511425 512949 517129 524699 537024 545055 547905 573701 585580 601688 618225 619003 621947
moead,63t_01_r1e-04,17,2,0,0,155229448.874425,47764.393913,0.222222,0.777778,35132 59384 62873 77132 94802 109031 109784 112255 112323 116778 117776 139073 142207 171941 173739 187646 187757 189720 195901 197158 199950 203490 218547 229736 235412 241221 254934 262907 263702 266497 268849 272232 297682 313327 341706 361555 380000 380953 395641 404875 408707 408748 446957 455325 466641 475425 491866 497076 506328 510218 511425 512949 517129 524699 537024 545055 547905 573701 585580 601688 618225 619003 621947
moead,63t_01_r1e-04,17,3,0,0,155229448.874425,47764.393913,0.333333,0.666667,35132 59384 62873 77132 94802 109031 109784 112255 112323 116778 117776 139073 142207 171941 173739 187646 187757 189720 195901 197158 199950 203490 218547 229736 235412 241221 254934 262907 263702 266497 268849 272232 297682 313327 341706 361555 380000 380953 395641 404875 408707 408748 446957 455325 466641 475425 491866 497076 506328 510218 511425 512949 517129 524699 537024 545055 547905 573701 585580 601688 618225 619003 621947
moead,63t_01_r1e-04,17,4,0,0,155229448.874425,47764.393913,0.444444,0.555556,35132 59384 62873 77132 94802 109031 109784 112255 112323 116778 117776 139073 142207 171941 173739 187646 187757 189720 195901 197158 199950 203490 218547 229736 235412 241221 254934 262907 263702 266497 268849 272232 297682 313327 341706 361555 380000 380953 395641 404875 408707 408748 446957 455325 466641 475425 491866 497076 506328 510218 511425 512949 517129 524699 537024 545055 547905 573701 585580 601688 618225 619003 621947
moead,63t_01_r1e-04,17,5,0,0,155229448.874425,47764.393913,0.555556,0.444444,35132 59384 62873 77132 94802 109031 109784 112255 112323 116778 117776 139073 142207 171941 173739 187646 187757 189720 195901 197158 199950 203490 218547 229736 235412 241221 254934 262907 263702 266497 268849 272232 297682 313327 341706 361555 380000 380953 395641 404875 408707 408748 446957 455325 466641 475425 491866 497076 506328 510218 511425 512949 517129 524699 537024 545055 547905 573701 585580 601688 618225 619003 621947
moead,63t_01_r1e-04,17,6,0,0,155229448.874425,47764.393913,0.666667,0.333333,35132 59384 62873 77132 94802 109031 109784 112255 112323 116778 117776 139073 142207 171941 173739 187646 187757 189720 195901 197158 199950 203490 218547 229736 235412 241221 254934 262907 263702 266497 268849 272232 297682 313327 341706 361555 380000 380953 395641 404875 408707 408748 446957 455325 466641 475425 491866 497076 506328 510218 511425 512949 517129 524699 537024 545055 547905 573701 585580 601688 618225 619003 621947
moead,63t_01_r1e-04,17,7,0,0,155229448.874425,47764.393913,0.777778,0.222222,35132 59384 62873 77132 94802 109031 109784 112255 112323 116778 117776 139073 142207 171941 173739 187646 187757 189720 195901 197158 199950 203490 218547 229736 235412 241221 254934 262907 263702 266497 268849 272232 297682 313327 341706 361555 380000 380953 395641 404875 408707 408748 446957 455325 466641 475425 491866 497076 506328 510218 511425 512949 517129 524699 537024 545055 547905 573701 585580 601688 618225 619003 621947
moead,63t_01_r1e-04,17,8,0,0,155229448.874425,47764.393913,0.888889,0.111111,35132 59384 62873 77132 94802 109031 109784 112255 112323 116778 117776 139073 142207 171941 173739 187646 187757 189720 195901 197158 199950 203490 218547 229736 235412 241221 254934 262907 263702 266497 268849 272232 297682 313327 341706 361555 380000 380953 395641 404875 408707 408748 446957 455325 466641 475425 491866 497076 506328 510218 511425 512949 517129 524699 537024 545055 547905 573701 585580 601688 618225 619003 621947
moead,63t_01_r1e-04,17,9,0,0,155229448.874425,47764.393913,1.000000,0.000000,35132 59384 62873 77132 94802 109031 109784 112255 112323 116778 117776 139073 142207 171941 173739 187646 187757 189720 195901 197158 199950 203490 218547 229736 235412 241221 254934 262907 263702 266497 268849 272232 297682 313327 341706 361555 380000 380953 395641 404875 408707 408748 446957 455325 466641 475425 491866 497076 506328 510218 511425 512949 517129 524699 537024 545055 547905 573701 585580 601688 618225 619003 621947
