Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 286 | GridSize: 14
Generation 2 | Revalues: 494 | GridSize: 19
Generation 3 | Revalues: 700 | GridSize: 17
Generation 4 | Revalues: 926 | GridSize: 21
Generation 5 | Revalues: 1140 | GridSize: 26
Generation 6 | Revalues: 1322 | GridSize: 27
Generation 7 | Revalues: 1516 | GridSize: 32
Generation 8 | Revalues: 1706 | GridSize: 26
Generation 9 | Revalues: 1892 | GridSize: 35
Generation 10 | Revalues: 2084 | GridSize: 39
Generation 11 | Revalues: 2300 | GridSize: 40
Generation 12 | Revalues: 2476 | GridSize: 42
Generation 13 | Revalues: 2674 | GridSize: 42
Generation 14 | Revalues: 2886 | GridSize: 43
Generation 15 | Revalues: 3054 | GridSize: 44
Generation 16 | Revalues: 3248 | GridSize: 50
Generation 17 | Revalues: 3444 | GridSize: 52
Generation 18 | Revalues: 3672 | GridSize: 50
Generation 19 | Revalues: 3856 | GridSize: 50
Generation 20 | Revalues: 4032 | GridSize: 50
Generation 21 | Revalues: 4228 | GridSize: 50
Generation 22 | Revalues: 4434 | GridSize: 53
Generation 23 | Revalues: 4628 | GridSize: 53
Generation 24 | Revalues: 4822 | GridSize: 55
Generation 25 | Revalues: 5026 | GridSize: 59
Generation 26 | Revalues: 5220 | GridSize: 61
Generation 27 | Revalues: 5412 | GridSize: 64
Generation 28 | Revalues: 5616 | GridSize: 66
Generation 29 | Revalues: 5834 | GridSize: 68
Generation 30 | Revalues: 6032 | GridSize: 69
Generation 31 | Revalues: 6232 | GridSize: 70
Generation 32 | Revalues: 6434 | GridSize: 70
Generation 33 | Revalues: 6612 | GridSize: 68
Generation 34 | Revalues: 6808 | GridSize: 66
Generation 35 | Revalues: 6992 | GridSize: 69
Generation 36 | Revalues: 7186 | GridSize: 75
Generation 37 | Revalues: 7380 | GridSize: 77
Generation 38 | Revalues: 7562 | GridSize: 85
Generation 39 | Revalues: 7726 | GridSize: 73
Generation 40 | Revalues: 7914 | GridSize: 75
Generation 41 | Revalues: 8084 | GridSize: 77
Generation 42 | Revalues: 8286 | GridSize: 73
Generation 43 | Revalues: 8492 | GridSize: 74
Generation 44 | Revalues: 8690 | GridSize: 75
Generation 45 | Revalues: 8910 | GridSize: 78
Generation 46 | Revalues: 9140 | GridSize: 82
Generation 47 | Revalues: 9346 | GridSize: 86
Generation 48 | Revalues: 9552 | GridSize: 83
Generation 49 | Revalues: 9758 | GridSize: 83
Generation 50 | Revalues: 9960 | GridSize: 81
Generation 51 | Revalues: 10162 | GridSize: 82
Generation 52 | Revalues: 10362 | GridSize: 87
Generation 53 | Revalues: 10560 | GridSize: 86
Generation 54 | Revalues: 10770 | GridSize: 86
Generation 55 | Revalues: 10970 | GridSize: 87
Generation 56 | Revalues: 11154 | GridSize: 90
Generation 57 | Revalues: 11352 | GridSize: 91
Generation 58 | Revalues: 11534 | GridSize: 85
Generation 59 | Revalues: 11726 | GridSize: 92
Generation 60 | Revalues: 11920 | GridSize: 85
Generation 61 | Revalues: 12130 | GridSize: 86
Generation 62 | Revalues: 12306 | GridSize: 87
Generation 63 | Revalues: 12502 | GridSize: 88
Generation 64 | Revalues: 12712 | GridSize: 89
Generation 65 | Revalues: 12916 | GridSize: 87
Generation 66 | Revalues: 13108 | GridSize: 90
Generation 67 | Revalues: 13310 | GridSize: 92
