global_index,zone,zone_index,x,y
0,0,0,119213.119750,135598.973724
1,0,1,119373.422232,135598.973724
2,0,2,119533.724715,135598.973724
3,0,3,119694.027198,135598.973724
4,0,4,119854.329680,135598.973724
5,0,5,118892.514785,135438.894071
6,0,6,119052.817267,135438.894071
7,0,7,119213.119750,135438.894071
8,0,8,119373.422232,135438.894071
9,0,9,119533.724715,135438.894071
10,0,10,119694.027198,135438.894071
11,0,11,119854.329680,135438.894071
12,0,12,120014.632163,135438.894071
13,0,13,120174.934645,135438.894071
14,0,14,120335.237128,135438.894071
15,0,15,120495.539611,135438.894071
16,0,16,120655.842093,135438.894071
17,0,17,120816.144576,135438.894071
18,0,18,120976.447059,135438.894071
19,0,19,118571.909819,135278.814418
20,0,20,118732.212302,135278.814418
21,0,21,118892.514785,135278.814418
22,0,22,119052.817267,135278.814418
23,0,23,119213.119750,135278.814418
24,0,24,119373.422232,135278.814418
25,0,25,119533.724715,135278.814418
26,0,26,119694.027198,135278.814418
27,0,27,119854.329680,135278.814418
28,0,28,120014.632163,135278.814418
29,0,29,120174.934645,135278.814418
30,0,30,120335.237128,135278.814418
31,0,31,120495.539611,135278.814418
32,0,32,120655.842093,135278.814418
33,0,33,120816.144576,135278.814418
34,0,34,120976.447059,135278.814418
35,0,35,121136.749541,135278.814418
36,0,36,121297.052024,135278.814418
37,0,37,121457.354506,135278.814418
38,0,38,121617.656989,135278.814418
39,0,39,121777.959472,135278.814418
40,0,40,121938.261954,135278.814418
41,0,41,122098.564437,135278.814418
42,0,42,122258.866919,135278.814418
43,0,43,118091.002372,135118.734764
44,0,44,118251.304854,135118.734764
45,0,45,118411.607337,135118.734764
46,0,46,118571.909819,135118.734764
47,0,47,118732.212302,135118.734764
48,0,48,118892.514785,135118.734764
49,0,49,119052.817267,135118.734764
50,0,50,119213.119750,135118.734764
51,0,51,119373.422232,135118.734764
52,0,52,119533.724715,135118.734764
53,0,53,119694.027198,135118.734764
54,0,54,119854.329680,135118.734764
55,0,55,120014.632163,135118.734764
56,0,56,120174.934645,135118.734764
57,0,57,120335.237128,135118.734764
58,0,58,120495.539611,135118.734764
59,0,59,120655.842093,135118.734764
60,0,60,120816.144576,135118.734764
61,0,61,120976.447059,135118.734764
62,0,62,121136.749541,135118.734764
63,0,63,121297.052024,135118.734764
64,0,64,121457.354506,135118.734764
65,0,65,121617.656989,135118.734764
66,0,66,121777.959472,135118.734764
67,0,67,121938.261954,135118.734764
68,0,68,122098.564437,135118.734764
69,0,69,122258.866919,135118.734764
70,0,70,122419.169402,135118.734764
71,0,71,122579.471885,135118.734764
72,0,72,122739.774367,135118.734764
73,0,73,122900.076850,135118.734764
74,0,74,123060.379332,135118.734764
75,0,75,123220.681815,135118.734764
76,0,76,123380.984298,135118.734764
77,0,77,117770.397406,134958.655111
78,0,78,117930.699889,134958.655111
79,0,79,118091.002372,134958.655111
80,0,80,118251.304854,134958.655111
81,0,81,118411.607337,134958.655111
82,0,82,118571.909819,134958.655111
83,0,83,118732.212302,134958.655111
84,0,84,118892.514785,134958.655111
85,0,85,119052.817267,134958.655111
86,0,86,119213.119750,134958.655111
87,0,87,119373.422232,134958.655111
88,0,88,119533.724715,134958.655111
89,0,89,119694.027198,134958.655111
90,0,90,119854.329680,134958.655111
91,0,91,120014.632163,134958.655111
92,0,92,120174.934645,134958.655111
93,0,93,120335.237128,134958.655111
94,0,94,120495.539611,134958.655111
95,0,95,120655.842093,134958.655111
96,0,96,120816.144576,134958.655111
97,0,97,120976.447059,134958.655111
98,0,98,121136.749541,134958.655111
99,0,99,121297.052024,134958.655111
100,0,100,121457.354506,134958.655111
101,0,101,121617.656989,134958.655111
102,0,102,121777.959472,134958.655111
103,0,103,121938.261954,134958.655111
104,0,104,122098.564437,134958.655111
105,0,105,122258.866919,134958.655111
106,0,106,122419.169402,134958.655111
107,0,107,122579.471885,134958.655111
108,0,108,122739.774367,134958.655111
109,0,109,122900.076850,134958.655111
110,0,110,123060.379332,134958.655111
111,0,111,123220.681815,134958.655111
112,0,112,123380.984298,134958.655111
113,0,113,123541.286780,134958.655111
114,0,114,123701.589263,134958.655111
115,0,115,123861.891745,134958.655111
116,0,116,124022.194228,134958.655111
117,0,117,124182.496711,134958.655111
118,0,118,124342.799193,134958.655111
119,0,119,124503.101676,134958.655111
120,0,120,117449.792441,134798.575458
121,0,121,117610.094924,134798.575458
122,0,122,117770.397406,134798.575458
123,0,123,117930.699889,134798.575458
124,0,124,118091.002372,134798.575458
125,0,125,118251.304854,134798.575458
126,0,126,118411.607337,134798.575458
127,0,127,118571.909819,134798.575458
128,0,128,118732.212302,134798.575458
129,0,129,118892.514785,134798.575458
130,0,130,119052.817267,134798.575458
131,0,131,119213.119750,134798.575458
132,0,132,119373.422232,134798.575458
133,0,133,119533.724715,134798.575458
134,0,134,119694.027198,134798.575458
135,0,135,119854.329680,134798.575458
136,0,136,120014.632163,134798.575458
137,0,137,120174.934645,134798.575458
138,0,138,120335.237128,134798.575458
139,0,139,120495.539611,134798.575458
140,0,140,120655.842093,134798.575458
141,0,141,120816.144576,134798.575458
142,0,142,120976.447059,134798.575458
143,0,143,121136.749541,134798.575458
144,0,144,121297.052024,134798.575458
145,0,145,121457.354506,134798.575458
146,0,146,121617.656989,134798.575458
147,0,147,121777.959472,134798.575458
148,0,148,121938.261954,134798.575458
149,0,149,122098.564437,134798.575458
150,0,150,122258.866919,134798.575458
151,0,151,122419.169402,134798.575458
152,0,152,122579.471885,134798.575458
153,0,153,122739.774367,134798.575458
154,0,154,122900.076850,134798.575458
155,0,155,123060.379332,134798.575458
156,0,156,123220.681815,134798.575458
157,0,157,123380.984298,134798.575458
158,0,158,123541.286780,134798.575458
159,0,159,123701.589263,134798.575458
160,0,160,123861.891745,134798.575458
161,0,161,124022.194228,134798.575458
162,0,162,124182.496711,134798.575458
163,0,163,124342.799193,134798.575458
164,0,164,124503.101676,134798.575458
165,0,165,124663.404158,134798.575458
166,0,166,124823.706641,134798.575458
167,0,167,124984.009124,134798.575458
168,0,168,125144.311606,134798.575458
169,0,169,116968.884993,134638.495804
170,0,170,117129.187476,134638.495804
171,0,171,117289.489959,134638.495804
172,0,172,117449.792441,134638.495804
173,0,173,117610.094924,134638.495804
174,0,174,117770.397406,134638.495804
175,0,175,117930.699889,134638.495804
176,0,176,118091.002372,134638.495804
177,0,177,118251.304854,134638.495804
178,0,178,118411.607337,134638.495804
179,0,179,118571.909819,134638.495804
180,0,180,118732.212302,134638.495804
