algorithm,instance,run_id,vector_id,generation,iteration,f_cost,f_power,weight1,weight2,occupied
moead,ns488,2,0,0,0,99527007.958775,894292.553711,0.000000,1.000000,66 412 841 937 948 1107 1229 1355 1430 2101 2124 2627 2679 2795 2823 2930 3267 3440 3636 3992 4000 4019 4030 4544 4694 4732 4755 4883 4964 5270 5383 5580 5588 5970 6019 6072 6173 6314 6424 6592
moead,ns488,2,1,0,0,97004381.068853,881561.089844,0.020408,0.979592,28 44 49 75 231 784 813 854 967 996 1019 1331 1389 2037 2106 2341 2505 2873 3002 3128 3173 3394 3441 3740 3911 4238 4280 4618 4654 4806 5056 5199 5254 5297 5400 5696 5753 5875 5884 6136
moead,ns488,2,2,0,0,96178037.210094,873440.003906,0.040816,0.959184,86 119 199 507 557 689 993 1158 1750 2028 2067 2137 2168 2404 2631 2946 3479 3496 3640 3756 3779 3807 3940 4008 4145 4155 4184 4198 4407 4733 5010 5207 5262 5375 5382 5693 5837 6092 6107 6379
moead,ns488,2,3,0,0,96178037.210094,873440.003906,0.061224,0.938776,86 119 199 507 557 689 993 1158 1750 2028 2067 2137 2168 2404 2631 2946 3479 3496 3640 3756 3779 3807 3940 4008 4145 4155 4184 4198 4407 4733 5010 5207 5262 5375 5382 5693 5837 6092 6107 6379
moead,ns488,2,4,0,0,96178037.210094,873440.003906,0.081633,0.918367,86 119 199 507 557 689 993 1158 1750 2028 2067 2137 2168 2404 2631 2946 3479 3496 3640 3756 3779 3807 3940 4008 4145 4155 4184 4198 4407 4733 5010 5207 5262 5375 5382 5693 5837 6092 6107 6379
moead,ns488,2,5,0,0,96178037.210094,873440.003906,0.102041,0.897959,86 119 199 507 557 689 993 1158 1750 2028 2067 2137 2168 2404 2631 2946 3479 3496 3640 3756 3779 3807 3940 4008 4145 4155 4184 4198 4407 4733 5010 5207 5262 5375 5382 5693 5837 6092 6107 6379
moead,ns488,2,6,0,0,96178037.210094,873440.003906,0.122449,0.877551,86 119 199 507 557 689 993 1158 1750 2028 2067 2137 2168 2404 2631 2946 3479 3496 3640 3756 3779 3807 3940 4008 4145 4155 4184 4198 4407 4733 5010 5207 5262 5375 5382 5693 5837 6092 6107 6379
moead,ns488,2,7,0,0,96178037.210094,873440.003906,0.142857,0.857143,86 119 199 507 557 689 993 1158 1750 2028 2067 2137 2168 2404 2631 2946 3479 3496 3640 3756 3779 3807 3940 4008 4145 4155 4184 4198 4407 4733 5010 5207 5262 5375 5382 5693 5837 6092 6107 6379
moead,ns488,2,8,0,0,96178037.210094,873440.003906,0.163265,0.836735,86 119 199 507 557 689 993 1158 1750 2028 2067 2137 2168 2404 2631 2946 3479 3496 3640 3756 3779 3807 3940 4008 4145 4155 4184 4198 4407 4733 5010 5207 5262 5375 5382 5693 5837 6092 6107 6379
moead,ns488,2,9,0,0,96178037.210094,873440.003906,0.183673,0.816327,86 119 199 507 557 689 993 1158 1750 2028 2067 2137 2168 2404 2631 2946 3479 3496 3640 3756 3779 3807 3940 4008 4145 4155 4184 4198 4407 4733 5010 5207 5262 5375 5382 5693 5837 6092 6107 6379
moead,ns488,2,10,0,0,96059798.750214,867353.947266,0.204082,0.795918,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
moead,ns488,2,11,0,0,96059798.750214,867353.947266,0.224490,0.775510,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
moead,ns488,2,12,0,0,96059798.750214,867353.947266,0.244898,0.755102,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
moead,ns488,2,13,0,0,96059798.750214,867353.947266,0.265306,0.734694,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
moead,ns488,2,14,0,0,96059798.750214,867353.947266,0.285714,0.714286,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
moead,ns488,2,15,0,0,96059798.750214,867353.947266,0.306122,0.693878,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
moead,ns488,2,16,0,0,96059798.750214,867353.947266,0.326531,0.673469,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
moead,ns488,2,17,0,0,96059798.750214,867353.947266,0.346939,0.653061,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
moead,ns488,2,18,0,0,96059798.750214,867353.947266,0.367347,0.632653,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
moead,ns488,2,19,0,0,96059798.750214,867353.947266,0.387755,0.612245,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
moead,ns488,2,20,0,0,96059798.750214,867353.947266,0.408163,0.591837,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
moead,ns488,2,21,0,0,96059798.750214,867353.947266,0.428571,0.571429,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
moead,ns488,2,22,0,0,96059798.750214,867353.947266,0.448980,0.551020,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
moead,ns488,2,23,0,0,96059798.750214,867353.947266,0.469388,0.530612,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
moead,ns488,2,24,0,0,96059798.750214,867353.947266,0.489796,0.510204,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
moead,ns488,2,25,0,0,96059798.750214,867353.947266,0.510204,0.489796,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
moead,ns488,2,26,0,0,96059798.750214,867353.947266,0.530612,0.469388,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
moead,ns488,2,27,0,0,96059798.750214,867353.947266,0.551020,0.448980,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
moead,ns488,2,28,0,0,96059798.750214,867353.947266,0.571429,0.428571,62 81 181 193 198 221 478 539 885 1488 1561 1630 1652 2032 2067 2144 2505 2741 3139 3465 3771 3839 3881 3918 4028 4222 4319 4338 4596 4625 4707 4806 4873 5036 5358 5595 5716 5863 5998 6343
