Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 326 | GridSize: 6
Generation 2 | Revalues: 536 | GridSize: 5
Generation 3 | Revalues: 726 | GridSize: 8
Generation 4 | Revalues: 886 | GridSize: 11
Generation 5 | Revalues: 1080 | GridSize: 13
Generation 6 | Revalues: 1278 | GridSize: 14
Generation 7 | Revalues: 1480 | GridSize: 16
Generation 8 | Revalues: 1682 | GridSize: 12
Generation 9 | Revalues: 1888 | GridSize: 13
Generation 10 | Revalues: 2074 | GridSize: 11
Generation 11 | Revalues: 2284 | GridSize: 13
Generation 12 | Revalues: 2450 | GridSize: 15
Generation 13 | Revalues: 2646 | GridSize: 19
Generation 14 | Revalues: 2842 | GridSize: 15
Generation 15 | Revalues: 3052 | GridSize: 15
Generation 16 | Revalues: 3248 | GridSize: 16
Generation 17 | Revalues: 3480 | GridSize: 18
Generation 18 | Revalues: 3710 | GridSize: 16
Generation 19 | Revalues: 3906 | GridSize: 16
Generation 20 | Revalues: 4086 | GridSize: 16
Generation 21 | Revalues: 4266 | GridSize: 16
Generation 22 | Revalues: 4476 | GridSize: 17
Generation 23 | Revalues: 4668 | GridSize: 18
Generation 24 | Revalues: 4852 | GridSize: 18
Generation 25 | Revalues: 5040 | GridSize: 21
Generation 26 | Revalues: 5252 | GridSize: 21
Generation 27 | Revalues: 5432 | GridSize: 21
Generation 28 | Revalues: 5656 | GridSize: 23
Generation 29 | Revalues: 5874 | GridSize: 23
Generation 30 | Revalues: 6066 | GridSize: 23
Generation 31 | Revalues: 6256 | GridSize: 23
Generation 32 | Revalues: 6452 | GridSize: 22
Generation 33 | Revalues: 6632 | GridSize: 23
Generation 34 | Revalues: 6852 | GridSize: 23
Generation 35 | Revalues: 7062 | GridSize: 23
Generation 36 | Revalues: 7264 | GridSize: 23
Generation 37 | Revalues: 7496 | GridSize: 24
Generation 38 | Revalues: 7702 | GridSize: 24
Generation 39 | Revalues: 7912 | GridSize: 24
Generation 40 | Revalues: 8096 | GridSize: 23
Generation 41 | Revalues: 8288 | GridSize: 24
Generation 42 | Revalues: 8496 | GridSize: 21
Generation 43 | Revalues: 8698 | GridSize: 21
Generation 44 | Revalues: 8898 | GridSize: 22
Generation 45 | Revalues: 9084 | GridSize: 22
Generation 46 | Revalues: 9310 | GridSize: 22
Generation 47 | Revalues: 9518 | GridSize: 22
Generation 48 | Revalues: 9702 | GridSize: 19
Generation 49 | Revalues: 9908 | GridSize: 20
Generation 50 | Revalues: 10102 | GridSize: 20
Generation 51 | Revalues: 10296 | GridSize: 21
Generation 52 | Revalues: 10498 | GridSize: 21
Generation 53 | Revalues: 10698 | GridSize: 22
Generation 54 | Revalues: 10896 | GridSize: 23
Generation 55 | Revalues: 11102 | GridSize: 24
Generation 56 | Revalues: 11294 | GridSize: 25
Generation 57 | Revalues: 11518 | GridSize: 25
Generation 58 | Revalues: 11738 | GridSize: 27
Generation 59 | Revalues: 11936 | GridSize: 27
Generation 60 | Revalues: 12122 | GridSize: 27
Generation 61 | Revalues: 12314 | GridSize: 27
Generation 62 | Revalues: 12528 | GridSize: 27
Generation 63 | Revalues: 12760 | GridSize: 27
