global_index,zone,zone_index,x,y
0,0,0,127536.399782,128660.499993
1,0,1,127464.797882,128589.073893
2,0,2,127393.195982,128517.647792
3,0,3,127321.594082,128446.221691
4,0,4,127249.992183,128374.795591
5,0,5,127106.788383,128303.369490
6,0,6,127178.390283,128303.369490
7,0,7,127035.186483,128231.943390
8,0,8,127106.788383,128231.943390
9,0,9,126963.584583,128160.517289
10,0,10,127035.186483,128160.517289
11,0,11,126891.982683,128089.091188
12,0,12,126963.584583,128089.091188
13,0,13,127035.186483,128089.091188
14,0,14,126820.380783,128017.665088
15,0,15,126891.982683,128017.665088
16,0,16,126963.584583,128017.665088
17,0,17,126748.778883,127946.238987
18,0,18,126820.380783,127946.238987
19,0,19,126891.982683,127946.238987
20,0,20,126677.176984,127874.812887
21,0,21,126748.778883,127874.812887
22,0,22,126820.380783,127874.812887
23,0,23,126533.973184,127803.386786
24,0,24,126605.575084,127803.386786
25,0,25,126677.176984,127803.386786
26,0,26,126748.778883,127803.386786
27,0,27,126462.371284,127731.960686
28,0,28,126533.973184,127731.960686
29,0,29,126605.575084,127731.960686
30,0,30,126677.176984,127731.960686
31,0,31,126390.769384,127660.534585
32,0,32,126462.371284,127660.534585
33,0,33,126533.973184,127660.534585
34,0,34,126605.575084,127660.534585
35,0,35,126319.167484,127589.108484
36,0,36,126390.769384,127589.108484
37,0,37,126462.371284,127589.108484
38,0,38,126533.973184,127589.108484
39,0,39,126605.575084,127589.108484
40,0,40,126247.565584,127517.682384
41,0,41,126319.167484,127517.682384
42,0,42,126390.769384,127517.682384
43,0,43,126462.371284,127517.682384
44,0,44,126533.973184,127517.682384
45,0,45,126175.963684,127446.256283
46,0,46,126247.565584,127446.256283
47,0,47,126319.167484,127446.256283
48,0,48,126390.769384,127446.256283
49,0,49,126462.371284,127446.256283
50,0,50,126104.361785,127374.830183
51,0,51,126175.963684,127374.830183
52,0,52,126247.565584,127374.830183
53,0,53,126319.167484,127374.830183
54,0,54,126390.769384,127374.830183
55,0,55,125961.157985,127303.404082
56,0,56,126032.759885,127303.404082
57,0,57,126104.361785,127303.404082
58,0,58,126175.963684,127303.404082
59,0,59,126247.565584,127303.404082
60,0,60,126319.167484,127303.404082
61,0,61,125889.556085,127231.977981
62,0,62,125961.157985,127231.977981
63,0,63,126032.759885,127231.977981
64,0,64,126104.361785,127231.977981
65,0,65,126175.963684,127231.977981
66,0,66,126247.565584,127231.977981
67,0,67,125817.954185,127160.551881
68,0,68,125889.556085,127160.551881
69,0,69,125961.157985,127160.551881
70,0,70,126032.759885,127160.551881
71,0,71,126104.361785,127160.551881
72,0,72,126175.963684,127160.551881
73,0,73,125746.352285,127089.125780
74,0,74,125817.954185,127089.125780
75,0,75,125889.556085,127089.125780
76,0,76,125961.157985,127089.125780
77,0,77,126032.759885,127089.125780
78,0,78,126104.361785,127089.125780
79,0,79,126175.963684,127089.125780
80,0,80,125674.750385,127017.699680
81,0,81,125746.352285,127017.699680
82,0,82,125817.954185,127017.699680
83,0,83,125889.556085,127017.699680
84,0,84,125961.157985,127017.699680
85,0,85,126032.759885,127017.699680
86,0,86,126104.361785,127017.699680
87,0,87,125603.148485,126946.273579
88,0,88,125674.750385,126946.273579
89,0,89,125746.352285,126946.273579
90,0,90,125817.954185,126946.273579
91,0,91,125889.556085,126946.273579
92,0,92,125961.157985,126946.273579
93,0,93,126032.759885,126946.273579
94,0,94,125531.546586,126874.847479
95,0,95,125603.148485,126874.847479
96,0,96,125674.750385,126874.847479
97,0,97,125746.352285,126874.847479
98,0,98,125817.954185,126874.847479
99,0,99,125889.556085,126874.847479
100,0,100,125961.157985,126874.847479
101,0,101,125459.944686,126803.421378
102,0,102,125531.546586,126803.421378
103,0,103,125603.148485,126803.421378
104,0,104,125674.750385,126803.421378
105,0,105,125746.352285,126803.421378
106,0,106,125817.954185,126803.421378
107,0,107,125889.556085,126803.421378
108,0,108,125316.740886,126731.995277
109,0,109,125388.342786,126731.995277
110,0,110,125459.944686,126731.995277
111,0,111,125531.546586,126731.995277
112,0,112,125603.148485,126731.995277
113,0,113,125674.750385,126731.995277
114,0,114,125746.352285,126731.995277
115,0,115,125817.954185,126731.995277
116,0,116,125245.138986,126660.569177
117,0,117,125316.740886,126660.569177
118,0,118,125388.342786,126660.569177
119,0,119,125459.944686,126660.569177
120,0,120,125531.546586,126660.569177
121,0,121,125603.148485,126660.569177
122,0,122,125674.750385,126660.569177
123,0,123,125746.352285,126660.569177
124,0,124,125173.537086,126589.143076
125,0,125,125245.138986,126589.143076
126,0,126,125316.740886,126589.143076
127,0,127,125388.342786,126589.143076
128,0,128,125459.944686,126589.143076
129,0,129,125531.546586,126589.143076
130,0,130,125603.148485,126589.143076
131,0,131,125674.750385,126589.143076
132,0,132,125101.935186,126517.716976
133,0,133,125173.537086,126517.716976
134,0,134,125245.138986,126517.716976
135,0,135,125316.740886,126517.716976
136,0,136,125388.342786,126517.716976
137,0,137,125459.944686,126517.716976
138,0,138,125531.546586,126517.716976
139,0,139,125603.148485,126517.716976
140,0,140,125674.750385,126517.716976
141,0,141,125030.333286,126446.290875
142,0,142,125101.935186,126446.290875
143,0,143,125173.537086,126446.290875
144,0,144,125245.138986,126446.290875
145,0,145,125316.740886,126446.290875
146,0,146,125388.342786,126446.290875
147,0,147,125459.944686,126446.290875
148,0,148,125531.546586,126446.290875
149,0,149,125603.148485,126446.290875
150,0,150,124958.731387,126374.864775
151,0,151,125030.333286,126374.864775
152,0,152,125101.935186,126374.864775
153,0,153,125173.537086,126374.864775
154,0,154,125245.138986,126374.864775
155,0,155,125316.740886,126374.864775
156,0,156,125388.342786,126374.864775
157,0,157,125459.944686,126374.864775
158,0,158,125531.546586,126374.864775
159,0,159,124887.129487,126303.438674
160,0,160,124958.731387,126303.438674
161,0,161,125030.333286,126303.438674
162,0,162,125101.935186,126303.438674
163,0,163,125173.537086,126303.438674
164,0,164,125245.138986,126303.438674
165,0,165,125316.740886,126303.438674
166,0,166,125388.342786,126303.438674
167,0,167,125459.944686,126303.438674
168,0,168,124743.925687,126232.012573
169,0,169,124815.527587,126232.012573
170,0,170,124887.129487,126232.012573
171,0,171,124958.731387,126232.012573
172,0,172,125030.333286,126232.012573
173,0,173,125101.935186,126232.012573
174,0,174,125173.537086,126232.012573
175,0,175,125245.138986,126232.012573
176,0,176,125316.740886,126232.012573
177,0,177,125388.342786,126232.012573
178,0,178,124672.323787,126160.586473
179,0,179,124743.925687,126160.586473
180,0,180,124815.527587,126160.586473
181,0,181,124887.129487,126160.586473
182,0,182,124958.731387,126160.586473
183,0,183,125030.333286,126160.586473
184,0,184,125101.935186,126160.586473
185,0,185,125173.537086,126160.586473
186,0,186,125245.138986,126160.586473
187,0,187,125316.740886,126160.586473
188,0,188,124600.721887,126089.160372
189,0,189,124672.323787,126089.160372
190,0,190,124743.925687,126089.160372
191,0,191,124815.527587,126089.160372
192,0,192,124887.129487,126089.160372
193,0,193,124958.731387,126089.160372
194,0,194,125030.333286,126089.160372
195,0,195,125101.935186,126089.160372
196,0,196,125173.537086,126089.160372
197,0,197,125245.138986,126089.160372
198,0,198,124529.119987,126017.734272
199,0,199,124600.721887,126017.734272
200,0,200,124672.323787,126017.734272
201,0,201,124743.925687,126017.734272
202,0,202,124815.527587,126017.734272
203,0,203,124887.129487,126017.734272
204,0,204,124958.731387,126017.734272
205,0,205,125030.333286,126017.734272
206,0,206,125101.935186,126017.734272
207,0,207,125173.537086,126017.734272
208,0,208,125245.138986,126017.734272
209,0,209,124457.518087,125946.308171
210,0,210,124529.119987,125946.308171
211,0,211,124600.721887,125946.308171
212,0,212,124672.323787,125946.308171
213,0,213,124743.925687,125946.308171
214,0,214,124815.527587,125946.308171
215,0,215,124887.129487,125946.308171
216,0,216,124958.731387,125946.308171
217,0,217,125030.333286,125946.308171
218,0,218,125101.935186,125946.308171
219,0,219,125173.537086,125946.308171
220,0,220,124385.916188,125874.882070
221,0,221,124457.518087,125874.882070
222,0,222,124529.119987,125874.882070
223,0,223,124600.721887,125874.882070
224,0,224,124672.323787,125874.882070
