algorithm,instance,run_id,vector_id,generation,iteration,f_cost,f_power,weight1,weight2,occupied
nsga2,178_r1e-04,14,0,0,0,56274224.113910,126007.669250,0.000000,1.000000,328 8566 19109 19749 38037 46524 58200 73595 83247 94115 107115 107636 111012 128329 128810 145521 146827 173263 178559 189569 205933 220761 226812
nsga2,178_r1e-04,14,1,0,0,54305571.277633,119171.870972,0.111111,0.888889,8832 20644 28944 29000 53407 65284 72154 113493 120464 124330 137548 138148 149490 155918 157782 161285 169811 174172 175743 176574 181527 188732 195367
nsga2,178_r1e-04,14,2,0,0,54305571.277633,119171.870972,0.222222,0.777778,8832 20644 28944 29000 53407 65284 72154 113493 120464 124330 137548 138148 149490 155918 157782 161285 169811 174172 175743 176574 181527 188732 195367
nsga2,178_r1e-04,14,3,0,0,54305571.277633,119171.870972,0.333333,0.666667,8832 20644 28944 29000 53407 65284 72154 113493 120464 124330 137548 138148 149490 155918 157782 161285 169811 174172 175743 176574 181527 188732 195367
nsga2,178_r1e-04,14,4,0,0,54305571.277633,119171.870972,0.444444,0.555556,8832 20644 28944 29000 53407 65284 72154 113493 120464 124330 137548 138148 149490 155918 157782 161285 169811 174172 175743 176574 181527 188732 195367
nsga2,178_r1e-04,14,5,0,0,54305571.277633,119171.870972,0.555556,0.444444,8832 20644 28944 29000 53407 65284 72154 113493 120464 124330 137548 138148 149490 155918 157782 161285 169811 174172 175743 176574 181527 188732 195367
nsga2,178_r1e-04,14,6,0,0,54305571.277633,119171.870972,0.666667,0.333333,8832 20644 28944 29000 53407 65284 72154 113493 120464 124330 137548 138148 149490 155918 157782 161285 169811 174172 175743 176574 181527 188732 195367
nsga2,178_r1e-04,14,7,0,0,54305571.277633,119171.870972,0.777778,0.222222,8832 20644 28944 29000 53407 65284 72154 113493 120464 124330 137548 138148 149490 155918 157782 161285 169811 174172 175743 176574 181527 188732 195367
nsga2,178_r1e-04,14,8,0,0,54305571.277633,119171.870972,0.888889,0.111111,8832 20644 28944 29000 53407 65284 72154 113493 120464 124330 137548 138148 149490 155918 157782 161285 169811 174172 175743 176574 181527 188732 195367
nsga2,178_r1e-04,14,9,0,0,54305571.277633,119171.870972,1.000000,0.000000,8832 20644 28944 29000 53407 65284 72154 113493 120464 124330 137548 138148 149490 155918 157782 161285 169811 174172 175743 176574 181527 188732 195367
nsga2,178_r1e-04,14,0,50,1,50856179.951420,132641.429443,0.000000,1.000000,597 1332 1694 3521 14616 19279 21315 66391 69318 71271 72162 76279 83403 87688 89896 90711 96452 145521 145584 180115 194997 214263 220761
nsga2,178_r1e-04,14,1,50,1,48601200.160972,126755.202072,0.111111,0.888889,597 1332 1694 14616 15030 19279 20452 71271 74123 81369 82153 83403 84371 87688 87734 89694 89896 90711 96452 144202 180115 214263 220761
nsga2,178_r1e-04,14,2,50,1,48601200.160972,126755.202072,0.222222,0.777778,597 1332 1694 14616 15030 19279 20452 71271 74123 81369 82153 83403 84371 87688 87734 89694 89896 90711 96452 144202 180115 214263 220761
nsga2,178_r1e-04,14,3,50,1,48601200.160972,126755.202072,0.333333,0.666667,597 1332 1694 14616 15030 19279 20452 71271 74123 81369 82153 83403 84371 87688 87734 89694 89896 90711 96452 144202 180115 214263 220761
nsga2,178_r1e-04,14,4,50,1,48601200.160972,126755.202072,0.444444,0.555556,597 1332 1694 14616 15030 19279 20452 71271 74123 81369 82153 83403 84371 87688 87734 89694 89896 90711 96452 144202 180115 214263 220761
nsga2,178_r1e-04,14,5,50,1,48601200.160972,126755.202072,0.555556,0.444444,597 1332 1694 14616 15030 19279 20452 71271 74123 81369 82153 83403 84371 87688 87734 89694 89896 90711 96452 144202 180115 214263 220761
nsga2,178_r1e-04,14,6,50,1,48601200.160972,126755.202072,0.666667,0.333333,597 1332 1694 14616 15030 19279 20452 71271 74123 81369 82153 83403 84371 87688 87734 89694 89896 90711 96452 144202 180115 214263 220761
nsga2,178_r1e-04,14,7,50,1,48601200.160972,126755.202072,0.777778,0.222222,597 1332 1694 14616 15030 19279 20452 71271 74123 81369 82153 83403 84371 87688 87734 89694 89896 90711 96452 144202 180115 214263 220761
nsga2,178_r1e-04,14,8,50,1,48601200.160972,126755.202072,0.888889,0.111111,597 1332 1694 14616 15030 19279 20452 71271 74123 81369 82153 83403 84371 87688 87734 89694 89896 90711 96452 144202 180115 214263 220761
nsga2,178_r1e-04,14,9,50,1,48601200.160972,126755.202072,1.000000,0.000000,597 1332 1694 14616 15030 19279 20452 71271 74123 81369 82153 83403 84371 87688 87734 89694 89896 90711 96452 144202 180115 214263 220761
nsga2,178_r1e-04,14,0,100,2,48431305.319308,132641.429443,0.000000,1.000000,597 1332 1694 15030 15503 19279 20498 69318 71271 72162 76279 79184 83403 85485 85599 87688 89896 90711 174172 177464 184075 205962 214263
nsga2,178_r1e-04,14,1,100,2,47055740.473627,122125.212189,0.111111,0.888889,597 1332 1694 15030 15503 74123 76096 76279 81151 81369 82153 83403 84371 84441 85485 85599 87688 89896 90711 92118 144202 175743 184075
nsga2,178_r1e-04,14,2,100,2,47055740.473627,122125.212189,0.222222,0.777778,597 1332 1694 15030 15503 74123 76096 76279 81151 81369 82153 83403 84371 84441 85485 85599 87688 89896 90711 92118 144202 175743 184075
nsga2,178_r1e-04,14,3,100,2,47055740.473627,122125.212189,0.333333,0.666667,597 1332 1694 15030 15503 74123 76096 76279 81151 81369 82153 83403 84371 84441 85485 85599 87688 89896 90711 92118 144202 175743 184075
nsga2,178_r1e-04,14,4,100,2,47055740.473627,122125.212189,0.444444,0.555556,597 1332 1694 15030 15503 74123 76096 76279 81151 81369 82153 83403 84371 84441 85485 85599 87688 89896 90711 92118 144202 175743 184075
nsga2,178_r1e-04,14,5,100,2,47055740.473627,122125.212189,0.555556,0.444444,597 1332 1694 15030 15503 74123 76096 76279 81151 81369 82153 83403 84371 84441 85485 85599 87688 89896 90711 92118 144202 175743 184075
