Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 320 | GridSize: 8
Generation 2 | Revalues: 562 | GridSize: 13
Generation 3 | Revalues: 798 | GridSize: 8
Generation 4 | Revalues: 1012 | GridSize: 4
Generation 5 | Revalues: 1238 | GridSize: 9
Generation 6 | Revalues: 1490 | GridSize: 7
Generation 7 | Revalues: 1710 | GridSize: 10
Generation 8 | Revalues: 1916 | GridSize: 10
Generation 9 | Revalues: 2134 | GridSize: 12
Generation 10 | Revalues: 2362 | GridSize: 12
Generation 11 | Revalues: 2574 | GridSize: 10
Generation 12 | Revalues: 2780 | GridSize: 10
Generation 13 | Revalues: 2986 | GridSize: 10
Generation 14 | Revalues: 3206 | GridSize: 11
Generation 15 | Revalues: 3454 | GridSize: 11
Generation 16 | Revalues: 3658 | GridSize: 12
Generation 17 | Revalues: 3892 | GridSize: 15
Generation 18 | Revalues: 4120 | GridSize: 15
Generation 19 | Revalues: 4338 | GridSize: 16
Generation 20 | Revalues: 4594 | GridSize: 13
Generation 21 | Revalues: 4812 | GridSize: 15
Generation 22 | Revalues: 5026 | GridSize: 13
Generation 23 | Revalues: 5260 | GridSize: 14
Generation 24 | Revalues: 5470 | GridSize: 13
Generation 25 | Revalues: 5670 | GridSize: 12
Generation 26 | Revalues: 5860 | GridSize: 9
Generation 27 | Revalues: 6088 | GridSize: 14
Generation 28 | Revalues: 6314 | GridSize: 11
Generation 29 | Revalues: 6508 | GridSize: 7
Generation 30 | Revalues: 6736 | GridSize: 7
Generation 31 | Revalues: 6944 | GridSize: 10
Generation 32 | Revalues: 7144 | GridSize: 12
Generation 33 | Revalues: 7376 | GridSize: 11
Generation 34 | Revalues: 7600 | GridSize: 13
Generation 35 | Revalues: 7824 | GridSize: 15
Generation 36 | Revalues: 8052 | GridSize: 13
Generation 37 | Revalues: 8274 | GridSize: 13
Generation 38 | Revalues: 8492 | GridSize: 16
Generation 39 | Revalues: 8714 | GridSize: 15
Generation 40 | Revalues: 8944 | GridSize: 10
Generation 41 | Revalues: 9150 | GridSize: 10
Generation 42 | Revalues: 9360 | GridSize: 12
Generation 43 | Revalues: 9570 | GridSize: 14
Generation 44 | Revalues: 9812 | GridSize: 10
Generation 45 | Revalues: 10032 | GridSize: 9
Generation 46 | Revalues: 10234 | GridSize: 8
Generation 47 | Revalues: 10432 | GridSize: 11
Generation 48 | Revalues: 10664 | GridSize: 11
Generation 49 | Revalues: 10878 | GridSize: 12
Generation 50 | Revalues: 11116 | GridSize: 11
Generation 51 | Revalues: 11320 | GridSize: 15
Generation 52 | Revalues: 11540 | GridSize: 15
Generation 53 | Revalues: 11754 | GridSize: 14
Generation 54 | Revalues: 11974 | GridSize: 12
