global_index,zone,zone_index,x,y
0,0,0,125674.750385,126856.990953
1,0,1,124463.744340,125583.225493
2,0,2,123252.738294,124309.460033
3,0,3,122041.732248,123035.694572
4,0,4,120830.726203,121761.929112
5,0,5,122041.732248,121761.929112
6,0,6,118408.714111,120488.163651
7,0,7,119619.720157,120488.163651
8,0,8,120830.726203,120488.163651
9,0,9,122041.732248,120488.163651
10,0,10,123252.738294,120488.163651
11,0,11,125674.750385,120488.163651
12,0,12,126885.756431,120488.163651
13,0,13,117197.708065,119214.398191
14,0,14,118408.714111,119214.398191
15,0,15,120830.726203,119214.398191
16,0,16,122041.732248,119214.398191
17,0,17,123252.738294,119214.398191
18,0,18,124463.744340,119214.398191
19,0,19,125674.750385,119214.398191
20,0,20,131729.780614,119214.398191
21,0,21,115986.702020,117940.632731
22,0,22,117197.708065,117940.632731
23,0,23,118408.714111,117940.632731
24,0,24,119619.720157,117940.632731
25,0,25,120830.726203,117940.632731
26,0,26,122041.732248,117940.632731
27,0,27,123252.738294,117940.632731
28,0,28,124463.744340,117940.632731
29,0,29,125674.750385,117940.632731
30,0,30,126885.756431,117940.632731
31,0,31,128096.762477,117940.632731
32,0,32,129307.768522,117940.632731
33,0,33,131729.780614,117940.632731
34,0,34,132940.786659,117940.632731
35,0,35,134151.792705,117940.632731
36,0,36,135362.798751,117940.632731
37,0,37,136573.804796,117940.632731
38,0,38,114775.695974,116666.867270
39,0,39,115986.702020,116666.867270
40,0,40,117197.708065,116666.867270
41,0,41,118408.714111,116666.867270
42,0,42,119619.720157,116666.867270
43,0,43,120830.726203,116666.867270
44,0,44,122041.732248,116666.867270
45,0,45,123252.738294,116666.867270
46,0,46,124463.744340,116666.867270
47,0,47,125674.750385,116666.867270
48,0,48,126885.756431,116666.867270
49,0,49,128096.762477,116666.867270
50,0,50,129307.768522,116666.867270
51,0,51,130518.774568,116666.867270
52,0,52,131729.780614,116666.867270
53,0,53,113564.689928,115393.101810
54,0,54,114775.695974,115393.101810
55,0,55,115986.702020,115393.101810
56,0,56,117197.708065,115393.101810
57,0,57,118408.714111,115393.101810
58,0,58,112353.683883,114119.336349
59,0,59,113564.689928,114119.336349
