algorithm,instance,run_id,vector_id,generation,iteration,f_cost,f_power,weight1,weight2,occupied
nsga2,509_e-05,13,0,0,0,12643222.826922,562511.110352,0.000000,1.000000,27475 28113 38714 40314 44212
nsga2,509_e-05,13,1,0,0,11056319.962073,562511.110352,0.010101,0.989899,4193 22391 35929 46060 47924
nsga2,509_e-05,13,2,0,0,11056319.962073,562511.110352,0.020202,0.979798,4193 22391 35929 46060 47924
nsga2,509_e-05,13,3,0,0,11056319.962073,562511.110352,0.030303,0.969697,4193 22391 35929 46060 47924
nsga2,509_e-05,13,4,0,0,11056319.962073,562511.110352,0.040404,0.959596,4193 22391 35929 46060 47924
nsga2,509_e-05,13,5,0,0,11056319.962073,562511.110352,0.050505,0.949495,4193 22391 35929 46060 47924
nsga2,509_e-05,13,6,0,0,11056319.962073,562511.110352,0.060606,0.939394,4193 22391 35929 46060 47924
nsga2,509_e-05,13,7,0,0,11056319.962073,562511.110352,0.070707,0.929293,4193 22391 35929 46060 47924
nsga2,509_e-05,13,8,0,0,11056319.962073,562511.110352,0.080808,0.919192,4193 22391 35929 46060 47924
nsga2,509_e-05,13,9,0,0,11056319.962073,562511.110352,0.090909,0.909091,4193 22391 35929 46060 47924
nsga2,509_e-05,13,10,0,0,11056319.962073,562511.110352,0.101010,0.898990,4193 22391 35929 46060 47924
nsga2,509_e-05,13,11,0,0,11056319.962073,562511.110352,0.111111,0.888889,4193 22391 35929 46060 47924
nsga2,509_e-05,13,12,0,0,11056319.962073,562511.110352,0.121212,0.878788,4193 22391 35929 46060 47924
nsga2,509_e-05,13,13,0,0,11056319.962073,562511.110352,0.131313,0.868687,4193 22391 35929 46060 47924
nsga2,509_e-05,13,14,0,0,11056319.962073,562511.110352,0.141414,0.858586,4193 22391 35929 46060 47924
nsga2,509_e-05,13,15,0,0,11056319.962073,562511.110352,0.151515,0.848485,4193 22391 35929 46060 47924
nsga2,509_e-05,13,16,0,0,11056319.962073,562511.110352,0.161616,0.838384,4193 22391 35929 46060 47924
nsga2,509_e-05,13,17,0,0,11056319.962073,562511.110352,0.171717,0.828283,4193 22391 35929 46060 47924
nsga2,509_e-05,13,18,0,0,11056319.962073,562511.110352,0.181818,0.818182,4193 22391 35929 46060 47924
nsga2,509_e-05,13,19,0,0,11056319.962073,562511.110352,0.191919,0.808081,4193 22391 35929 46060 47924
nsga2,509_e-05,13,20,0,0,11056319.962073,562511.110352,0.202020,0.797980,4193 22391 35929 46060 47924
nsga2,509_e-05,13,21,0,0,11056319.962073,562511.110352,0.212121,0.787879,4193 22391 35929 46060 47924
nsga2,509_e-05,13,22,0,0,11056319.962073,562511.110352,0.222222,0.777778,4193 22391 35929 46060 47924
nsga2,509_e-05,13,23,0,0,11056319.962073,562511.110352,0.232323,0.767677,4193 22391 35929 46060 47924
nsga2,509_e-05,13,24,0,0,11056319.962073,562511.110352,0.242424,0.757576,4193 22391 35929 46060 47924
nsga2,509_e-05,13,25,0,0,11056319.962073,562511.110352,0.252525,0.747475,4193 22391 35929 46060 47924
nsga2,509_e-05,13,26,0,0,11056319.962073,562511.110352,0.262626,0.737374,4193 22391 35929 46060 47924
nsga2,509_e-05,13,27,0,0,11056319.962073,562511.110352,0.272727,0.727273,4193 22391 35929 46060 47924
nsga2,509_e-05,13,28,0,0,11056319.962073,562511.110352,0.282828,0.717172,4193 22391 35929 46060 47924
nsga2,509_e-05,13,29,0,0,11056319.962073,562511.110352,0.292929,0.707071,4193 22391 35929 46060 47924
nsga2,509_e-05,13,30,0,0,11056319.962073,562511.110352,0.303030,0.696970,4193 22391 35929 46060 47924
nsga2,509_e-05,13,31,0,0,11056319.962073,562511.110352,0.313131,0.686869,4193 22391 35929 46060 47924
nsga2,509_e-05,13,32,0,0,11056319.962073,562511.110352,0.323232,0.676768,4193 22391 35929 46060 47924
nsga2,509_e-05,13,33,0,0,11056319.962073,562511.110352,0.333333,0.666667,4193 22391 35929 46060 47924
nsga2,509_e-05,13,34,0,0,11056319.962073,562511.110352,0.343434,0.656566,4193 22391 35929 46060 47924
nsga2,509_e-05,13,35,0,0,11056319.962073,562511.110352,0.353535,0.646465,4193 22391 35929 46060 47924
nsga2,509_e-05,13,36,0,0,11056319.962073,562511.110352,0.363636,0.636364,4193 22391 35929 46060 47924
nsga2,509_e-05,13,37,0,0,11056319.962073,562511.110352,0.373737,0.626263,4193 22391 35929 46060 47924
nsga2,509_e-05,13,38,0,0,11056319.962073,562511.110352,0.383838,0.616162,4193 22391 35929 46060 47924
nsga2,509_e-05,13,39,0,0,11056319.962073,562511.110352,0.393939,0.606061,4193 22391 35929 46060 47924
nsga2,509_e-05,13,40,0,0,11056319.962073,562511.110352,0.404040,0.595960,4193 22391 35929 46060 47924
nsga2,509_e-05,13,41,0,0,11056319.962073,562511.110352,0.414141,0.585859,4193 22391 35929 46060 47924
nsga2,509_e-05,13,42,0,0,11056319.962073,562511.110352,0.424242,0.575758,4193 22391 35929 46060 47924
nsga2,509_e-05,13,43,0,0,11056319.962073,562511.110352,0.434343,0.565657,4193 22391 35929 46060 47924
nsga2,509_e-05,13,44,0,0,11056319.962073,562511.110352,0.444444,0.555556,4193 22391 35929 46060 47924
nsga2,509_e-05,13,45,0,0,11056319.962073,562511.110352,0.454545,0.545455,4193 22391 35929 46060 47924
nsga2,509_e-05,13,46,0,0,11056319.962073,562511.110352,0.464646,0.535354,4193 22391 35929 46060 47924
nsga2,509_e-05,13,47,0,0,11056319.962073,562511.110352,0.474747,0.525253,4193 22391 35929 46060 47924
nsga2,509_e-05,13,48,0,0,11056319.962073,562511.110352,0.484848,0.515152,4193 22391 35929 46060 47924
nsga2,509_e-05,13,49,0,0,11056319.962073,562511.110352,0.494949,0.505051,4193 22391 35929 46060 47924
nsga2,509_e-05,13,50,0,0,11056319.962073,562511.110352,0.505051,0.494949,4193 22391 35929 46060 47924
nsga2,509_e-05,13,51,0,0,11056319.962073,562511.110352,0.515152,0.484848,4193 22391 35929 46060 47924
nsga2,509_e-05,13,52,0,0,11056319.962073,562511.110352,0.525253,0.474747,4193 22391 35929 46060 47924
nsga2,509_e-05,13,53,0,0,11056319.962073,562511.110352,0.535354,0.464646,4193 22391 35929 46060 47924
nsga2,509_e-05,13,54,0,0,11056319.962073,562511.110352,0.545455,0.454545,4193 22391 35929 46060 47924
nsga2,509_e-05,13,55,0,0,11056319.962073,562511.110352,0.555556,0.444444,4193 22391 35929 46060 47924
nsga2,509_e-05,13,56,0,0,11056319.962073,562511.110352,0.565657,0.434343,4193 22391 35929 46060 47924
nsga2,509_e-05,13,57,0,0,11056319.962073,562511.110352,0.575758,0.424242,4193 22391 35929 46060 47924
nsga2,509_e-05,13,58,0,0,11056319.962073,562511.110352,0.585859,0.414141,4193 22391 35929 46060 47924
nsga2,509_e-05,13,59,0,0,11056319.962073,562511.110352,0.595960,0.404040,4193 22391 35929 46060 47924
nsga2,509_e-05,13,60,0,0,11056319.962073,562511.110352,0.606061,0.393939,4193 22391 35929 46060 47924
nsga2,509_e-05,13,61,0,0,11056319.962073,562511.110352,0.616162,0.383838,4193 22391 35929 46060 47924
nsga2,509_e-05,13,62,0,0,11056319.962073,562511.110352,0.626263,0.373737,4193 22391 35929 46060 47924
nsga2,509_e-05,13,63,0,0,11056319.962073,562511.110352,0.636364,0.363636,4193 22391 35929 46060 47924
nsga2,509_e-05,13,64,0,0,11056319.962073,562511.110352,0.646465,0.353535,4193 22391 35929 46060 47924
nsga2,509_e-05,13,65,0,0,11056319.962073,562511.110352,0.656566,0.343434,4193 22391 35929 46060 47924
nsga2,509_e-05,13,66,0,0,11056319.962073,562511.110352,0.666667,0.333333,4193 22391 35929 46060 47924
nsga2,509_e-05,13,67,0,0,11056319.962073,562511.110352,0.676768,0.323232,4193 22391 35929 46060 47924
nsga2,509_e-05,13,68,0,0,11056319.962073,562511.110352,0.686869,0.313131,4193 22391 35929 46060 47924
nsga2,509_e-05,13,69,0,0,11056319.962073,562511.110352,0.696970,0.303030,4193 22391 35929 46060 47924
nsga2,509_e-05,13,70,0,0,11056319.962073,562511.110352,0.707071,0.292929,4193 22391 35929 46060 47924
nsga2,509_e-05,13,71,0,0,11056319.962073,562511.110352,0.717172,0.282828,4193 22391 35929 46060 47924
nsga2,509_e-05,13,72,0,0,11056319.962073,562511.110352,0.727273,0.272727,4193 22391 35929 46060 47924
nsga2,509_e-05,13,73,0,0,11056319.962073,562511.110352,0.737374,0.262626,4193 22391 35929 46060 47924
nsga2,509_e-05,13,74,0,0,11056319.962073,562511.110352,0.747475,0.252525,4193 22391 35929 46060 47924
nsga2,509_e-05,13,75,0,0,11056319.962073,562511.110352,0.757576,0.242424,4193 22391 35929 46060 47924
nsga2,509_e-05,13,76,0,0,11056319.962073,562511.110352,0.767677,0.232323,4193 22391 35929 46060 47924
nsga2,509_e-05,13,77,0,0,11056319.962073,562511.110352,0.777778,0.222222,4193 22391 35929 46060 47924
nsga2,509_e-05,13,78,0,0,11056319.962073,562511.110352,0.787879,0.212121,4193 22391 35929 46060 47924
nsga2,509_e-05,13,79,0,0,11056319.962073,562511.110352,0.797980,0.202020,4193 22391 35929 46060 47924
nsga2,509_e-05,13,80,0,0,11056319.962073,562511.110352,0.808081,0.191919,4193 22391 35929 46060 47924
nsga2,509_e-05,13,81,0,0,11056319.962073,562511.110352,0.818182,0.181818,4193 22391 35929 46060 47924
nsga2,509_e-05,13,82,0,0,11056319.962073,562511.110352,0.828283,0.171717,4193 22391 35929 46060 47924
nsga2,509_e-05,13,83,0,0,11056319.962073,562511.110352,0.838384,0.161616,4193 22391 35929 46060 47924
nsga2,509_e-05,13,84,0,0,11056319.962073,562511.110352,0.848485,0.151515,4193 22391 35929 46060 47924
nsga2,509_e-05,13,85,0,0,11056319.962073,562511.110352,0.858586,0.141414,4193 22391 35929 46060 47924
nsga2,509_e-05,13,86,0,0,11056319.962073,562511.110352,0.868687,0.131313,4193 22391 35929 46060 47924
nsga2,509_e-05,13,87,0,0,11056319.962073,562511.110352,0.878788,0.121212,4193 22391 35929 46060 47924
nsga2,509_e-05,13,88,0,0,11056319.962073,562511.110352,0.888889,0.111111,4193 22391 35929 46060 47924
nsga2,509_e-05,13,89,0,0,11056319.962073,562511.110352,0.898990,0.101010,4193 22391 35929 46060 47924
nsga2,509_e-05,13,90,0,0,11056319.962073,562511.110352,0.909091,0.090909,4193 22391 35929 46060 47924
nsga2,509_e-05,13,91,0,0,11056319.962073,562511.110352,0.919192,0.080808,4193 22391 35929 46060 47924
nsga2,509_e-05,13,92,0,0,11056319.962073,562511.110352,0.929293,0.070707,4193 22391 35929 46060 47924
nsga2,509_e-05,13,93,0,0,11056319.962073,562511.110352,0.939394,0.060606,4193 22391 35929 46060 47924
nsga2,509_e-05,13,94,0,0,11056319.962073,562511.110352,0.949495,0.050505,4193 22391 35929 46060 47924
nsga2,509_e-05,13,95,0,0,11056319.962073,562511.110352,0.959596,0.040404,4193 22391 35929 46060 47924
nsga2,509_e-05,13,96,0,0,11056319.962073,562511.110352,0.969697,0.030303,4193 22391 35929 46060 47924
nsga2,509_e-05,13,97,0,0,11056319.962073,562511.110352,0.979798,0.020202,4193 22391 35929 46060 47924
nsga2,509_e-05,13,98,0,0,11056319.962073,562511.110352,0.989899,0.010101,4193 22391 35929 46060 47924
nsga2,509_e-05,13,99,0,0,11056319.962073,562511.110352,1.000000,0.000000,4193 22391 35929 46060 47924
nsga2,509_e-05,13,0,50,1,9976974.715458,562511.110352,0.000000,1.000000,3641 3711 3718 4193 5036
nsga2,509_e-05,13,1,50,1,9976974.715458,562511.110352,0.010101,0.989899,3641 3711 3718 4193 5036
nsga2,509_e-05,13,2,50,1,9976974.715458,562511.110352,0.020202,0.979798,3641 3711 3718 4193 5036
nsga2,509_e-05,13,3,50,1,9976974.715458,562511.110352,0.030303,0.969697,3641 3711 3718 4193 5036
nsga2,509_e-05,13,4,50,1,9976974.715458,562511.110352,0.040404,0.959596,3641 3711 3718 4193 5036
nsga2,509_e-05,13,5,50,1,9976974.715458,562511.110352,0.050505,0.949495,3641 3711 3718 4193 5036
nsga2,509_e-05,13,6,50,1,9976974.715458,562511.110352,0.060606,0.939394,3641 3711 3718 4193 5036
nsga2,509_e-05,13,7,50,1,9976974.715458,562511.110352,0.070707,0.929293,3641 3711 3718 4193 5036
nsga2,509_e-05,13,8,50,1,9973427.005501,555529.623047,0.080808,0.919192,3497 3641 4193 4913 5036
nsga2,509_e-05,13,9,50,1,9966092.449068,555178.363770,0.090909,0.909091,3617 3641 4184 4328 5036
nsga2,509_e-05,13,10,50,1,9938348.071954,554641.573242,0.101010,0.898990,3641 3711 3718 4193 4514
nsga2,509_e-05,13,11,50,1,9938348.071954,554641.573242,0.111111,0.888889,3641 3711 3718 4193 4514
nsga2,509_e-05,13,12,50,1,9938348.071954,554641.573242,0.121212,0.878788,3641 3711 3718 4193 4514
nsga2,509_e-05,13,13,50,1,9938348.071954,554641.573242,0.131313,0.868687,3641 3711 3718 4193 4514
nsga2,509_e-05,13,14,50,1,9938348.071954,554641.573242,0.141414,0.858586,3641 3711 3718 4193 4514
nsga2,509_e-05,13,15,50,1,9938348.071954,554641.573242,0.151515,0.848485,3641 3711 3718 4193 4514
nsga2,509_e-05,13,16,50,1,9934736.948094,553999.023193,0.161616,0.838384,3641 3711 3718 4193 4430
nsga2,509_e-05,13,17,50,1,9934736.948094,553999.023193,0.171717,0.828283,3641 3711 3718 4193 4430
nsga2,509_e-05,13,18,50,1,9934736.948094,553999.023193,0.181818,0.818182,3641 3711 3718 4193 4430
nsga2,509_e-05,13,19,50,1,9934736.948094,553999.023193,0.191919,0.808081,3641 3711 3718 4193 4430
nsga2,509_e-05,13,20,50,1,9934736.948094,553999.023193,0.202020,0.797980,3641 3711 3718 4193 4430
nsga2,509_e-05,13,21,50,1,9934736.948094,553999.023193,0.212121,0.787879,3641 3711 3718 4193 4430
