Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 336 | GridSize: 2
Generation 2 | Revalues: 556 | GridSize: 4
Generation 3 | Revalues: 794 | GridSize: 6
Generation 4 | Revalues: 998 | GridSize: 9
Generation 5 | Revalues: 1212 | GridSize: 11
Generation 6 | Revalues: 1420 | GridSize: 5
Generation 7 | Revalues: 1626 | GridSize: 6
Generation 8 | Revalues: 1824 | GridSize: 8
Generation 9 | Revalues: 2032 | GridSize: 4
Generation 10 | Revalues: 2230 | GridSize: 7
Generation 11 | Revalues: 2450 | GridSize: 9
Generation 12 | Revalues: 2644 | GridSize: 8
Generation 13 | Revalues: 2876 | GridSize: 9
Generation 14 | Revalues: 3080 | GridSize: 9
Generation 15 | Revalues: 3298 | GridSize: 9
Generation 16 | Revalues: 3514 | GridSize: 8
Generation 17 | Revalues: 3720 | GridSize: 7
Generation 18 | Revalues: 3950 | GridSize: 8
Generation 19 | Revalues: 4142 | GridSize: 9
Generation 20 | Revalues: 4360 | GridSize: 9
Generation 21 | Revalues: 4568 | GridSize: 10
Generation 22 | Revalues: 4776 | GridSize: 13
Generation 23 | Revalues: 4972 | GridSize: 13
Generation 24 | Revalues: 5190 | GridSize: 9
Generation 25 | Revalues: 5416 | GridSize: 10
Generation 26 | Revalues: 5642 | GridSize: 13
Generation 27 | Revalues: 5878 | GridSize: 13
Generation 28 | Revalues: 6094 | GridSize: 15
Generation 29 | Revalues: 6336 | GridSize: 13
Generation 30 | Revalues: 6540 | GridSize: 11
Generation 31 | Revalues: 6734 | GridSize: 15
Generation 32 | Revalues: 6950 | GridSize: 15
Generation 33 | Revalues: 7162 | GridSize: 13
Generation 34 | Revalues: 7382 | GridSize: 14
Generation 35 | Revalues: 7600 | GridSize: 14
Generation 36 | Revalues: 7828 | GridSize: 19
Generation 37 | Revalues: 8064 | GridSize: 22
Generation 38 | Revalues: 8280 | GridSize: 19
Generation 39 | Revalues: 8492 | GridSize: 14
Generation 40 | Revalues: 8708 | GridSize: 16
Generation 41 | Revalues: 8892 | GridSize: 16
Generation 42 | Revalues: 9122 | GridSize: 21
Generation 43 | Revalues: 9356 | GridSize: 24
Generation 44 | Revalues: 9576 | GridSize: 28
Generation 45 | Revalues: 9792 | GridSize: 22
Generation 46 | Revalues: 10024 | GridSize: 25
Generation 47 | Revalues: 10228 | GridSize: 24
Generation 48 | Revalues: 10460 | GridSize: 24
Generation 49 | Revalues: 10674 | GridSize: 26
Generation 50 | Revalues: 10860 | GridSize: 23
Generation 51 | Revalues: 11090 | GridSize: 25
Generation 52 | Revalues: 11298 | GridSize: 21
Generation 53 | Revalues: 11526 | GridSize: 24
Generation 54 | Revalues: 11758 | GridSize: 30
Generation 55 | Revalues: 12006 | GridSize: 32
Generation 56 | Revalues: 12206 | GridSize: 33
Generation 57 | Revalues: 12412 | GridSize: 32
Generation 58 | Revalues: 12652 | GridSize: 28
Generation 59 | Revalues: 12878 | GridSize: 25
Generation 60 | Revalues: 13104 | GridSize: 25
Generation 61 | Revalues: 13332 | GridSize: 24
Generation 62 | Revalues: 13566 | GridSize: 22
Generation 63 | Revalues: 13798 | GridSize: 24
Generation 64 | Revalues: 14010 | GridSize: 24
Generation 65 | Revalues: 14204 | GridSize: 25
Generation 66 | Revalues: 14446 | GridSize: 24
Generation 67 | Revalues: 14658 | GridSize: 26
Generation 68 | Revalues: 14860 | GridSize: 26
Generation 69 | Revalues: 15102 | GridSize: 28
Generation 70 | Revalues: 15322 | GridSize: 30
Generation 71 | Revalues: 15542 | GridSize: 30
Generation 72 | Revalues: 15754 | GridSize: 31
Generation 73 | Revalues: 15966 | GridSize: 31
Generation 74 | Revalues: 16184 | GridSize: 32
Generation 75 | Revalues: 16386 | GridSize: 35
Generation 76 | Revalues: 16608 | GridSize: 38
Generation 77 | Revalues: 16834 | GridSize: 36
Generation 78 | Revalues: 17044 | GridSize: 36
Generation 79 | Revalues: 17266 | GridSize: 33
Generation 80 | Revalues: 17488 | GridSize: 32
Generation 81 | Revalues: 17702 | GridSize: 33
Generation 82 | Revalues: 17912 | GridSize: 35
Generation 83 | Revalues: 18122 | GridSize: 35
Generation 84 | Revalues: 18350 | GridSize: 34
Generation 85 | Revalues: 18540 | GridSize: 35
Generation 86 | Revalues: 18726 | GridSize: 40
Generation 87 | Revalues: 18964 | GridSize: 41
Generation 88 | Revalues: 19166 | GridSize: 42
Generation 89 | Revalues: 19398 | GridSize: 40
Generation 90 | Revalues: 19604 | GridSize: 39
Generation 91 | Revalues: 19836 | GridSize: 41
Generation 92 | Revalues: 20082 | GridSize: 42
Generation 93 | Revalues: 20314 | GridSize: 42
Generation 94 | Revalues: 20534 | GridSize: 41
Generation 95 | Revalues: 20748 | GridSize: 42
Generation 96 | Revalues: 20980 | GridSize: 44
Generation 97 | Revalues: 21194 | GridSize: 44
Generation 98 | Revalues: 21404 | GridSize: 41
Generation 99 | Revalues: 21608 | GridSize: 39
Generation 100 | Revalues: 21824 | GridSize: 37
Generation 101 | Revalues: 22044 | GridSize: 36
Generation 102 | Revalues: 22298 | GridSize: 37
Generation 103 | Revalues: 22516 | GridSize: 37
Generation 104 | Revalues: 22746 | GridSize: 36
Generation 105 | Revalues: 22966 | GridSize: 36
Generation 106 | Revalues: 23176 | GridSize: 37
Generation 107 | Revalues: 23386 | GridSize: 35
Generation 108 | Revalues: 23584 | GridSize: 34
Generation 109 | Revalues: 23832 | GridSize: 34
Generation 110 | Revalues: 24072 | GridSize: 37
Generation 111 | Revalues: 24326 | GridSize: 36
Generation 112 | Revalues: 24534 | GridSize: 37
Generation 113 | Revalues: 24748 | GridSize: 40
Generation 114 | Revalues: 24994 | GridSize: 39
Generation 115 | Revalues: 25200 | GridSize: 41
Generation 116 | Revalues: 25428 | GridSize: 40
Generation 117 | Revalues: 25662 | GridSize: 39
Generation 118 | Revalues: 25872 | GridSize: 40
Generation 119 | Revalues: 26104 | GridSize: 40
Generation 120 | Revalues: 26342 | GridSize: 41
Generation 121 | Revalues: 26552 | GridSize: 42
Generation 122 | Revalues: 26786 | GridSize: 44
Generation 123 | Revalues: 27002 | GridSize: 40
Generation 124 | Revalues: 27220 | GridSize: 41
Generation 125 | Revalues: 27440 | GridSize: 41
Generation 126 | Revalues: 27646 | GridSize: 43
Generation 127 | Revalues: 27854 | GridSize: 44
Generation 128 | Revalues: 28076 | GridSize: 48
Generation 129 | Revalues: 28290 | GridSize: 43
Generation 130 | Revalues: 28508 | GridSize: 42
Generation 131 | Revalues: 28712 | GridSize: 43
Generation 132 | Revalues: 28918 | GridSize: 37
Generation 133 | Revalues: 29142 | GridSize: 39
Generation 134 | Revalues: 29366 | GridSize: 40
Generation 135 | Revalues: 29582 | GridSize: 42
Generation 136 | Revalues: 29800 | GridSize: 43
Generation 137 | Revalues: 30036 | GridSize: 44
Generation 138 | Revalues: 30260 | GridSize: 41
Generation 139 | Revalues: 30476 | GridSize: 39
Generation 140 | Revalues: 30720 | GridSize: 41
Generation 141 | Revalues: 30922 | GridSize: 43
Generation 142 | Revalues: 31164 | GridSize: 45
Generation 143 | Revalues: 31374 | GridSize: 48
Generation 144 | Revalues: 31578 | GridSize: 50
Generation 145 | Revalues: 31804 | GridSize: 50
Generation 146 | Revalues: 32006 | GridSize: 51
Generation 147 | Revalues: 32232 | GridSize: 52
Generation 148 | Revalues: 32432 | GridSize: 51
Generation 149 | Revalues: 32638 | GridSize: 53
Generation 150 | Revalues: 32870 | GridSize: 52
Generation 151 | Revalues: 33066 | GridSize: 52
Generation 152 | Revalues: 33272 | GridSize: 53
Generation 153 | Revalues: 33504 | GridSize: 52
Generation 154 | Revalues: 33716 | GridSize: 52
Generation 155 | Revalues: 33926 | GridSize: 54
Generation 156 | Revalues: 34146 | GridSize: 54
Generation 157 | Revalues: 34372 | GridSize: 53
Generation 158 | Revalues: 34602 | GridSize: 53
Generation 159 | Revalues: 34840 | GridSize: 53
Generation 160 | Revalues: 35056 | GridSize: 53
Generation 161 | Revalues: 35280 | GridSize: 53
Generation 162 | Revalues: 35498 | GridSize: 52
Generation 163 | Revalues: 35722 | GridSize: 54
Generation 164 | Revalues: 35930 | GridSize: 57
Generation 165 | Revalues: 36158 | GridSize: 57
Generation 166 | Revalues: 36370 | GridSize: 53
Generation 167 | Revalues: 36584 | GridSize: 56
Generation 168 | Revalues: 36832 | GridSize: 57
Generation 169 | Revalues: 37054 | GridSize: 55
Generation 170 | Revalues: 37258 | GridSize: 54
Generation 171 | Revalues: 37466 | GridSize: 53
Generation 172 | Revalues: 37698 | GridSize: 51
Generation 173 | Revalues: 37906 | GridSize: 51
Generation 174 | Revalues: 38094 | GridSize: 52
Generation 175 | Revalues: 38300 | GridSize: 52
Generation 176 | Revalues: 38518 | GridSize: 51
Generation 177 | Revalues: 38740 | GridSize: 45
Generation 178 | Revalues: 38930 | GridSize: 45
Generation 179 | Revalues: 39150 | GridSize: 46
Generation 180 | Revalues: 39360 | GridSize: 45
Generation 181 | Revalues: 39590 | GridSize: 45
Generation 182 | Revalues: 39798 | GridSize: 45
Generation 183 | Revalues: 40002 | GridSize: 47
Generation 184 | Revalues: 40192 | GridSize: 50
Generation 185 | Revalues: 40398 | GridSize: 46
Generation 186 | Revalues: 40632 | GridSize: 48
Generation 187 | Revalues: 40838 | GridSize: 46
Generation 188 | Revalues: 41052 | GridSize: 43
Generation 189 | Revalues: 41270 | GridSize: 45
Generation 190 | Revalues: 41480 | GridSize: 37
Generation 191 | Revalues: 41698 | GridSize: 40
Generation 192 | Revalues: 41922 | GridSize: 41
Generation 193 | Revalues: 42140 | GridSize: 43
Generation 194 | Revalues: 42376 | GridSize: 42
Generation 195 | Revalues: 42610 | GridSize: 46
Generation 196 | Revalues: 42820 | GridSize: 44
Generation 197 | Revalues: 43032 | GridSize: 44
Generation 198 | Revalues: 43254 | GridSize: 32
Generation 199 | Revalues: 43474 | GridSize: 35
Generation 200 | Revalues: 43684 | GridSize: 35
Generation 201 | Revalues: 43898 | GridSize: 35
Generation 202 | Revalues: 44118 | GridSize: 36
Generation 203 | Revalues: 44330 | GridSize: 40
Generation 204 | Revalues: 44566 | GridSize: 40
Generation 205 | Revalues: 44784 | GridSize: 42
Generation 206 | Revalues: 44996 | GridSize: 42
Generation 207 | Revalues: 45222 | GridSize: 41
Generation 208 | Revalues: 45458 | GridSize: 41
Generation 209 | Revalues: 45658 | GridSize: 42
Generation 210 | Revalues: 45872 | GridSize: 44
Generation 211 | Revalues: 46086 | GridSize: 44
Generation 212 | Revalues: 46294 | GridSize: 47
Generation 213 | Revalues: 46510 | GridSize: 49
Generation 214 | Revalues: 46728 | GridSize: 50
Generation 215 | Revalues: 46944 | GridSize: 51
Generation 216 | Revalues: 47170 | GridSize: 51
Generation 217 | Revalues: 47392 | GridSize: 52
Generation 218 | Revalues: 47612 | GridSize: 52
Generation 219 | Revalues: 47836 | GridSize: 54
Generation 220 | Revalues: 48020 | GridSize: 51
Generation 221 | Revalues: 48242 | GridSize: 51
Generation 222 | Revalues: 48462 | GridSize: 49
Generation 223 | Revalues: 48680 | GridSize: 50
Generation 224 | Revalues: 48874 | GridSize: 48
Generation 225 | Revalues: 49102 | GridSize: 46
Generation 226 | Revalues: 49338 | GridSize: 46
Generation 227 | Revalues: 49530 | GridSize: 45
Generation 228 | Revalues: 49746 | GridSize: 46
Generation 229 | Revalues: 49952 | GridSize: 46
Generation 230 | Revalues: 50162 | GridSize: 47
Generation 231 | Revalues: 50372 | GridSize: 48
Generation 232 | Revalues: 50596 | GridSize: 48
Generation 233 | Revalues: 50822 | GridSize: 48
Generation 234 | Revalues: 51048 | GridSize: 51
Generation 235 | Revalues: 51260 | GridSize: 47
Generation 236 | Revalues: 51478 | GridSize: 46
Generation 237 | Revalues: 51670 | GridSize: 46
Generation 238 | Revalues: 51904 | GridSize: 46
Generation 239 | Revalues: 52118 | GridSize: 46
Generation 240 | Revalues: 52358 | GridSize: 46
Generation 241 | Revalues: 52584 | GridSize: 43
Generation 242 | Revalues: 52786 | GridSize: 43
Generation 243 | Revalues: 53006 | GridSize: 43
Generation 244 | Revalues: 53208 | GridSize: 42
Generation 245 | Revalues: 53430 | GridSize: 39
Generation 246 | Revalues: 53656 | GridSize: 36
Generation 247 | Revalues: 53852 | GridSize: 36
Generation 248 | Revalues: 54068 | GridSize: 39
Generation 249 | Revalues: 54312 | GridSize: 39
Generation 250 | Revalues: 54522 | GridSize: 38
Generation 251 | Revalues: 54740 | GridSize: 38
Generation 252 | Revalues: 54976 | GridSize: 38
Generation 253 | Revalues: 55198 | GridSize: 39
Generation 254 | Revalues: 55432 | GridSize: 39
