algorithm,instance,run_id,vector_id,generation,iteration,f_cost,f_power,weight1,weight2,occupied
nsga2,ns202,1,0,0,0,117628180.379844,7.163195,0.000000,1.000000,109 198 242 364 486 603 744 837 886 979 1117 1286 1437 1605 1642 1926 1937 2393 2743 2851 2866 3326 3417 3937 4116 4146 4205 4339 4734 4752 5114 5215 5564 5628 6293 6678 6992 7226 7289 7476 7699 7702 7733 7950 8168 8548 8718
nsga2,ns202,1,1,0,0,111054382.380593,6.918915,0.111111,0.888889,9 205 427 521 627 906 925 1121 1425 1742 1813 1828 2053 2072 2160 3262 3338 3421 3491 3502 3602 3676 4163 4633 4719 4848 5280 5501 5536 5576 5947 5949 6036 6052 6053 6195 6556 6600 6796 7111 7519 7732 7789 8057 8212 8292 8410
nsga2,ns202,1,2,0,0,111054382.380593,6.918915,0.222222,0.777778,9 205 427 521 627 906 925 1121 1425 1742 1813 1828 2053 2072 2160 3262 3338 3421 3491 3502 3602 3676 4163 4633 4719 4848 5280 5501 5536 5576 5947 5949 6036 6052 6053 6195 6556 6600 6796 7111 7519 7732 7789 8057 8212 8292 8410
nsga2,ns202,1,3,0,0,111054382.380593,6.918915,0.333333,0.666667,9 205 427 521 627 906 925 1121 1425 1742 1813 1828 2053 2072 2160 3262 3338 3421 3491 3502 3602 3676 4163 4633 4719 4848 5280 5501 5536 5576 5947 5949 6036 6052 6053 6195 6556 6600 6796 7111 7519 7732 7789 8057 8212 8292 8410
nsga2,ns202,1,4,0,0,111054382.380593,6.918915,0.444444,0.555556,9 205 427 521 627 906 925 1121 1425 1742 1813 1828 2053 2072 2160 3262 3338 3421 3491 3502 3602 3676 4163 4633 4719 4848 5280 5501 5536 5576 5947 5949 6036 6052 6053 6195 6556 6600 6796 7111 7519 7732 7789 8057 8212 8292 8410
nsga2,ns202,1,5,0,0,111054382.380593,6.918915,0.555556,0.444444,9 205 427 521 627 906 925 1121 1425 1742 1813 1828 2053 2072 2160 3262 3338 3421 3491 3502 3602 3676 4163 4633 4719 4848 5280 5501 5536 5576 5947 5949 6036 6052 6053 6195 6556 6600 6796 7111 7519 7732 7789 8057 8212 8292 8410
nsga2,ns202,1,6,0,0,111054382.380593,6.918915,0.666667,0.333333,9 205 427 521 627 906 925 1121 1425 1742 1813 1828 2053 2072 2160 3262 3338 3421 3491 3502 3602 3676 4163 4633 4719 4848 5280 5501 5536 5576 5947 5949 6036 6052 6053 6195 6556 6600 6796 7111 7519 7732 7789 8057 8212 8292 8410
nsga2,ns202,1,7,0,0,111054382.380593,6.918915,0.777778,0.222222,9 205 427 521 627 906 925 1121 1425 1742 1813 1828 2053 2072 2160 3262 3338 3421 3491 3502 3602 3676 4163 4633 4719 4848 5280 5501 5536 5576 5947 5949 6036 6052 6053 6195 6556 6600 6796 7111 7519 7732 7789 8057 8212 8292 8410
nsga2,ns202,1,8,0,0,111054382.380593,6.918915,0.888889,0.111111,9 205 427 521 627 906 925 1121 1425 1742 1813 1828 2053 2072 2160 3262 3338 3421 3491 3502 3602 3676 4163 4633 4719 4848 5280 5501 5536 5576 5947 5949 6036 6052 6053 6195 6556 6600 6796 7111 7519 7732 7789 8057 8212 8292 8410
nsga2,ns202,1,9,0,0,111054382.380593,6.918915,1.000000,0.000000,9 205 427 521 627 906 925 1121 1425 1742 1813 1828 2053 2072 2160 3262 3338 3421 3491 3502 3602 3676 4163 4633 4719 4848 5280 5501 5536 5576 5947 5949 6036 6052 6053 6195 6556 6600 6796 7111 7519 7732 7789 8057 8212 8292 8410
nsga2,ns202,1,0,50,1,108426847.184387,8.264089,0.000000,1.000000,9 67 81 205 232 427 521 627 1100 1248 1897 1907 2084 2346 2411 2502 2637 2855 3129 3242 3252 3312 3577 3594 4541 4579 4678 4745 4958 5140 5148 5248 5285 6144 6399 6549 6893 7112 7178 7182 7347 7565 8217 8262 8309 8331 8377
nsga2,ns202,1,1,50,1,100430650.626719,6.612065,0.111111,0.888889,9 2084 2261 2451 2607 2637 2645 2684 2686 2826 2908 2914 2925 3049 3081 3087 3179 3242 3252 3312 3338 3421 3502 3594 3602 3676 4579 4678 5140 5148 5248 5285 6144 6399 6549 7112 7178 7182 7213 7347 7428 7565 8217 8221 8262 8309 8378
nsga2,ns202,1,2,50,1,100430650.626719,6.612065,0.222222,0.777778,9 2084 2261 2451 2607 2637 2645 2684 2686 2826 2908 2914 2925 3049 3081 3087 3179 3242 3252 3312 3338 3421 3502 3594 3602 3676 4579 4678 5140 5148 5248 5285 6144 6399 6549 7112 7178 7182 7213 7347 7428 7565 8217 8221 8262 8309 8378
nsga2,ns202,1,3,50,1,100430650.626719,6.612065,0.333333,0.666667,9 2084 2261 2451 2607 2637 2645 2684 2686 2826 2908 2914 2925 3049 3081 3087 3179 3242 3252 3312 3338 3421 3502 3594 3602 3676 4579 4678 5140 5148 5248 5285 6144 6399 6549 7112 7178 7182 7213 7347 7428 7565 8217 8221 8262 8309 8378
nsga2,ns202,1,4,50,1,100430650.626719,6.612065,0.444444,0.555556,9 2084 2261 2451 2607 2637 2645 2684 2686 2826 2908 2914 2925 3049 3081 3087 3179 3242 3252 3312 3338 3421 3502 3594 3602 3676 4579 4678 5140 5148 5248 5285 6144 6399 6549 7112 7178 7182 7213 7347 7428 7565 8217 8221 8262 8309 8378
nsga2,ns202,1,5,50,1,100430650.626719,6.612065,0.555556,0.444444,9 2084 2261 2451 2607 2637 2645 2684 2686 2826 2908 2914 2925 3049 3081 3087 3179 3242 3252 3312 3338 3421 3502 3594 3602 3676 4579 4678 5140 5148 5248 5285 6144 6399 6549 7112 7178 7182 7213 7347 7428 7565 8217 8221 8262 8309 8378
nsga2,ns202,1,6,50,1,100430650.626719,6.612065,0.666667,0.333333,9 2084 2261 2451 2607 2637 2645 2684 2686 2826 2908 2914 2925 3049 3081 3087 3179 3242 3252 3312 3338 3421 3502 3594 3602 3676 4579 4678 5140 5148 5248 5285 6144 6399 6549 7112 7178 7182 7213 7347 7428 7565 8217 8221 8262 8309 8378
nsga2,ns202,1,7,50,1,100430650.626719,6.612065,0.777778,0.222222,9 2084 2261 2451 2607 2637 2645 2684 2686 2826 2908 2914 2925 3049 3081 3087 3179 3242 3252 3312 3338 3421 3502 3594 3602 3676 4579 4678 5140 5148 5248 5285 6144 6399 6549 7112 7178 7182 7213 7347 7428 7565 8217 8221 8262 8309 8378
