Generation 0 | Revalues: 100 | GridSize: 2
Generation 1 | Revalues: 312 | GridSize: 3
Generation 2 | Revalues: 524 | GridSize: 4
Generation 3 | Revalues: 740 | GridSize: 3
Generation 4 | Revalues: 946 | GridSize: 1
Generation 5 | Revalues: 1180 | GridSize: 4
Generation 6 | Revalues: 1378 | GridSize: 5
Generation 7 | Revalues: 1582 | GridSize: 4
Generation 8 | Revalues: 1790 | GridSize: 5
Generation 9 | Revalues: 1994 | GridSize: 6
Generation 10 | Revalues: 2222 | GridSize: 6
Generation 11 | Revalues: 2422 | GridSize: 7
Generation 12 | Revalues: 2630 | GridSize: 7
Generation 13 | Revalues: 2848 | GridSize: 8
Generation 14 | Revalues: 3048 | GridSize: 7
Generation 15 | Revalues: 3282 | GridSize: 10
Generation 16 | Revalues: 3506 | GridSize: 11
Generation 17 | Revalues: 3718 | GridSize: 11
Generation 18 | Revalues: 3960 | GridSize: 10
Generation 19 | Revalues: 4166 | GridSize: 10
Generation 20 | Revalues: 4370 | GridSize: 12
Generation 21 | Revalues: 4562 | GridSize: 12
Generation 22 | Revalues: 4784 | GridSize: 11
Generation 23 | Revalues: 4994 | GridSize: 8
Generation 24 | Revalues: 5222 | GridSize: 7
Generation 25 | Revalues: 5458 | GridSize: 8
Generation 26 | Revalues: 5680 | GridSize: 8
Generation 27 | Revalues: 5886 | GridSize: 8
Generation 28 | Revalues: 6092 | GridSize: 10
Generation 29 | Revalues: 6314 | GridSize: 11
Generation 30 | Revalues: 6526 | GridSize: 10
Generation 31 | Revalues: 6746 | GridSize: 9
Generation 32 | Revalues: 6952 | GridSize: 11
Generation 33 | Revalues: 7168 | GridSize: 13
Generation 34 | Revalues: 7378 | GridSize: 14
Generation 35 | Revalues: 7596 | GridSize: 15
Generation 36 | Revalues: 7820 | GridSize: 13
Generation 37 | Revalues: 8046 | GridSize: 10
Generation 38 | Revalues: 8246 | GridSize: 7
Generation 39 | Revalues: 8474 | GridSize: 7
Generation 40 | Revalues: 8700 | GridSize: 8
Generation 41 | Revalues: 8902 | GridSize: 9
Generation 42 | Revalues: 9122 | GridSize: 10
Generation 43 | Revalues: 9328 | GridSize: 10
Generation 44 | Revalues: 9516 | GridSize: 7
Generation 45 | Revalues: 9748 | GridSize: 7
Generation 46 | Revalues: 9968 | GridSize: 7
Generation 47 | Revalues: 10174 | GridSize: 7
Generation 48 | Revalues: 10388 | GridSize: 7
Generation 49 | Revalues: 10624 | GridSize: 8
Generation 50 | Revalues: 10852 | GridSize: 8
Generation 51 | Revalues: 11100 | GridSize: 8
Generation 52 | Revalues: 11334 | GridSize: 8
Generation 53 | Revalues: 11548 | GridSize: 9
Generation 54 | Revalues: 11758 | GridSize: 9
Generation 55 | Revalues: 11990 | GridSize: 9
Generation 56 | Revalues: 12216 | GridSize: 10
Generation 57 | Revalues: 12452 | GridSize: 11
Generation 58 | Revalues: 12674 | GridSize: 11
Generation 59 | Revalues: 12888 | GridSize: 11
Generation 60 | Revalues: 13110 | GridSize: 12
Generation 61 | Revalues: 13342 | GridSize: 13
Generation 62 | Revalues: 13562 | GridSize: 13
Generation 63 | Revalues: 13784 | GridSize: 14
Generation 64 | Revalues: 13978 | GridSize: 15
Generation 65 | Revalues: 14218 | GridSize: 15
Generation 66 | Revalues: 14436 | GridSize: 15
Generation 67 | Revalues: 14654 | GridSize: 15
