algorithm,instance,run_id,vector_id,generation,iteration,f_cost,f_power,weight1,weight2,occupied
nsga2,512_e-04,17,0,0,0,37023918.608069,620567.096680,0.000000,1.000000,1617 3045 3067 5156 8425 8637 8802 9934 11148 11698 11898 14075 16888 17738 17789
nsga2,512_e-04,17,1,0,0,35959365.458210,614457.269531,0.020408,0.979592,2828 4258 4629 7315 7338 8139 8419 8805 8961 12141 12669 13020 16519 16558 18183
nsga2,512_e-04,17,2,0,0,35819115.661203,610086.095215,0.040816,0.959184,878 2707 3066 4773 5311 8456 8670 9808 10199 10619 12818 13370 13522 16888 17240
nsga2,512_e-04,17,3,0,0,35819115.661203,610086.095215,0.061224,0.938776,878 2707 3066 4773 5311 8456 8670 9808 10199 10619 12818 13370 13522 16888 17240
nsga2,512_e-04,17,4,0,0,35819115.661203,610086.095215,0.081633,0.918367,878 2707 3066 4773 5311 8456 8670 9808 10199 10619 12818 13370 13522 16888 17240
nsga2,512_e-04,17,5,0,0,35519503.240587,593898.423340,0.102041,0.897959,4076 4940 4959 6891 8126 8189 9247 9848 11803 11815 13870 14059 14378 16662 16764
nsga2,512_e-04,17,6,0,0,35519503.240587,593898.423340,0.122449,0.877551,4076 4940 4959 6891 8126 8189 9247 9848 11803 11815 13870 14059 14378 16662 16764
nsga2,512_e-04,17,7,0,0,35519503.240587,593898.423340,0.142857,0.857143,4076 4940 4959 6891 8126 8189 9247 9848 11803 11815 13870 14059 14378 16662 16764
nsga2,512_e-04,17,8,0,0,35519503.240587,593898.423340,0.163265,0.836735,4076 4940 4959 6891 8126 8189 9247 9848 11803 11815 13870 14059 14378 16662 16764
nsga2,512_e-04,17,9,0,0,35519503.240587,593898.423340,0.183673,0.816327,4076 4940 4959 6891 8126 8189 9247 9848 11803 11815 13870 14059 14378 16662 16764
nsga2,512_e-04,17,10,0,0,35519503.240587,593898.423340,0.204082,0.795918,4076 4940 4959 6891 8126 8189 9247 9848 11803 11815 13870 14059 14378 16662 16764
nsga2,512_e-04,17,11,0,0,35519503.240587,593898.423340,0.224490,0.775510,4076 4940 4959 6891 8126 8189 9247 9848 11803 11815 13870 14059 14378 16662 16764
nsga2,512_e-04,17,12,0,0,35519503.240587,593898.423340,0.244898,0.755102,4076 4940 4959 6891 8126 8189 9247 9848 11803 11815 13870 14059 14378 16662 16764
nsga2,512_e-04,17,13,0,0,35519503.240587,593898.423340,0.265306,0.734694,4076 4940 4959 6891 8126 8189 9247 9848 11803 11815 13870 14059 14378 16662 16764
nsga2,512_e-04,17,14,0,0,35519503.240587,593898.423340,0.285714,0.714286,4076 4940 4959 6891 8126 8189 9247 9848 11803 11815 13870 14059 14378 16662 16764
nsga2,512_e-04,17,15,0,0,35519503.240587,593898.423340,0.306122,0.693878,4076 4940 4959 6891 8126 8189 9247 9848 11803 11815 13870 14059 14378 16662 16764
nsga2,512_e-04,17,16,0,0,35519503.240587,593898.423340,0.326531,0.673469,4076 4940 4959 6891 8126 8189 9247 9848 11803 11815 13870 14059 14378 16662 16764
nsga2,512_e-04,17,17,0,0,35519503.240587,593898.423340,0.346939,0.653061,4076 4940 4959 6891 8126 8189 9247 9848 11803 11815 13870 14059 14378 16662 16764
nsga2,512_e-04,17,18,0,0,35519503.240587,593898.423340,0.367347,0.632653,4076 4940 4959 6891 8126 8189 9247 9848 11803 11815 13870 14059 14378 16662 16764
nsga2,512_e-04,17,19,0,0,35519503.240587,593898.423340,0.387755,0.612245,4076 4940 4959 6891 8126 8189 9247 9848 11803 11815 13870 14059 14378 16662 16764
nsga2,512_e-04,17,20,0,0,35519503.240587,593898.423340,0.408163,0.591837,4076 4940 4959 6891 8126 8189 9247 9848 11803 11815 13870 14059 14378 16662 16764
