global_index,zone,zone_index,x,y
0,0,0,151257.500384,132166.089125
1,0,1,151278.655379,132166.089125
2,0,2,151299.810374,132166.089125
3,0,3,151320.965369,132166.089125
4,0,4,151342.120364,132166.089125
5,0,5,151024.795437,132144.913150
6,0,6,151045.950432,132144.913150
7,0,7,151067.105427,132144.913150
8,0,8,151088.260422,132144.913150
9,0,9,151109.415417,132144.913150
10,0,10,151130.570413,132144.913150
11,0,11,151151.725408,132144.913150
12,0,12,151172.880403,132144.913150
13,0,13,151194.035398,132144.913150
14,0,14,151215.190393,132144.913150
15,0,15,151236.345388,132144.913150
16,0,16,151257.500384,132144.913150
17,0,17,151278.655379,132144.913150
18,0,18,150792.090490,132123.737175
19,0,19,150813.245485,132123.737175
20,0,20,150834.400480,132123.737175
21,0,21,150855.555475,132123.737175
22,0,22,150876.710470,132123.737175
23,0,23,150897.865466,132123.737175
24,0,24,150919.020461,132123.737175
25,0,25,150940.175456,132123.737175
26,0,26,150961.330451,132123.737175
27,0,27,150982.485446,132123.737175
28,0,28,151003.640441,132123.737175
29,0,29,151024.795437,132123.737175
30,0,30,151045.950432,132123.737175
31,0,31,151067.105427,132123.737175
32,0,32,151088.260422,132123.737175
33,0,33,151109.415417,132123.737175
34,0,34,151130.570413,132123.737175
35,0,35,151151.725408,132123.737175
36,0,36,151172.880403,132123.737175
37,0,37,151194.035398,132123.737175
38,0,38,151215.190393,132123.737175
39,0,39,151236.345388,132123.737175
40,0,40,150559.385543,132102.561201
41,0,41,150580.540538,132102.561201
42,0,42,150601.695533,132102.561201
43,0,43,150622.850528,132102.561201
44,0,44,150644.005524,132102.561201
45,0,45,150665.160519,132102.561201
46,0,46,150686.315514,132102.561201
47,0,47,150707.470509,132102.561201
48,0,48,150728.625504,132102.561201
49,0,49,150749.780499,132102.561201
50,0,50,150770.935495,132102.561201
51,0,51,150792.090490,132102.561201
52,0,52,150813.245485,132102.561201
53,0,53,150834.400480,132102.561201
54,0,54,150855.555475,132102.561201
55,0,55,150876.710470,132102.561201
56,0,56,150897.865466,132102.561201
57,0,57,150919.020461,132102.561201
58,0,58,150940.175456,132102.561201
59,0,59,150961.330451,132102.561201
60,0,60,150982.485446,132102.561201
61,0,61,151003.640441,132102.561201
62,0,62,151024.795437,132102.561201
63,0,63,151045.950432,132102.561201
64,0,64,151067.105427,132102.561201
65,0,65,151088.260422,132102.561201
66,0,66,151109.415417,132102.561201
67,0,67,151130.570413,132102.561201
68,0,68,151151.725408,132102.561201
69,0,69,151172.880403,132102.561201
70,0,70,150326.680596,132081.385226
71,0,71,150347.835591,132081.385226
72,0,72,150368.990586,132081.385226
73,0,73,150390.145581,132081.385226
74,0,74,150411.300577,132081.385226
75,0,75,150432.455572,132081.385226
76,0,76,150453.610567,132081.385226
77,0,77,150474.765562,132081.385226
78,0,78,150495.920557,132081.385226
79,0,79,150517.075552,132081.385226
80,0,80,150538.230548,132081.385226
81,0,81,150559.385543,132081.385226
82,0,82,150580.540538,132081.385226
83,0,83,150601.695533,132081.385226
84,0,84,150622.850528,132081.385226
85,0,85,150644.005524,132081.385226
86,0,86,150665.160519,132081.385226
87,0,87,150686.315514,132081.385226
88,0,88,150707.470509,132081.385226
89,0,89,150728.625504,132081.385226
90,0,90,150749.780499,132081.385226
91,0,91,150770.935495,132081.385226
92,0,92,150792.090490,132081.385226
93,0,93,150813.245485,132081.385226
94,0,94,150834.400480,132081.385226
95,0,95,150855.555475,132081.385226
96,0,96,150876.710470,132081.385226
97,0,97,150897.865466,132081.385226
98,0,98,150919.020461,132081.385226
99,0,99,150940.175456,132081.385226
100,0,100,150961.330451,132081.385226
101,0,101,150982.485446,132081.385226
102,0,102,151003.640441,132081.385226
103,0,103,151024.795437,132081.385226
104,0,104,151045.950432,132081.385226
105,0,105,151067.105427,132081.385226
106,0,106,151088.260422,132081.385226
107,0,107,151109.415417,132081.385226
108,0,108,150093.975649,132060.209251
109,0,109,150115.130644,132060.209251
110,0,110,150136.285639,132060.209251
111,0,111,150157.440635,132060.209251
112,0,112,150178.595630,132060.209251
113,0,113,150199.750625,132060.209251
114,0,114,150220.905620,132060.209251
115,0,115,150242.060615,132060.209251
116,0,116,150263.215610,132060.209251
117,0,117,150284.370606,132060.209251
118,0,118,150305.525601,132060.209251
119,0,119,150326.680596,132060.209251
120,0,120,150347.835591,132060.209251
121,0,121,150368.990586,132060.209251
122,0,122,150390.145581,132060.209251
123,0,123,150411.300577,132060.209251
124,0,124,150432.455572,132060.209251
125,0,125,150453.610567,132060.209251
126,0,126,150474.765562,132060.209251
127,0,127,150495.920557,132060.209251
128,0,128,150517.075552,132060.209251
129,0,129,150538.230548,132060.209251
130,0,130,150559.385543,132060.209251
131,0,131,150580.540538,132060.209251
132,0,132,150601.695533,132060.209251
133,0,133,150622.850528,132060.209251
134,0,134,150644.005524,132060.209251
135,0,135,150665.160519,132060.209251
136,0,136,150686.315514,132060.209251
137,0,137,150707.470509,132060.209251
138,0,138,150728.625504,132060.209251
139,0,139,150749.780499,132060.209251
140,0,140,150770.935495,132060.209251
141,0,141,150792.090490,132060.209251
142,0,142,150813.245485,132060.209251
143,0,143,150834.400480,132060.209251
144,0,144,150855.555475,132060.209251
145,0,145,150876.710470,132060.209251
146,0,146,150897.865466,132060.209251
147,0,147,150919.020461,132060.209251
148,0,148,150940.175456,132060.209251
149,0,149,150961.330451,132060.209251
150,0,150,150982.485446,132060.209251
151,0,151,151003.640441,132060.209251
152,0,152,151024.795437,132060.209251
153,0,153,151045.950432,132060.209251
154,0,154,151067.105427,132060.209251
155,0,155,149840.115707,132039.033276
156,0,156,149861.270702,132039.033276
157,0,157,149882.425697,132039.033276
158,0,158,149903.580692,132039.033276
159,0,159,149924.735688,132039.033276
160,0,160,149945.890683,132039.033276
161,0,161,149967.045678,132039.033276
162,0,162,149988.200673,132039.033276
163,0,163,150009.355668,132039.033276
164,0,164,150030.510663,132039.033276
165,0,165,150051.665659,132039.033276
166,0,166,150072.820654,132039.033276
167,0,167,150093.975649,132039.033276
168,0,168,150115.130644,132039.033276
169,0,169,150136.285639,132039.033276
170,0,170,150157.440635,132039.033276
171,0,171,150178.595630,132039.033276
172,0,172,150199.750625,132039.033276
173,0,173,150220.905620,132039.033276
174,0,174,150242.060615,132039.033276
175,0,175,150263.215610,132039.033276
176,0,176,150284.370606,132039.033276
177,0,177,150305.525601,132039.033276
178,0,178,150326.680596,132039.033276
179,0,179,150347.835591,132039.033276
180,0,180,150368.990586,132039.033276
181,0,181,150390.145581,132039.033276
182,0,182,150411.300577,132039.033276
183,0,183,150432.455572,132039.033276
184,0,184,150453.610567,132039.033276
185,0,185,150474.765562,132039.033276
186,0,186,150495.920557,132039.033276
187,0,187,150517.075552,132039.033276
188,0,188,150538.230548,132039.033276
189,0,189,150559.385543,132039.033276
190,0,190,150580.540538,132039.033276
191,0,191,150601.695533,132039.033276
192,0,192,150622.850528,132039.033276
193,0,193,150644.005524,132039.033276
194,0,194,150665.160519,132039.033276
195,0,195,150686.315514,132039.033276
196,0,196,150707.470509,132039.033276
197,0,197,150728.625504,132039.033276
198,0,198,150749.780499,132039.033276
199,0,199,150770.935495,132039.033276
200,0,200,150792.090490,132039.033276
201,0,201,150813.245485,132039.033276
202,0,202,150834.400480,132039.033276
203,0,203,150855.555475,132039.033276
204,0,204,150876.710470,132039.033276
205,0,205,150897.865466,132039.033276
206,0,206,150919.020461,132039.033276
207,0,207,150940.175456,132039.033276
208,0,208,150961.330451,132039.033276
209,0,209,150982.485446,132039.033276
210,0,210,151003.640441,132039.033276
211,0,211,149607.410760,132017.857302
212,0,212,149628.565755,132017.857302
213,0,213,149649.720750,132017.857302
214,0,214,149670.875746,132017.857302
215,0,215,149692.030741,132017.857302
216,0,216,149713.185736,132017.857302
217,0,217,149734.340731,132017.857302
218,0,218,149755.495726,132017.857302
219,0,219,149776.650721,132017.857302
220,0,220,149797.805717,132017.857302
221,0,221,149818.960712,132017.857302
222,0,222,149840.115707,132017.857302
223,0,223,149861.270702,132017.857302
224,0,224,149882.425697,132017.857302
225,0,225,149903.580692,132017.857302
226,0,226,149924.735688,132017.857302
227,0,227,149945.890683,132017.857302
228,0,228,149967.045678,132017.857302
229,0,229,149988.200673,132017.857302
230,0,230,150009.355668,132017.857302
231,0,231,150030.510663,132017.857302
232,0,232,150051.665659,132017.857302
233,0,233,150072.820654,132017.857302
234,0,234,150093.975649,132017.857302
235,0,235,150115.130644,132017.857302
236,0,236,150136.285639,132017.857302
237,0,237,150157.440635,132017.857302
