Generation 0 | Revalues: 100 | GridSize: 8
Generation 1 | Revalues: 322 | GridSize: 25
Generation 2 | Revalues: 524 | GridSize: 31
Generation 3 | Revalues: 718 | GridSize: 32
Generation 4 | Revalues: 908 | GridSize: 36
Generation 5 | Revalues: 1102 | GridSize: 38
Generation 6 | Revalues: 1318 | GridSize: 39
Generation 7 | Revalues: 1510 | GridSize: 43
Generation 8 | Revalues: 1702 | GridSize: 47
Generation 9 | Revalues: 1902 | GridSize: 48
Generation 10 | Revalues: 2108 | GridSize: 48
Generation 11 | Revalues: 2312 | GridSize: 48
Generation 12 | Revalues: 2512 | GridSize: 55
Generation 13 | Revalues: 2680 | GridSize: 57
Generation 14 | Revalues: 2894 | GridSize: 55
Generation 15 | Revalues: 3100 | GridSize: 55
Generation 16 | Revalues: 3292 | GridSize: 58
Generation 17 | Revalues: 3488 | GridSize: 58
Generation 18 | Revalues: 3694 | GridSize: 59
Generation 19 | Revalues: 3902 | GridSize: 66
Generation 20 | Revalues: 4084 | GridSize: 70
Generation 21 | Revalues: 4288 | GridSize: 73
Generation 22 | Revalues: 4454 | GridSize: 76
Generation 23 | Revalues: 4642 | GridSize: 77
Generation 24 | Revalues: 4846 | GridSize: 80
Generation 25 | Revalues: 5060 | GridSize: 78
Generation 26 | Revalues: 5262 | GridSize: 81
Generation 27 | Revalues: 5454 | GridSize: 81
Generation 28 | Revalues: 5674 | GridSize: 81
Generation 29 | Revalues: 5876 | GridSize: 85
Generation 30 | Revalues: 6054 | GridSize: 87
Generation 31 | Revalues: 6264 | GridSize: 82
Generation 32 | Revalues: 6490 | GridSize: 81
Generation 33 | Revalues: 6702 | GridSize: 82
Generation 34 | Revalues: 6890 | GridSize: 76
Generation 35 | Revalues: 7108 | GridSize: 73
Generation 36 | Revalues: 7294 | GridSize: 75
Generation 37 | Revalues: 7492 | GridSize: 77
Generation 38 | Revalues: 7676 | GridSize: 76
Generation 39 | Revalues: 7868 | GridSize: 78
Generation 40 | Revalues: 8060 | GridSize: 80
Generation 41 | Revalues: 8266 | GridSize: 79
Generation 42 | Revalues: 8462 | GridSize: 81
Generation 43 | Revalues: 8648 | GridSize: 81
Generation 44 | Revalues: 8862 | GridSize: 84
Generation 45 | Revalues: 9046 | GridSize: 82
Generation 46 | Revalues: 9248 | GridSize: 84
Generation 47 | Revalues: 9440 | GridSize: 84
Generation 48 | Revalues: 9632 | GridSize: 85
Generation 49 | Revalues: 9844 | GridSize: 89
Generation 50 | Revalues: 10066 | GridSize: 91
Generation 51 | Revalues: 10262 | GridSize: 88
Generation 52 | Revalues: 10466 | GridSize: 83
Generation 53 | Revalues: 10646 | GridSize: 85
Generation 54 | Revalues: 10862 | GridSize: 87
Generation 55 | Revalues: 11108 | GridSize: 88
Generation 56 | Revalues: 11296 | GridSize: 90
Generation 57 | Revalues: 11476 | GridSize: 91
Generation 58 | Revalues: 11696 | GridSize: 93
Generation 59 | Revalues: 11908 | GridSize: 91
Generation 60 | Revalues: 12122 | GridSize: 88
Generation 61 | Revalues: 12318 | GridSize: 89
Generation 62 | Revalues: 12530 | GridSize: 91
Generation 63 | Revalues: 12726 | GridSize: 95
Generation 64 | Revalues: 12920 | GridSize: 94
Generation 65 | Revalues: 13112 | GridSize: 96
Generation 66 | Revalues: 13310 | GridSize: 95
Generation 67 | Revalues: 13540 | GridSize: 94
Generation 68 | Revalues: 13730 | GridSize: 92
Generation 69 | Revalues: 13930 | GridSize: 94
Generation 70 | Revalues: 14112 | GridSize: 97
Generation 71 | Revalues: 14332 | GridSize: 94
Generation 72 | Revalues: 14540 | GridSize: 94
Generation 73 | Revalues: 14762 | GridSize: 93
Generation 74 | Revalues: 14954 | GridSize: 96
Generation 75 | Revalues: 15162 | GridSize: 97
Generation 76 | Revalues: 15342 | GridSize: 97
Generation 77 | Revalues: 15518 | GridSize: 99
Generation 78 | Revalues: 15728 | GridSize: 98
Generation 79 | Revalues: 15924 | GridSize: 95
Generation 80 | Revalues: 16126 | GridSize: 95
Generation 81 | Revalues: 16314 | GridSize: 95
Generation 82 | Revalues: 16510 | GridSize: 99
Generation 83 | Revalues: 16700 | GridSize: 96
Generation 84 | Revalues: 16900 | GridSize: 90
Generation 85 | Revalues: 17084 | GridSize: 90
Generation 86 | Revalues: 17254 | GridSize: 87
Generation 87 | Revalues: 17484 | GridSize: 85
Generation 88 | Revalues: 17686 | GridSize: 85
Generation 89 | Revalues: 17902 | GridSize: 86
Generation 90 | Revalues: 18124 | GridSize: 87
Generation 91 | Revalues: 18320 | GridSize: 89
Generation 92 | Revalues: 18530 | GridSize: 93
Generation 93 | Revalues: 18746 | GridSize: 90
Generation 94 | Revalues: 18938 | GridSize: 89
Generation 95 | Revalues: 19180 | GridSize: 90
Generation 96 | Revalues: 19388 | GridSize: 91
Generation 97 | Revalues: 19588 | GridSize: 85
Generation 98 | Revalues: 19782 | GridSize: 86
Generation 99 | Revalues: 19982 | GridSize: 86
Generation 100 | Revalues: 20184 | GridSize: 87
Generation 101 | Revalues: 20416 | GridSize: 85
Generation 102 | Revalues: 20608 | GridSize: 86
Generation 103 | Revalues: 20812 | GridSize: 86
Generation 104 | Revalues: 21016 | GridSize: 87
Generation 105 | Revalues: 21220 | GridSize: 90
Generation 106 | Revalues: 21402 | GridSize: 91
Generation 107 | Revalues: 21584 | GridSize: 93
Generation 108 | Revalues: 21802 | GridSize: 94
Generation 109 | Revalues: 22000 | GridSize: 96
Generation 110 | Revalues: 22180 | GridSize: 98
Generation 111 | Revalues: 22380 | GridSize: 98
Generation 112 | Revalues: 22582 | GridSize: 97
Generation 113 | Revalues: 22784 | GridSize: 98
Generation 114 | Revalues: 23012 | GridSize: 99
Generation 115 | Revalues: 23194 | GridSize: 94
Generation 116 | Revalues: 23396 | GridSize: 95
Generation 117 | Revalues: 23594 | GridSize: 96
Generation 118 | Revalues: 23798 | GridSize: 95
Generation 119 | Revalues: 23984 | GridSize: 96
Generation 120 | Revalues: 24196 | GridSize: 96
Generation 121 | Revalues: 24398 | GridSize: 97
Generation 122 | Revalues: 24578 | GridSize: 99
Generation 123 | Revalues: 24770 | GridSize: 96
Generation 124 | Revalues: 24960 | GridSize: 94
Generation 125 | Revalues: 25166 | GridSize: 94
Generation 126 | Revalues: 25362 | GridSize: 92
Generation 127 | Revalues: 25560 | GridSize: 91
Generation 128 | Revalues: 25764 | GridSize: 92
Generation 129 | Revalues: 25988 | GridSize: 91
Generation 130 | Revalues: 26190 | GridSize: 92
Generation 131 | Revalues: 26380 | GridSize: 93
Generation 132 | Revalues: 26608 | GridSize: 93
Generation 133 | Revalues: 26802 | GridSize: 92
Generation 134 | Revalues: 26998 | GridSize: 93
Generation 135 | Revalues: 27212 | GridSize: 94
Generation 136 | Revalues: 27428 | GridSize: 94
Generation 137 | Revalues: 27614 | GridSize: 96
Generation 138 | Revalues: 27830 | GridSize: 97
Generation 139 | Revalues: 28030 | GridSize: 98
Generation 140 | Revalues: 28238 | GridSize: 100
Generation 141 | Revalues: 28420 | GridSize: 104
Generation 142 | Revalues: 28638 | GridSize: 103
Generation 143 | Revalues: 28860 | GridSize: 105
Generation 144 | Revalues: 29084 | GridSize: 100
Generation 145 | Revalues: 29302 | GridSize: 104
Generation 146 | Revalues: 29500 | GridSize: 102
Generation 147 | Revalues: 29722 | GridSize: 102
Generation 148 | Revalues: 29928 | GridSize: 102
Generation 149 | Revalues: 30146 | GridSize: 101
Generation 150 | Revalues: 30330 | GridSize: 103
Generation 151 | Revalues: 30544 | GridSize: 103
Generation 152 | Revalues: 30740 | GridSize: 103
Generation 153 | Revalues: 30928 | GridSize: 104
Generation 154 | Revalues: 31130 | GridSize: 101
Generation 155 | Revalues: 31320 | GridSize: 104
Generation 156 | Revalues: 31514 | GridSize: 100
Generation 157 | Revalues: 31726 | GridSize: 97
Generation 158 | Revalues: 31916 | GridSize: 98
Generation 159 | Revalues: 32126 | GridSize: 102
Generation 160 | Revalues: 32314 | GridSize: 103
Generation 161 | Revalues: 32514 | GridSize: 103
Generation 162 | Revalues: 32662 | GridSize: 105
Generation 163 | Revalues: 32870 | GridSize: 107
Generation 164 | Revalues: 33080 | GridSize: 108
Generation 165 | Revalues: 33286 | GridSize: 105
Generation 166 | Revalues: 33458 | GridSize: 106
Generation 167 | Revalues: 33658 | GridSize: 104
Generation 168 | Revalues: 33840 | GridSize: 105
Generation 169 | Revalues: 34054 | GridSize: 107
Generation 170 | Revalues: 34250 | GridSize: 108
Generation 171 | Revalues: 34428 | GridSize: 109
Generation 172 | Revalues: 34630 | GridSize: 109
Generation 173 | Revalues: 34818 | GridSize: 109
Generation 174 | Revalues: 35010 | GridSize: 107
Generation 175 | Revalues: 35234 | GridSize: 110
Generation 176 | Revalues: 35452 | GridSize: 110
Generation 177 | Revalues: 35660 | GridSize: 109
Generation 178 | Revalues: 35842 | GridSize: 109
Generation 179 | Revalues: 36052 | GridSize: 107
Generation 180 | Revalues: 36274 | GridSize: 105
Generation 181 | Revalues: 36462 | GridSize: 105
Generation 182 | Revalues: 36676 | GridSize: 102
Generation 183 | Revalues: 36872 | GridSize: 102
Generation 184 | Revalues: 37052 | GridSize: 102
Generation 185 | Revalues: 37232 | GridSize: 100
Generation 186 | Revalues: 37426 | GridSize: 100
Generation 187 | Revalues: 37628 | GridSize: 92
Generation 188 | Revalues: 37842 | GridSize: 92
Generation 189 | Revalues: 38030 | GridSize: 93
Generation 190 | Revalues: 38228 | GridSize: 95
Generation 191 | Revalues: 38422 | GridSize: 95
Generation 192 | Revalues: 38640 | GridSize: 95
Generation 193 | Revalues: 38834 | GridSize: 92
Generation 194 | Revalues: 39020 | GridSize: 92
Generation 195 | Revalues: 39224 | GridSize: 93
Generation 196 | Revalues: 39416 | GridSize: 94
Generation 197 | Revalues: 39626 | GridSize: 87
Generation 198 | Revalues: 39816 | GridSize: 88
Generation 199 | Revalues: 40022 | GridSize: 88
Generation 200 | Revalues: 40234 | GridSize: 90
Generation 201 | Revalues: 40408 | GridSize: 91
Generation 202 | Revalues: 40624 | GridSize: 91
Generation 203 | Revalues: 40824 | GridSize: 94
Generation 204 | Revalues: 41014 | GridSize: 95
Generation 205 | Revalues: 41214 | GridSize: 95
Generation 206 | Revalues: 41408 | GridSize: 95
Generation 207 | Revalues: 41636 | GridSize: 98
Generation 208 | Revalues: 41848 | GridSize: 98
Generation 209 | Revalues: 42046 | GridSize: 98
Generation 210 | Revalues: 42252 | GridSize: 99
Generation 211 | Revalues: 42438 | GridSize: 100
Generation 212 | Revalues: 42616 | GridSize: 100
Generation 213 | Revalues: 42802 | GridSize: 91
Generation 214 | Revalues: 42992 | GridSize: 91
Generation 215 | Revalues: 43196 | GridSize: 91
Generation 216 | Revalues: 43416 | GridSize: 91
Generation 217 | Revalues: 43626 | GridSize: 93
Generation 218 | Revalues: 43816 | GridSize: 93
Generation 219 | Revalues: 44020 | GridSize: 93
Generation 220 | Revalues: 44236 | GridSize: 94
Generation 221 | Revalues: 44424 | GridSize: 94
Generation 222 | Revalues: 44634 | GridSize: 95
Generation 223 | Revalues: 44840 | GridSize: 96
