Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 290 | GridSize: 13
Generation 2 | Revalues: 480 | GridSize: 18
Generation 3 | Revalues: 696 | GridSize: 21
Generation 4 | Revalues: 904 | GridSize: 30
Generation 5 | Revalues: 1088 | GridSize: 22
Generation 6 | Revalues: 1280 | GridSize: 32
Generation 7 | Revalues: 1464 | GridSize: 30
Generation 8 | Revalues: 1642 | GridSize: 32
Generation 9 | Revalues: 1844 | GridSize: 27
Generation 10 | Revalues: 2058 | GridSize: 27
Generation 11 | Revalues: 2268 | GridSize: 33
Generation 12 | Revalues: 2466 | GridSize: 35
Generation 13 | Revalues: 2676 | GridSize: 31
Generation 14 | Revalues: 2896 | GridSize: 35
Generation 15 | Revalues: 3098 | GridSize: 35
Generation 16 | Revalues: 3308 | GridSize: 39
Generation 17 | Revalues: 3504 | GridSize: 44
Generation 18 | Revalues: 3714 | GridSize: 42
Generation 19 | Revalues: 3912 | GridSize: 46
Generation 20 | Revalues: 4076 | GridSize: 47
Generation 21 | Revalues: 4270 | GridSize: 49
Generation 22 | Revalues: 4478 | GridSize: 52
Generation 23 | Revalues: 4690 | GridSize: 46
Generation 24 | Revalues: 4904 | GridSize: 51
Generation 25 | Revalues: 5080 | GridSize: 51
Generation 26 | Revalues: 5288 | GridSize: 51
Generation 27 | Revalues: 5470 | GridSize: 48
Generation 28 | Revalues: 5676 | GridSize: 55
Generation 29 | Revalues: 5878 | GridSize: 53
Generation 30 | Revalues: 6106 | GridSize: 57
Generation 31 | Revalues: 6314 | GridSize: 56
Generation 32 | Revalues: 6490 | GridSize: 59
Generation 33 | Revalues: 6694 | GridSize: 62
Generation 34 | Revalues: 6876 | GridSize: 58
Generation 35 | Revalues: 7088 | GridSize: 49
Generation 36 | Revalues: 7290 | GridSize: 50
Generation 37 | Revalues: 7500 | GridSize: 51
Generation 38 | Revalues: 7694 | GridSize: 51
Generation 39 | Revalues: 7890 | GridSize: 55
Generation 40 | Revalues: 8102 | GridSize: 58
Generation 41 | Revalues: 8310 | GridSize: 50
Generation 42 | Revalues: 8494 | GridSize: 51
Generation 43 | Revalues: 8710 | GridSize: 53
Generation 44 | Revalues: 8904 | GridSize: 58
Generation 45 | Revalues: 9110 | GridSize: 61
Generation 46 | Revalues: 9326 | GridSize: 57
Generation 47 | Revalues: 9528 | GridSize: 58
Generation 48 | Revalues: 9734 | GridSize: 57
Generation 49 | Revalues: 9910 | GridSize: 58
Generation 50 | Revalues: 10128 | GridSize: 60
Generation 51 | Revalues: 10330 | GridSize: 63
Generation 52 | Revalues: 10534 | GridSize: 67
Generation 53 | Revalues: 10738 | GridSize: 66
Generation 54 | Revalues: 10954 | GridSize: 75
Generation 55 | Revalues: 11158 | GridSize: 67
Generation 56 | Revalues: 11380 | GridSize: 63
Generation 57 | Revalues: 11620 | GridSize: 61
Generation 58 | Revalues: 11800 | GridSize: 65
Generation 59 | Revalues: 11992 | GridSize: 65
Generation 60 | Revalues: 12186 | GridSize: 60
Generation 61 | Revalues: 12390 | GridSize: 60
Generation 62 | Revalues: 12594 | GridSize: 70
Generation 63 | Revalues: 12814 | GridSize: 69
Generation 64 | Revalues: 13030 | GridSize: 77
Generation 65 | Revalues: 13220 | GridSize: 77
Generation 66 | Revalues: 13418 | GridSize: 72
Generation 67 | Revalues: 13652 | GridSize: 68
Generation 68 | Revalues: 13864 | GridSize: 70
Generation 69 | Revalues: 14060 | GridSize: 72
Generation 70 | Revalues: 14254 | GridSize: 73
Generation 71 | Revalues: 14440 | GridSize: 72
Generation 72 | Revalues: 14644 | GridSize: 71
Generation 73 | Revalues: 14820 | GridSize: 76
Generation 74 | Revalues: 15016 | GridSize: 75
Generation 75 | Revalues: 15208 | GridSize: 72
Generation 76 | Revalues: 15422 | GridSize: 71
Generation 77 | Revalues: 15632 | GridSize: 69
Generation 78 | Revalues: 15832 | GridSize: 70
Generation 79 | Revalues: 16044 | GridSize: 74
Generation 80 | Revalues: 16252 | GridSize: 78
Generation 81 | Revalues: 16470 | GridSize: 77
Generation 82 | Revalues: 16654 | GridSize: 72
Generation 83 | Revalues: 16842 | GridSize: 79
Generation 84 | Revalues: 17038 | GridSize: 76
Generation 85 | Revalues: 17226 | GridSize: 73
Generation 86 | Revalues: 17436 | GridSize: 72
Generation 87 | Revalues: 17646 | GridSize: 75
Generation 88 | Revalues: 17864 | GridSize: 71
Generation 89 | Revalues: 18068 | GridSize: 79
Generation 90 | Revalues: 18282 | GridSize: 87
Generation 91 | Revalues: 18470 | GridSize: 89
Generation 92 | Revalues: 18674 | GridSize: 86
Generation 93 | Revalues: 18882 | GridSize: 87
Generation 94 | Revalues: 19080 | GridSize: 82
Generation 95 | Revalues: 19266 | GridSize: 82
Generation 96 | Revalues: 19458 | GridSize: 80
Generation 97 | Revalues: 19672 | GridSize: 70
Generation 98 | Revalues: 19894 | GridSize: 68
Generation 99 | Revalues: 20052 | GridSize: 64
Generation 100 | Revalues: 20268 | GridSize: 63
Generation 101 | Revalues: 20454 | GridSize: 62
Generation 102 | Revalues: 20668 | GridSize: 67
Generation 103 | Revalues: 20878 | GridSize: 73
Generation 104 | Revalues: 21084 | GridSize: 69
Generation 105 | Revalues: 21288 | GridSize: 64
Generation 106 | Revalues: 21478 | GridSize: 63
Generation 107 | Revalues: 21686 | GridSize: 68
Generation 108 | Revalues: 21880 | GridSize: 66
Generation 109 | Revalues: 22076 | GridSize: 69
Generation 110 | Revalues: 22284 | GridSize: 61
Generation 111 | Revalues: 22492 | GridSize: 66
Generation 112 | Revalues: 22686 | GridSize: 72
Generation 113 | Revalues: 22880 | GridSize: 71
Generation 114 | Revalues: 23076 | GridSize: 79
Generation 115 | Revalues: 23252 | GridSize: 78
Generation 116 | Revalues: 23454 | GridSize: 84
Generation 117 | Revalues: 23670 | GridSize: 83
Generation 118 | Revalues: 23888 | GridSize: 86
Generation 119 | Revalues: 24066 | GridSize: 89
Generation 120 | Revalues: 24288 | GridSize: 88
Generation 121 | Revalues: 24486 | GridSize: 86
Generation 122 | Revalues: 24688 | GridSize: 81
Generation 123 | Revalues: 24894 | GridSize: 79
Generation 124 | Revalues: 25110 | GridSize: 76
Generation 125 | Revalues: 25302 | GridSize: 75
Generation 126 | Revalues: 25478 | GridSize: 82
Generation 127 | Revalues: 25668 | GridSize: 83
Generation 128 | Revalues: 25878 | GridSize: 80
Generation 129 | Revalues: 26092 | GridSize: 82
Generation 130 | Revalues: 26292 | GridSize: 87
Generation 131 | Revalues: 26520 | GridSize: 87
Generation 132 | Revalues: 26714 | GridSize: 88
Generation 133 | Revalues: 26928 | GridSize: 87
Generation 134 | Revalues: 27122 | GridSize: 88
Generation 135 | Revalues: 27326 | GridSize: 74
Generation 136 | Revalues: 27540 | GridSize: 76
Generation 137 | Revalues: 27742 | GridSize: 73
Generation 138 | Revalues: 27958 | GridSize: 76
Generation 139 | Revalues: 28174 | GridSize: 78
Generation 140 | Revalues: 28388 | GridSize: 80
Generation 141 | Revalues: 28590 | GridSize: 80
Generation 142 | Revalues: 28798 | GridSize: 86
Generation 143 | Revalues: 28990 | GridSize: 86
Generation 144 | Revalues: 29190 | GridSize: 87
Generation 145 | Revalues: 29404 | GridSize: 91
Generation 146 | Revalues: 29600 | GridSize: 92
Generation 147 | Revalues: 29778 | GridSize: 95
Generation 148 | Revalues: 29960 | GridSize: 92
Generation 149 | Revalues: 30134 | GridSize: 91
Generation 150 | Revalues: 30336 | GridSize: 95
Generation 151 | Revalues: 30524 | GridSize: 96
Generation 152 | Revalues: 30702 | GridSize: 92
Generation 153 | Revalues: 30886 | GridSize: 89
Generation 154 | Revalues: 31062 | GridSize: 90
Generation 155 | Revalues: 31244 | GridSize: 94
Generation 156 | Revalues: 31452 | GridSize: 92
Generation 157 | Revalues: 31666 | GridSize: 94
Generation 158 | Revalues: 31862 | GridSize: 90
Generation 159 | Revalues: 32058 | GridSize: 96
Generation 160 | Revalues: 32274 | GridSize: 96
Generation 161 | Revalues: 32492 | GridSize: 98
Generation 162 | Revalues: 32674 | GridSize: 100
Generation 163 | Revalues: 32878 | GridSize: 98
Generation 164 | Revalues: 33088 | GridSize: 98
Generation 165 | Revalues: 33314 | GridSize: 101
Generation 166 | Revalues: 33508 | GridSize: 98
Generation 167 | Revalues: 33712 | GridSize: 99
Generation 168 | Revalues: 33908 | GridSize: 91
Generation 169 | Revalues: 34102 | GridSize: 89
Generation 170 | Revalues: 34288 | GridSize: 90
Generation 171 | Revalues: 34478 | GridSize: 93
Generation 172 | Revalues: 34704 | GridSize: 91
Generation 173 | Revalues: 34926 | GridSize: 95
Generation 174 | Revalues: 35138 | GridSize: 97
Generation 175 | Revalues: 35352 | GridSize: 98
Generation 176 | Revalues: 35554 | GridSize: 94
Generation 177 | Revalues: 35764 | GridSize: 95
Generation 178 | Revalues: 35954 | GridSize: 91
Generation 179 | Revalues: 36148 | GridSize: 92
Generation 180 | Revalues: 36340 | GridSize: 92
Generation 181 | Revalues: 36524 | GridSize: 94
Generation 182 | Revalues: 36722 | GridSize: 94
Generation 183 | Revalues: 36926 | GridSize: 96
Generation 184 | Revalues: 37124 | GridSize: 95
Generation 185 | Revalues: 37346 | GridSize: 97
Generation 186 | Revalues: 37538 | GridSize: 98
Generation 187 | Revalues: 37744 | GridSize: 91
Generation 188 | Revalues: 37958 | GridSize: 92
Generation 189 | Revalues: 38170 | GridSize: 94
Generation 190 | Revalues: 38366 | GridSize: 95
Generation 191 | Revalues: 38572 | GridSize: 96
Generation 192 | Revalues: 38788 | GridSize: 94
Generation 193 | Revalues: 38986 | GridSize: 94
Generation 194 | Revalues: 39182 | GridSize: 95
Generation 195 | Revalues: 39382 | GridSize: 97
Generation 196 | Revalues: 39552 | GridSize: 98
Generation 197 | Revalues: 39750 | GridSize: 92
Generation 198 | Revalues: 39926 | GridSize: 91
Generation 199 | Revalues: 40126 | GridSize: 87
Generation 200 | Revalues: 40340 | GridSize: 88
Generation 201 | Revalues: 40542 | GridSize: 89
Generation 202 | Revalues: 40740 | GridSize: 94
Generation 203 | Revalues: 40958 | GridSize: 87
Generation 204 | Revalues: 41166 | GridSize: 85
Generation 205 | Revalues: 41368 | GridSize: 88
Generation 206 | Revalues: 41582 | GridSize: 89
Generation 207 | Revalues: 41800 | GridSize: 82
Generation 208 | Revalues: 41998 | GridSize: 84
Generation 209 | Revalues: 42172 | GridSize: 85
Generation 210 | Revalues: 42370 | GridSize: 87
Generation 211 | Revalues: 42552 | GridSize: 89
Generation 212 | Revalues: 42760 | GridSize: 90
Generation 213 | Revalues: 42944 | GridSize: 92
Generation 214 | Revalues: 43174 | GridSize: 86
Generation 215 | Revalues: 43364 | GridSize: 88
Generation 216 | Revalues: 43574 | GridSize: 91
Generation 217 | Revalues: 43772 | GridSize: 95
Generation 218 | Revalues: 43988 | GridSize: 96
Generation 219 | Revalues: 44168 | GridSize: 96
Generation 220 | Revalues: 44382 | GridSize: 93
Generation 221 | Revalues: 44572 | GridSize: 91
