algorithm,instance,run_id,vector_id,generation,iteration,f_cost,f_power,weight1,weight2,occupied
moead,63t_03_r1e-04,3,0,0,0,155250099.349600,324494.363861,0.000000,1.000000,22150 31033 36686 43215 60573 79731 90056 99145 100938 129516 141541 147936 162906 168093 191998 192418 206068 207261 208042 209239 219366 220637 233642 256348 260118 273988 288741 290140 303803 307440 323631 343848 351603 358665 369464 399030 403150 403628 418556 426357 437318 468675 469481 475100 481262 481967 483291 495415 501926 518409 527417 535705 539125 543251 553100 559314 574961 584863 597281 604408 618458 618853 621486
moead,63t_03_r1e-04,3,1,0,0,152365744.792387,294814.802856,0.111111,0.888889,11314 25171 25877 41008 68633 68640 78873 78893 85257 87702 88486 89344 106079 112756 113146 138687 152539 158713 167884 168852 176703 180921 188395 196327 211351 213744 243374 250804 278400 279591 303213 325822 333008 351289 363186 366967 370701 375208 382924 385498 392852 405239 409119 441273 473931 477023 482622 501505 503595 516142 520532 528274 534927 543480 547975 548779 549014 550769 597291 599989 611576 621379 621737
moead,63t_03_r1e-04,3,2,0,0,152365744.792387,294814.802856,0.222222,0.777778,11314 25171 25877 41008 68633 68640 78873 78893 85257 87702 88486 89344 106079 112756 113146 138687 152539 158713 167884 168852 176703 180921 188395 196327 211351 213744 243374 250804 278400 279591 303213 325822 333008 351289 363186 366967 370701 375208 382924 385498 392852 405239 409119 441273 473931 477023 482622 501505 503595 516142 520532 528274 534927 543480 547975 548779 549014 550769 597291 599989 611576 621379 621737
moead,63t_03_r1e-04,3,3,0,0,152365744.792387,294814.802856,0.333333,0.666667,11314 25171 25877 41008 68633 68640 78873 78893 85257 87702 88486 89344 106079 112756 113146 138687 152539 158713 167884 168852 176703 180921 188395 196327 211351 213744 243374 250804 278400 279591 303213 325822 333008 351289 363186 366967 370701 375208 382924 385498 392852 405239 409119 441273 473931 477023 482622 501505 503595 516142 520532 528274 534927 543480 547975 548779 549014 550769 597291 599989 611576 621379 621737
moead,63t_03_r1e-04,3,4,0,0,152365744.792387,294814.802856,0.444444,0.555556,11314 25171 25877 41008 68633 68640 78873 78893 85257 87702 88486 89344 106079 112756 113146 138687 152539 158713 167884 168852 176703 180921 188395 196327 211351 213744 243374 250804 278400 279591 303213 325822 333008 351289 363186 366967 370701 375208 382924 385498 392852 405239 409119 441273 473931 477023 482622 501505 503595 516142 520532 528274 534927 543480 547975 548779 549014 550769 597291 599989 611576 621379 621737
moead,63t_03_r1e-04,3,5,0,0,152365744.792387,294814.802856,0.555556,0.444444,11314 25171 25877 41008 68633 68640 78873 78893 85257 87702 88486 89344 106079 112756 113146 138687 152539 158713 167884 168852 176703 180921 188395 196327 211351 213744 243374 250804 278400 279591 303213 325822 333008 351289 363186 366967 370701 375208 382924 385498 392852 405239 409119 441273 473931 477023 482622 501505 503595 516142 520532 528274 534927 543480 547975 548779 549014 550769 597291 599989 611576 621379 621737
moead,63t_03_r1e-04,3,6,0,0,152365744.792387,294814.802856,0.666667,0.333333,11314 25171 25877 41008 68633 68640 78873 78893 85257 87702 88486 89344 106079 112756 113146 138687 152539 158713 167884 168852 176703 180921 188395 196327 211351 213744 243374 250804 278400 279591 303213 325822 333008 351289 363186 366967 370701 375208 382924 385498 392852 405239 409119 441273 473931 477023 482622 501505 503595 516142 520532 528274 534927 543480 547975 548779 549014 550769 597291 599989 611576 621379 621737
moead,63t_03_r1e-04,3,7,0,0,152365744.792387,294814.802856,0.777778,0.222222,11314 25171 25877 41008 68633 68640 78873 78893 85257 87702 88486 89344 106079 112756 113146 138687 152539 158713 167884 168852 176703 180921 188395 196327 211351 213744 243374 250804 278400 279591 303213 325822 333008 351289 363186 366967 370701 375208 382924 385498 392852 405239 409119 441273 473931 477023 482622 501505 503595 516142 520532 528274 534927 543480 547975 548779 549014 550769 597291 599989 611576 621379 621737
moead,63t_03_r1e-04,3,8,0,0,152365744.792387,294814.802856,0.888889,0.111111,11314 25171 25877 41008 68633 68640 78873 78893 85257 87702 88486 89344 106079 112756 113146 138687 152539 158713 167884 168852 176703 180921 188395 196327 211351 213744 243374 250804 278400 279591 303213 325822 333008 351289 363186 366967 370701 375208 382924 385498 392852 405239 409119 441273 473931 477023 482622 501505 503595 516142 520532 528274 534927 543480 547975 548779 549014 550769 597291 599989 611576 621379 621737
moead,63t_03_r1e-04,3,9,0,0,152365744.792387,294814.802856,1.000000,0.000000,11314 25171 25877 41008 68633 68640 78873 78893 85257 87702 88486 89344 106079 112756 113146 138687 152539 158713 167884 168852 176703 180921 188395 196327 211351 213744 243374 250804 278400 279591 303213 325822 333008 351289 363186 366967 370701 375208 382924 385498 392852 405239 409119 441273 473931 477023 482622 501505 503595 516142 520532 528274 534927 543480 547975 548779 549014 550769 597291 599989 611576 621379 621737
