algorithm,instance,run_id,vector_id,generation,iteration,f_cost,f_power,weight1,weight2,occupied
nsga2,178_r1e-04,8,0,0,0,57578381.234746,52108.126373,0.000000,1.000000,1945 10238 25101 37254 42179 42436 44129 51476 72741 79831 127593 128801 129675 133898 156849 160116 162617 164184 179554 181271 203030 220888 224520
nsga2,178_r1e-04,8,1,0,0,54392595.658516,48294.734962,0.111111,0.888889,7942 8284 69998 77839 79062 81158 86502 87890 94063 94111 99755 104785 122872 133783 145991 164778 167902 172668 187094 187649 208557 216451 217952
nsga2,178_r1e-04,8,2,0,0,54392595.658516,48294.734962,0.222222,0.777778,7942 8284 69998 77839 79062 81158 86502 87890 94063 94111 99755 104785 122872 133783 145991 164778 167902 172668 187094 187649 208557 216451 217952
nsga2,178_r1e-04,8,3,0,0,54392595.658516,48294.734962,0.333333,0.666667,7942 8284 69998 77839 79062 81158 86502 87890 94063 94111 99755 104785 122872 133783 145991 164778 167902 172668 187094 187649 208557 216451 217952
nsga2,178_r1e-04,8,4,0,0,54392595.658516,48294.734962,0.444444,0.555556,7942 8284 69998 77839 79062 81158 86502 87890 94063 94111 99755 104785 122872 133783 145991 164778 167902 172668 187094 187649 208557 216451 217952
nsga2,178_r1e-04,8,5,0,0,54392595.658516,48294.734962,0.555556,0.444444,7942 8284 69998 77839 79062 81158 86502 87890 94063 94111 99755 104785 122872 133783 145991 164778 167902 172668 187094 187649 208557 216451 217952
nsga2,178_r1e-04,8,6,0,0,54392595.658516,48294.734962,0.666667,0.333333,7942 8284 69998 77839 79062 81158 86502 87890 94063 94111 99755 104785 122872 133783 145991 164778 167902 172668 187094 187649 208557 216451 217952
nsga2,178_r1e-04,8,7,0,0,54392595.658516,48294.734962,0.777778,0.222222,7942 8284 69998 77839 79062 81158 86502 87890 94063 94111 99755 104785 122872 133783 145991 164778 167902 172668 187094 187649 208557 216451 217952
nsga2,178_r1e-04,8,8,0,0,54392595.658516,48294.734962,0.888889,0.111111,7942 8284 69998 77839 79062 81158 86502 87890 94063 94111 99755 104785 122872 133783 145991 164778 167902 172668 187094 187649 208557 216451 217952
nsga2,178_r1e-04,8,9,0,0,54392595.658516,48294.734962,1.000000,0.000000,7942 8284 69998 77839 79062 81158 86502 87890 94063 94111 99755 104785 122872 133783 145991 164778 167902 172668 187094 187649 208557 216451 217952
nsga2,178_r1e-04,8,0,50,1,54122765.556896,53594.818512,0.000000,1.000000,599 915 24020 64304 65444 69998 72942 74062 82447 92318 92926 93229 106221 122333 161702 167902 172668 187649 189281 209461 213421 216451 217952
nsga2,178_r1e-04,8,1,50,1,48802129.609647,48541.774356,0.111111,0.888889,599 915 13087 14451 17076 18223 75216 77218 77220 79062 81158 81175 82447 86502 93229 136737 174995 175269 188744 189953 190839 192448 202163
nsga2,178_r1e-04,8,2,50,1,48802129.609647,48541.774356,0.222222,0.777778,599 915 13087 14451 17076 18223 75216 77218 77220 79062 81158 81175 82447 86502 93229 136737 174995 175269 188744 189953 190839 192448 202163
nsga2,178_r1e-04,8,3,50,1,48802129.609647,48541.774356,0.333333,0.666667,599 915 13087 14451 17076 18223 75216 77218 77220 79062 81158 81175 82447 86502 93229 136737 174995 175269 188744 189953 190839 192448 202163
nsga2,178_r1e-04,8,4,50,1,48802129.609647,48541.774356,0.444444,0.555556,599 915 13087 14451 17076 18223 75216 77218 77220 79062 81158 81175 82447 86502 93229 136737 174995 175269 188744 189953 190839 192448 202163
nsga2,178_r1e-04,8,5,50,1,48802129.609647,48541.774356,0.555556,0.444444,599 915 13087 14451 17076 18223 75216 77218 77220 79062 81158 81175 82447 86502 93229 136737 174995 175269 188744 189953 190839 192448 202163
nsga2,178_r1e-04,8,6,50,1,48802129.609647,48541.774356,0.666667,0.333333,599 915 13087 14451 17076 18223 75216 77218 77220 79062 81158 81175 82447 86502 93229 136737 174995 175269 188744 189953 190839 192448 202163
nsga2,178_r1e-04,8,7,50,1,48802129.609647,48541.774356,0.777778,0.222222,599 915 13087 14451 17076 18223 75216 77218 77220 79062 81158 81175 82447 86502 93229 136737 174995 175269 188744 189953 190839 192448 202163
nsga2,178_r1e-04,8,8,50,1,48802129.609647,48541.774356,0.888889,0.111111,599 915 13087 14451 17076 18223 75216 77218 77220 79062 81158 81175 82447 86502 93229 136737 174995 175269 188744 189953 190839 192448 202163
nsga2,178_r1e-04,8,9,50,1,48802129.609647,48541.774356,1.000000,0.000000,599 915 13087 14451 17076 18223 75216 77218 77220 79062 81158 81175 82447 86502 93229 136737 174995 175269 188744 189953 190839 192448 202163
nsga2,178_r1e-04,8,0,100,2,53333661.603005,53696.307098,0.000000,1.000000,599 640 732 915 17076 65444 69998 72942 74062 82447 92318 92926 93229 106221 106772 161702 167902 172668 187649 196310 198221 213421 216451
nsga2,178_r1e-04,8,1,100,2,47301122.692414,49539.188686,0.111111,0.888889,599 640 732 915 17076 18223 76120 79062 79225 80270 81158 82447 85508 86502 86535 86583 87547 87752 93052 93229 96600 180018 190871
nsga2,178_r1e-04,8,2,100,2,47301122.692414,49539.188686,0.222222,0.777778,599 640 732 915 17076 18223 76120 79062 79225 80270 81158 82447 85508 86502 86535 86583 87547 87752 93052 93229 96600 180018 190871
nsga2,178_r1e-04,8,3,100,2,47301122.692414,49539.188686,0.333333,0.666667,599 640 732 915 17076 18223 76120 79062 79225 80270 81158 82447 85508 86502 86535 86583 87547 87752 93052 93229 96600 180018 190871
nsga2,178_r1e-04,8,4,100,2,47301122.692414,49539.188686,0.444444,0.555556,599 640 732 915 17076 18223 76120 79062 79225 80270 81158 82447 85508 86502 86535 86583 87547 87752 93052 93229 96600 180018 190871
nsga2,178_r1e-04,8,5,100,2,47301122.692414,49539.188686,0.555556,0.444444,599 640 732 915 17076 18223 76120 79062 79225 80270 81158 82447 85508 86502 86535 86583 87547 87752 93052 93229 96600 180018 190871
nsga2,178_r1e-04,8,6,100,2,47301122.692414,49539.188686,0.666667,0.333333,599 640 732 915 17076 18223 76120 79062 79225 80270 81158 82447 85508 86502 86535 86583 87547 87752 93052 93229 96600 180018 190871
nsga2,178_r1e-04,8,7,100,2,47301122.692414,49539.188686,0.777778,0.222222,599 640 732 915 17076 18223 76120 79062 79225 80270 81158 82447 85508 86502 86535 86583 87547 87752 93052 93229 96600 180018 190871
nsga2,178_r1e-04,8,8,100,2,47301122.692414,49539.188686,0.888889,0.111111,599 640 732 915 17076 18223 76120 79062 79225 80270 81158 82447 85508 86502 86535 86583 87547 87752 93052 93229 96600 180018 190871
nsga2,178_r1e-04,8,9,100,2,47301122.692414,49539.188686,1.000000,0.000000,599 640 732 915 17076 18223 76120 79062 79225 80270 81158 82447 85508 86502 86535 86583 87547 87752 93052 93229 96600 180018 190871
nsga2,178_r1e-04,8,0,150,3,48322583.549838,53832.964600,0.000000,1.000000,599 640 915 17076 18223 19292 76120 76297 79062 80270 81158 82447 85508 86502 87547 87752 93052 93229 174253 178683 190871 206006 214282
nsga2,178_r1e-04,8,1,150,3,46389554.990724,48305.719067,0.111111,0.888889,599 915 17076 19292 76120 77127 79062 79194 79225 80270 81158 82447 85477 85508 86502 86535 86583 87469 87547 87752 93052 93229 190871
nsga2,178_r1e-04,8,2,150,3,46389554.990724,48305.719067,0.222222,0.777778,599 915 17076 19292 76120 77127 79062 79194 79225 80270 81158 82447 85477 85508 86502 86535 86583 87469 87547 87752 93052 93229 190871
nsga2,178_r1e-04,8,3,150,3,46375677.185311,48294.060955,0.333333,0.666667,599 915 17076 19292 76120 77127 79062 79194 79225 80270 81158 82447 85477 85508 86502 86535 86583 87469 87547 87752 93052 93229 190839
nsga2,178_r1e-04,8,4,150,3,46375677.185311,48294.060955,0.444444,0.555556,599 915 17076 19292 76120 77127 79062 79194 79225 80270 81158 82447 85477 85508 86502 86535 86583 87469 87547 87752 93052 93229 190839
nsga2,178_r1e-04,8,5,150,3,46375677.185311,48294.060955,0.555556,0.444444,599 915 17076 19292 76120 77127 79062 79194 79225 80270 81158 82447 85477 85508 86502 86535 86583 87469 87547 87752 93052 93229 190839
nsga2,178_r1e-04,8,6,150,3,46375677.185311,48294.060955,0.666667,0.333333,599 915 17076 19292 76120 77127 79062 79194 79225 80270 81158 82447 85477 85508 86502 86535 86583 87469 87547 87752 93052 93229 190839
nsga2,178_r1e-04,8,7,150,3,46375677.185311,48294.060955,0.777778,0.222222,599 915 17076 19292 76120 77127 79062 79194 79225 80270 81158 82447 85477 85508 86502 86535 86583 87469 87547 87752 93052 93229 190839
nsga2,178_r1e-04,8,8,150,3,46375677.185311,48294.060955,0.888889,0.111111,599 915 17076 19292 76120 77127 79062 79194 79225 80270 81158 82447 85477 85508 86502 86535 86583 87469 87547 87752 93052 93229 190839
nsga2,178_r1e-04,8,9,150,3,46375677.185311,48294.060955,1.000000,0.000000,599 915 17076 19292 76120 77127 79062 79194 79225 80270 81158 82447 85477 85508 86502 86535 86583 87469 87547 87752 93052 93229 190839
nsga2,178_r1e-04,8,0,200,4,48669544.803774,53868.545715,0.000000,1.000000,599 640 915 17076 18223 19292 76120 76297 79062 80270 81158 82447 85508 86502 87547 87752 93052 93229 174253 178683 190871 198480 206006
nsga2,178_r1e-04,8,1,200,4,45949578.348606,46610.986530,0.111111,0.888889,915 17076 19292 74048 76120 77127 79062 79194 79225 80270 81158 81214 82447 85477 85508 86502 86535 86583 87469 87547 87752 93052 93229
nsga2,178_r1e-04,8,2,200,4,45935698.094588,45528.619052,0.222222,0.777778,915 17076 20054 20526 76120 77127 78169 79062 79194 79225 80270 81158 81214 82447 85477 85508 86502 86535 86583 87469 87547 87752 93052
nsga2,178_r1e-04,8,3,200,4,45905717.135051,43950.320598,0.333333,0.666667,915 17076 20054 20526 76120 77127 78169 79062 79194 79225 80270 81158 81214 85477 85508 86502 86535 86583 87469 87547 87752 88616 93052
nsga2,178_r1e-04,8,4,200,4,45905717.135051,43950.320598,0.444444,0.555556,915 17076 20054 20526 76120 77127 78169 79062 79194 79225 80270 81158 81214 85477 85508 86502 86535 86583 87469 87547 87752 88616 93052
nsga2,178_r1e-04,8,5,200,4,45905717.135051,43950.320598,0.555556,0.444444,915 17076 20054 20526 76120 77127 78169 79062 79194 79225 80270 81158 81214 85477 85508 86502 86535 86583 87469 87547 87752 88616 93052
nsga2,178_r1e-04,8,6,200,4,45905717.135051,43950.320598,0.666667,0.333333,915 17076 20054 20526 76120 77127 78169 79062 79194 79225 80270 81158 81214 85477 85508 86502 86535 86583 87469 87547 87752 88616 93052
nsga2,178_r1e-04,8,7,200,4,45905717.135051,43950.320598,0.777778,0.222222,915 17076 20054 20526 76120 77127 78169 79062 79194 79225 80270 81158 81214 85477 85508 86502 86535 86583 87469 87547 87752 88616 93052
nsga2,178_r1e-04,8,8,200,4,45905717.135051,43950.320598,0.888889,0.111111,915 17076 20054 20526 76120 77127 78169 79062 79194 79225 80270 81158 81214 85477 85508 86502 86535 86583 87469 87547 87752 88616 93052
nsga2,178_r1e-04,8,9,200,4,45905717.135051,43950.320598,1.000000,0.000000,915 17076 20054 20526 76120 77127 78169 79062 79194 79225 80270 81158 81214 85477 85508 86502 86535 86583 87469 87547 87752 88616 93052
nsga2,178_r1e-04,8,0,250,5,48591612.167606,53957.847260,0.000000,1.000000,915 1078 12554 13490 16502 17076 18223 19292 76120 76252 79225 80270 81158 81214 82447 86583 87547 87752 93229 178683 198480 206006 207905
nsga2,178_r1e-04,8,1,250,5,45686154.348955,46868.394281,0.111111,0.888889,915 1078 16502 77127 79062 79194 79225 80110 80270 81158 81214 82447 83436 85477 85508 86502 86535 86583 87469 87547 87752 89879 93229
nsga2,178_r1e-04,8,2,250,5,45654455.551491,46361.610142,0.222222,0.777778,915 13490 16502 77127 79062 79194 79225 80110 80270 81158 81214 82447 85477 85508 86502 86535 86583 87469 87547 87752 88734 89879 93229
nsga2,178_r1e-04,8,3,250,5,45654455.551491,46361.610142,0.333333,0.666667,915 13490 16502 77127 79062 79194 79225 80110 80270 81158 81214 82447 85477 85508 86502 86535 86583 87469 87547 87752 88734 89879 93229
nsga2,178_r1e-04,8,4,250,5,45654455.551491,46361.610142,0.444444,0.555556,915 13490 16502 77127 79062 79194 79225 80110 80270 81158 81214 82447 85477 85508 86502 86535 86583 87469 87547 87752 88734 89879 93229
nsga2,178_r1e-04,8,5,250,5,45654455.551491,46361.610142,0.555556,0.444444,915 13490 16502 77127 79062 79194 79225 80110 80270 81158 81214 82447 85477 85508 86502 86535 86583 87469 87547 87752 88734 89879 93229
nsga2,178_r1e-04,8,6,250,5,45654455.551491,46361.610142,0.666667,0.333333,915 13490 16502 77127 79062 79194 79225 80110 80270 81158 81214 82447 85477 85508 86502 86535 86583 87469 87547 87752 88734 89879 93229
nsga2,178_r1e-04,8,7,250,5,45654455.551491,46361.610142,0.777778,0.222222,915 13490 16502 77127 79062 79194 79225 80110 80270 81158 81214 82447 85477 85508 86502 86535 86583 87469 87547 87752 88734 89879 93229
nsga2,178_r1e-04,8,8,250,5,45654455.551491,46361.610142,0.888889,0.111111,915 13490 16502 77127 79062 79194 79225 80110 80270 81158 81214 82447 85477 85508 86502 86535 86583 87469 87547 87752 88734 89879 93229
nsga2,178_r1e-04,8,9,250,5,45654455.551491,46361.610142,1.000000,0.000000,915 13490 16502 77127 79062 79194 79225 80110 80270 81158 81214 82447 85477 85508 86502 86535 86583 87469 87547 87752 88734 89879 93229
nsga2,178_r1e-04,8,0,300,6,48295838.946382,53991.807404,0.000000,1.000000,915 1078 12554 13490 16502 17076 18223 19292 28891 76120 76252 79225 80270 81158 81214 82447 86583 87547 87752 93229 178683 198480 206006
nsga2,178_r1e-04,8,1,300,6,45474736.610642,45570.363079,0.111111,0.888889,13490 16502 77078 77127 79062 79194 79225 80110 80270 81158 81214 82447 83436 85477 85508 86502 86535 86583 87469 87547 87752 89879 93229
nsga2,178_r1e-04,8,2,300,6,45474736.610642,45570.363079,0.222222,0.777778,13490 16502 77078 77127 79062 79194 79225 80110 80270 81158 81214 82447 83436 85477 85508 86502 86535 86583 87469 87547 87752 89879 93229
nsga2,178_r1e-04,8,3,300,6,45474736.610642,45570.363079,0.333333,0.666667,13490 16502 77078 77127 79062 79194 79225 80110 80270 81158 81214 82447 83436 85477 85508 86502 86535 86583 87469 87547 87752 89879 93229
nsga2,178_r1e-04,8,4,300,6,45457299.790557,44902.931795,0.444444,0.555556,1078 13490 77127 79062 79077 79194 79225 80110 80133 80270 81158 81214 82447 83436 85477 85508 86502 86535 86583 87547 87752 89879 93229
nsga2,178_r1e-04,8,5,300,6,45457299.790557,44902.931795,0.555556,0.444444,1078 13490 77127 79062 79077 79194 79225 80110 80133 80270 81158 81214 82447 83436 85477 85508 86502 86535 86583 87547 87752 89879 93229
nsga2,178_r1e-04,8,6,300,6,45457299.790557,44902.931795,0.666667,0.333333,1078 13490 77127 79062 79077 79194 79225 80110 80133 80270 81158 81214 82447 83436 85477 85508 86502 86535 86583 87547 87752 89879 93229
