Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 318 | GridSize: 3
Generation 2 | Revalues: 524 | GridSize: 9
Generation 3 | Revalues: 748 | GridSize: 12
Generation 4 | Revalues: 992 | GridSize: 12
Generation 5 | Revalues: 1234 | GridSize: 15
Generation 6 | Revalues: 1446 | GridSize: 11
Generation 7 | Revalues: 1678 | GridSize: 14
Generation 8 | Revalues: 1894 | GridSize: 13
Generation 9 | Revalues: 2144 | GridSize: 9
Generation 10 | Revalues: 2358 | GridSize: 11
Generation 11 | Revalues: 2572 | GridSize: 15
Generation 12 | Revalues: 2794 | GridSize: 10
Generation 13 | Revalues: 3030 | GridSize: 8
Generation 14 | Revalues: 3226 | GridSize: 15
Generation 15 | Revalues: 3458 | GridSize: 10
Generation 16 | Revalues: 3648 | GridSize: 9
Generation 17 | Revalues: 3872 | GridSize: 11
Generation 18 | Revalues: 4086 | GridSize: 11
Generation 19 | Revalues: 4302 | GridSize: 9
Generation 20 | Revalues: 4556 | GridSize: 8
Generation 21 | Revalues: 4792 | GridSize: 5
Generation 22 | Revalues: 5010 | GridSize: 3
Generation 23 | Revalues: 5248 | GridSize: 5
Generation 24 | Revalues: 5480 | GridSize: 8
Generation 25 | Revalues: 5716 | GridSize: 10
Generation 26 | Revalues: 5938 | GridSize: 11
Generation 27 | Revalues: 6148 | GridSize: 9
Generation 28 | Revalues: 6342 | GridSize: 6
Generation 29 | Revalues: 6582 | GridSize: 9
Generation 30 | Revalues: 6802 | GridSize: 7
Generation 31 | Revalues: 7012 | GridSize: 10
Generation 32 | Revalues: 7242 | GridSize: 9
Generation 33 | Revalues: 7458 | GridSize: 11
Generation 34 | Revalues: 7658 | GridSize: 12
Generation 35 | Revalues: 7904 | GridSize: 12
Generation 36 | Revalues: 8136 | GridSize: 10
Generation 37 | Revalues: 8362 | GridSize: 15
Generation 38 | Revalues: 8580 | GridSize: 17
Generation 39 | Revalues: 8788 | GridSize: 15
