instance,algo,pool,run,wind,our_nd,cec_nd,our_cost_min,cec_cost_min,our_power_max,cec_power_max,d_cost_min_abs,d_cost_min_pct,d_power_max_abs,d_power_max_pct,C_cec_ours,C_ours_cec
ns41,moead,p100_i50,0,"330deg, 13 m/s",297,297,252722659.93184355,252781360.51556608,2902261.3701171875,2896619.0009765625,-58700.583722531796,-0.02322187981060299,5642.369140625,0.19479155314256857,0.6262626262626263,0.18181818181818182
ns41,moead,p100_i50,1,"0deg, 2 m/s",192,236,252024080.33445227,252018529.24500728,22.7035565749,22.2911989167,5551.089444994926,0.002202651313625543,0.4123576581999977,1.849867563162203,0.7291666666666666,0.2923728813559322
ns41,moead,p100_i50,2,"330deg, 3 m/s",271,281,252016840.34042525,252016274.1772571,369.919955492,367.3655722141,566.1631681621075,0.00022465341574087923,2.5543832779000013,0.695324622420337,0.5719557195571956,0.33451957295373663
ns41,moead,p100_i50,3,"150deg, 7 m/s",268,276,252087436.88202143,252080634.41140497,121381.0966186523,121955.349395752,6802.4706164598465,0.0026985296321326937,-574.2527770996967,-0.47087133114285457,0.6156716417910447,0.2753623188405797
ns41,moead,p100_i50,4,"150deg, 12 m/s",284,286,252557205.7494756,252586149.4837191,2268106.505859375,2257986.358398437,-28943.734243512154,-0.011458955410925164,10120.147460937966,0.44819347217474187,0.5528169014084507,0.21678321678321677
ns41,moead,p100_i50,5,"150deg, 7 m/s",288,284,252074018.2919208,252029725.4088211,121764.8295593262,120969.1336975098,44292.88309970498,0.017574467864001696,795.6958618164062,0.657767677998,0.2916666666666667,0.5704225352112676
ns41,moead,p100_i50,6,"60deg, 6 m/s",243,256,252023898.27220812,252034502.221444,46994.3767242432,46918.1416015625,-10603.949235886335,-0.004207340321433227,76.23512268070044,0.1624853842850451,0.22633744855967078,0.6171875
ns41,moead,p100_i50,7,"240deg, 11 m/s",288,283,252560169.18397495,252534002.76005775,1648026.3466796875,1658901.13671875,26166.42391720414,0.010361544834049878,-10874.7900390625,-0.6555417799382828,0.2048611111111111,0.6749116607773852
ns41,moead,p100_i50,8,"210deg, 15 m/s",285,296,252771311.775669,252778101.77572805,4516288.328125,4519910.298828125,-6790.000059038401,-0.002686150426536031,-3621.970703125,-0.08013368548628202,0.14736842105263157,0.7432432432432432
ns41,moead,p100_i50,9,"180deg, 9 m/s",300,297,252286215.65837693,252304469.31981856,573603.7393798828,574506.9248046875,-18253.661441624165,-0.007234775305738247,-903.1854248046875,-0.1572105375599675,0.35,0.5218855218855218
ns41,nsga2,p100_i50,0,"330deg, 13 m/s",289,273,259367378.94429109,259818401.82082215,2917552.919921875,2918563.087890625,-451022.8765310645,-0.17359158295573773,-1010.16796875,-0.034611825693995645,0.8027681660899654,0.14285714285714285
ns41,nsga2,p100_i50,1,"0deg, 2 m/s",260,248,258229506.90751332,257959783.5577268,23.7790822163,23.8091379926,269723.34978652,0.10456023263260365,-0.030055776299999337,-0.1262363060323344,0.08461538461538462,0.7943548387096774
ns41,nsga2,p100_i50,2,"330deg, 3 m/s",277,282,258454492.17096916,258380584.08313507,380.0234218836,380.5557765663,73908.08783409,0.02860435047639251,-0.5323546826999745,-0.13988874048985256,0.148014440433213,0.7801418439716312
ns41,nsga2,p100_i50,3,"150deg, 7 m/s",290,280,259138503.33296743,258828573.132044,125391.0068664551,125239.7442321777,309930.20092344284,0.1197434259954479,151.26263427740196,0.12077845990884595,0.5827586206896552,0.16785714285714284
